annee,pays,nom,valeur
2019-2020,France,Direction de scènes musique actuelle part de femmes,13%
2019-2020,France,"Direction de Centres nationaux de création musicale, part de femmes",13%
2018,France,"Direction de fédérations sportives, part de femmes",12%
2019,France,"Artiste de théâtre programmé·es, part de femmes ",33%
2019,France,"Artistes exposé·es dans les FRAC, part de femmes",31%
2019,France,"Artistes musicaux programmé·es, part de femmes",20%
2017,France,"Réalisation de films longs métrages, part de femmes",23%
2017,France,"Spectacle vivant, part de femmes",38.90%
2017,France,"Spectacle vivant, Emploi artistique, part de femmes",36%
2017,France,"Spectacle vivant, Emploi cadre, part de femmes",40.90%
2017,France,"Spectacle vivant, Emploi non cadre, part de femmes",41%
2020-2021,France,"Théâtre, Part des spectacles programmés écrits par des femmes",29%
2020-2021,France,"Théâtre, Part des spectacles programmés mis en scène par des femmes",38%
2020-2021,France,"Musique, Part des opéras mis en scène par des femmes",18%
2019,France,"Festivals, artistes programmé·es dans une sélection de festivals de musiques actuelles, part de femmes",14%
2019,France,"Oeuvres de musique programmées dans une sélection de festivals de musique classique, composées par des femmes",8%
2019,France,"Arts Visuels, Part d’œuvres acquises par le Fonds national d’art contemporain réalisées par des femmes",47%
2019,France,"Arts Visuels, Part d’oeuvres acquises par les 23 fonds régionaux d’art contemporain réalisées par des femmes ",38%
2019,France,"Cinéma, réalisation de court-métrage, part de femmes",23%
2019,France,"Cinéma, réalisation de long-métrage, part de femmes",39%
2019,France,"Photographes de profession, part de femmes",35%
2019,France,"Métiers du jeu vidéo soutenus par le CNC, création, part de femmes",13%
2019,France,"Métiers du jeu vidéo soutenus par le CNC, production, part de femmes",27%
2018,France,"Professions de la documentation et de la conservation, part de femmes",68%
2018,France,"Professeur·e·s d’art, part de femmes",56%
2018,France,"Professions littéraires, part de femmes",53%
2018,France,"Professions des arts visuels et métiers d’art, part de femmes",47%
2018,France,"Professions des spectacles, part de femmes",35%
2018,France,"Architectes, part de femmes",33%
2018,France,Composition musicale et chorégraphique part de femmes,11%
2018,France,"Profession du dessin textile, part de femmes",91%
2018,France,"Profession du dessin, part de femmes",36%
2018,France,"Profession de la traduction, part de femmes",68%
2020,France,"Musique, albums primés aux Victoire de la Musique interpètés par des femmes",9%
2021,France,"Établissements publics Musées et patrimoine, poste de direction, part de femmes",41%
2021,France,"Établissements publics dans le spectacle vivant, poste de direction, part de femmes",9%
2021,France,"Établissements publics dans l'enseignement poste de direction, part de femmes",53%
2021,France,Direction de musées nationaux,58%
2021,France,"Réseau radio France Bleu, Direction de station, part de femmes",23%
2021,France,"Réseau radio France Bleu, responsable des programmes, part de femmes",14%
2021,France,"Réseau radio France Bleu, responsable technique, part de femmes",5%
2021,France,"Réseau radio France Bleu, Rédacteur·rice en chef, part de femmes",48%
2020,France,"Centre National de la musique, part de femmes",36%
2020,France,"Comissions, Centre National de la musique, part de femmes",32%
2020,France,"Comissions, Centre National du Cinéma et de l'image animée, part de femmes",51%
2020,France,"Comissions, Centre National du Livre, part de femmes",52%
2021,France,"Direction de Centres d'art, part de femmes",57%
2021,France,"Direction de Centres de développement chorégraphique, part de femmes",77%
2021,France,"Direction de Centres dramatiques nationaux (cdn) et régionaux (cdr), part de femmes",37%
2021,France,"Direction de Centres nationaux de création musicale (cncm), part de femmes",13%
2021,France,"Direction de Centres nationaux des arts de la rue et assimilés (cnarep), part de femmes",38%
2021,France,"Direction de Fonds régionaux d’art contemporain (frac), part de femmes",65%
2021,France,"Direction d'Opéras, part de femmes",20%
2021,France,"Direction de pôles nationaux des arts du cirque (pnac), part de femmes",38%
2021,France,"Direction de Scènes de musiques actuelles (smac), part de femmes",17%
2021,France,"Direction de Scènes nationales, part de femmes",33%
2021,France,"Chef·fe·s d’orchestre, part de femmes",7%
2021,France,"Direction des 100 plus grandes entreprises culturelles en France, part de femmes",16%
2021,France,"Secteur de la Presse, direction des 100 plus grandes entreprises culturelles en France, part de femmes",10%
2021,France,"Secteur du Livre, direction des 100 plus grandes entreprises culturelles en France, part de femmes",13%
2021,France,"Secteur de la Publicité, direction des 100 plus grandes entreprises culturelles en France, part de femmes",31%
