4 - Percentage of wages paid during maternity leave

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Actual Data,Data Unit,Footnote
Percentage of wages paid during maternity leave,Developed regions,250,France,Maternity leave cash benefits,At least 66.6%,100,%,Amount: For the duration of maternity leave and any extension thereof the worker is entitled to cash maternity benefits. (Normal duration of maternity leave is 6 weeks before and 10 weeks after the expected date of birth (for the third and each subsequent child 8 + 18 weeks  for twins 12 + 22 weeks  for other multiple births 24 + 22 weeks) and maternity leave may be extended on medical grounds by a maximum of two weeks before and 4 weeks after the birth.) The daily cash benefit is equal to the basic wage up to a ceiling fixed by social security. The basic daily wage is normally calculated on the basis of the three preceding monthly wages (after deduction of social contributions). Benefits are payable even if the child is stillborn. 100 per cent of the daily wages calculated on the basis of the three preceding monthly wages (after deduction of social contributions).  Source: Social Security  Health Insurance Funds.
Percentage of wages paid during maternity leave,Developed regions,276,Germany,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100% of the average normal net wages over the last 3 months before the prenatal maternity leave period.  Source: Statutory health insurance scheme: up to 13 Euro per day State: In case the worker is not entitled to a maternity grant under the provisions of the national insurance regulation (Reichsversicherungsordnung) and is partially or fully unable to work in relation to the employment prohibitions  the worker receives a lump sum equal to that prescribed by the national insurance regulation (Reichsversicherungsordnung)  but at most 210 Euro. Employer: in case of earnings exceeding 13 Euro per day (or 210 Euro for the calculated reference period)  the employer pays the excess. In case the pregnant worker has to stop working due to a danger to the life or health of the mother or child  the employer is obliged to pay the whole net average wage.
Percentage of wages paid during maternity leave,Developed regions,300,Greece,Maternity leave cash benefits,At least 66.6%,min. 66.7%,-,Amount: Maternity benefit: 50% of daily earnings is paid for up to 56 days before and 63 days after childbirth. Dependent’s supplement: 10% of the benefit is paid for each dependent  up to 40%. The minimum benefit is 66.7% of the insured’s earnings. (The insured may also receive a maternity supplement of up to 33.3% of earnings.) The maximum daily benefit is Euro 45.19 with no dependents; Euro 63.27 a day with dependents. Birth grant: Euro 928.10 is paid for each child.  Source: Pregnancy and confinement benefits: Social security. Supplementary maternity allowance: State (OAED - Manpower Employment Organisation).
Percentage of wages paid during maternity leave,Developed regions,348,Hungary,Maternity leave cash benefits,At least 66.6%,70,%,Amount: 70% of the daily average gross earnings of the previous year. Source: Health insurance.
Percentage of wages paid during maternity leave,Developed regions,352,Iceland,Maternity leave cash benefits,At least 66.6%,80,%,Amount: 80 percent of the average wage (employed persons).  Source: Maternity is financed by a portion of the payroll(See Social Security Act)  plus interests of the Maternity/Paternity Leave Fund. Payroll tax is paid by employers and is a certain percentage of the total cash wages subject. Self-employed parents also pay Social Security tax. The operating expenses of the Fund shall be paid from its revenues. Maternity grant to parents not active in the labour market or attending full-time educational programmes shall be paid by the State Treasury.
Percentage of wages paid during maternity leave,Developed regions,372,Ireland,Maternity leave cash benefits,At least 66.6%,80,%,Amount: 80 per cent of the average amount of weekly earnings  or a fixed weekly amount  or the amount of disability benefits which the woman would otherwise recieve if she was entitled to the said benefit  whichever is the greater. Maternity benefits amount at least to €207.80  up to a maximum of €280.00 per week (80% of reckonable earnings of up to €350).  Source: Social Insurance Fund. For the purposes of providing moneys for meeting the expenditure on benefit and making any other payments which are to be made out of the Social Insurance Fund  there shall be: (a) contributions in respect of employed contributors  each of which shall comprise a contribution by the employed contributor and a contribution by the employer of the employed contributor  (b) contributions in respect of self-employed contributors  (c) contributions in respect of voluntary contributors  and (d) payments out of moneys provided by the Oireachtas (the National Parliament).
Percentage of wages paid during maternity leave,Developed regions,376,Israel,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100 % of the insured’s average daily net income in the 3 months preceding the day on which the insured woman ceased work because of pregnancy up to a maximum maternity allowance sum of NIS 1206.67 per day (as of 01.01.2007).  Source: Social Security.
Percentage of wages paid during maternity leave,Developed regions,380,Italy,Maternity leave cash benefits,Other,Unspecified,-,Amount: In the case of subordinate workers: ante-natal: The employee (employed  unemployed  suspended  agricultural  non-farm  home  home help or carer) is entitled to compensation as follows  in lieu of wages for ante-natal circ. 134382/82 point 2  for 2 months before the expected date of childbirth (are calculated without including the expected date of delivery msg No. 18311 of 12.07.2007); for any period between the date alleged and actual date of birth; for the periods of compulsory pre-natal anticipated  arranged by the provincial directorate of labor  labor inspection service; circ. 247/96 - Circ 45/2000. Note: The two months before the expected date of childbirth  on the basis of the interpretation given by the Supreme Court of Cassation Judgement No. 1401/2001  are calculated  as on that  not including the expected date of birth example: if the expected date of birth is 15 August  a woman is entitled to time off from work and to perceive the relative benefits from June 15 August 14 - No msg 18311 of 12.07.2007 - The provisions laid down by the CIRC. 134382/82 note 4 and 5 should be considered adjusted on the basis of the mentioned decision. Post-natal: The employee (employed  unemployed  suspended  agricultural  non-farm  home  home help or carer) is entitled to compensation as follows  in lieu of wages for postpartum circ. 134382/82 point 2  for 3 months after delivery from the day following the date the same circ. 134382/82 point 2; for the period of compulsory post-partum extended up to 7 months after delivery from the provincial directorate of labor  labor inspection service. Circ. 72/89. The woman is entitled to post-natal cash benefit  even in cases where: the child is stillborn; the child has died after giving birth; there has been an interruption of pregnancy after 180 days of gestation. In the case of self-employed: The allowance is equal to 80% of conventional daily wage  established by law each year. Craft workers daily paid benefit  with reference to events for which the indemnification period begins in 2010 amounted to Euro 38.99 (Circular 37/2010 Section A  point 6). Workers daily cash benefits for conventional merchants  with reference to events for which the indemnification period begins in 2010 amounted to Euro 34.17 (Circular A 37/2010 section A point 6). For farmers  colon  sharecroppers  agricultural entrepreneurs the daily cash benefit for births that occurred in 2010 when the indemnification period has started in 2009  amounted to Euro 38.69 (circ. 37/2010 section 6). For unemployed receiving benefits or entitled to receive benefits: The amounts of the maternity allowance for each child born or adopted child or given any pre-adoption in foster care: from 01.01.2009 to 31.12.2009  the monthly amount is EURO 309.11 for a total of EURO 1545.55 (Circular 19 of 16.02.2009 circ. 36/2009); from 01.01.2010 to 31.12.2010  the monthly amount is EURO 311.27 for a total of EURO 1556.35 circ. 28 of 01.03.2010 - circ. 37/2010. For precarious workers: 1902.90 euros for the year 2009 (full size) Circ. 36/2009  1916.22 euros for the year 2010 (full size) Circ. 37/2010. This allowance should not be confused with welfare benefits provided by the municipalities. In case of multiple birth  or multiple adoption or multiple children in foster-care  parents have right for each child to enjoy cash benefits.  Source: Social Security (INPS- Istituto Nationale Previdenza Sociale). Contributions are made by workers  employer’s and self-employed.
Percentage of wages paid during maternity leave,Developed regions,392,Japan,Maternity leave cash benefits,At least 66.6%,66.7,%,Amount: Originally the law indicated any period of child care leave taken by the mother was paid at an amount equivalent to 30% of the worker’s wages as received prior taking leave. Upon return to work after child care leave  the mother would receive a a further 10% of her pre-leave wage  for the duration of the leave taken  as a re-engagement benefit for workers returning from child care leave. The amount of the maternity care benefits payable under the National Insurance Act was set by city  town or village ordinance. The legal amount has changed in recent years and the currently available allowance (2011) is paid at appoximately 66.67% of the average daily basic wage  according to wage class  for a period of 42 days before birth and 56 days after the expected date of childbirth.  Source: National Treasury shall finance one eigth of the cost of child care leave benefits. The remainder shall be financed by worker and employer payments to the Employment Insurance Fund. The financing of the maternity care benefit payable under the National Health Insurance Law shall be determined by city  town or village ordinance.
Percentage of wages paid during maternity leave,Developed regions,428,Latvia,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100% of average insurance contribution wage (incomes from which state social insurance contributions are made).  Source: State Social Insurance (from the disability  maternity and sickness special budget).
Percentage of wages paid during maternity leave,Developed regions,440,Lithuania,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100 per cent of the insured person`s income.  Source: Social insurance  which is financed inter alia with contributions of the employers and the insured.
Percentage of wages paid during maternity leave,Developed regions,442,Luxembourg,Maternity leave cash benefits,At least 66.6%,100,%,Amount: Cash maternity benefits are identical to cash medical benefits. Employees receive 100% of their earnings calculated on the wage the employee earned before maternity leave. They cannot be less than the minimum wage. The minimum amount is 194 02 per week and 1.552 16 per month. They are payable during the whole duration of prenatal and postnatal leave  as well as during leave when it is not possible to transfer the worker to day work  when there is a risk for her health or safety or when work can be dangerous.  Source: The social security finances the maternity benefits. Social Security is financed through contributions made by employees  employers and the State according to further regulations.
Percentage of wages paid during maternity leave,Developed regions,470,Malta,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100 per cent of wages for women who avail themselves of maternity leave from their employers. Maternity benefit is only payable to women who do not avail themselves of maternity leave from their employers. Maternity benefit is paid as a flat-rate of MTL 24.00 per week for 13 weeks  either in full after confinement or in two instalments before and after confinement. If for any reason a woman does not avail herself of all or part of the maternity leave  she will be entitled for the difference between the thirteen weeks and the maternity leave availed of. In this case  the female worker has to produce a letter from the employer confirming the number of weeks which have been availed of as maternity leave.  Source: Social Security (overall contributions from employers  employees  self-employed persons and the State).
Percentage of wages paid during maternity leave,Developed regions,492,Monaco,Maternity leave cash benefits,At least 66.6%,90% up to a ceiling,-,0
Percentage of wages paid during maternity leave,Developed regions,498,Republic of Moldova,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100%.  Source: Social security.
Percentage of wages paid during maternity leave,Developed regions,499,Montenegro,Maternity leave cash benefits,At least 66.6%,100,%,0
Percentage of wages paid during maternity leave,Developed regions,528,Netherlands,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100 per cent of the daily wage (up to a ceiling of EUR 174 64); 70% for the period of sick pay.  Source: Social security.
Percentage of wages paid during maternity leave,Developed regions,554,New Zealand,Maternity leave cash benefits,Other,The lesser of $458.82/wk; and either 100% of the employee's ordinary weekly pay  or 100% of the employee's avg. weekly earnings,-,Amount: The rate of maternity leave payments payable to employees is the lesser of: (a) $458.82 per week; and (b) either 100% of the employee’s ordinary weekly pay before the commencement of the leave  or 100% of the employee’s avearge weekly earnings  whichever is the greater. The rate of maternity leave payments payable to self-employed persons is the lesser of: (a) $458.82 per week; and (b) either 100% of the self-employed person’s average weekly earnings or $130 per week  whichever is the greater.  Source: The money to be expended in providing maternity leave benefits is to be paid out of a Crown Bank Account  from money appropriated by Parliament for this purpose.
Percentage of wages paid during maternity leave,Developed regions,578,Norway,Maternity leave cash benefits,At least 66.6%,80% or 100%,-,Amount: 80 per cent or 100 per cent of the salary  depending on which model of parental leave has been chosen by the parents.  Source: Social Insurance. The National Insurance Scheme is financed by contributions from employees  self-employed persons and other members  employer’s contributions and contributions from the State.
Percentage of wages paid during maternity leave,Developed regions,616,Poland,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100%.  Source: Social Insurance Fund.
Percentage of wages paid during maternity leave,Developed regions,620,Portugal,Maternity leave cash benefits,At least 66.6%,100,%,Amount: The female worker is entitled to a benefit of 100 per cent of the average daily wages (if the parents opted for a leave of 120 days) or 80 % (if the parents opted for a 150-day leave period; see under "parental leave benefits"). For the period the worker cannot work due to a risk for her own or the foetus` health she receives 100 per cent of the average daily wage. There is a minimum amount of benefits that has to be paid. Source: The below mentioned decree establishes the conditions and procedures for the payment by the social security of the maternity leave (as well as other parental leave) benefits. Pre-Natal Family Benefit: An employee who is pregnant is entitled to a Pre-Natal Family Benefit. Pre-natal benefit is granted from the 13 weeks of pregnancy to the child’s birth upon presentation of a medical certificate stating the time of pregnancy.
Percentage of wages paid during maternity leave,Developed regions,642,Romania,Maternity leave cash benefits,At least 66.6%,85,%,Amount: 85 per cent of the average wage during the last 12 months. No ceiling.  Source: The benefits are paid from the state health insurance budget.
Percentage of wages paid during maternity leave,Developed regions,643,Russian Federation,Maternity leave cash benefits,At least 66.6%,100,%,Amount: The benefit is 100% of the average wage. The maximum amount of maternity benefits for a full calendar month may not exceed 23 400 rubles.  Source: Maternity benefits are paid from the Budget of the social insurance of the Russian Federation.
Percentage of wages paid during maternity leave,Developed regions,674,San Marino,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100 per cent.  Source: Social security.
Percentage of wages paid during maternity leave,Developed regions,688,Serbia,Maternity leave cash benefits,At least 66.6%,100% of salary if the person was employed for at least 6mos  60% for people employed >=3 or <6mos  30% for people employed <3mos,-,Amount: Maternity benefit: 100% of earnings are paid when the person was employed for  at least 6 months; 60% if the person was employed for at least 3 but less than 6 months; 30% for person employed for less than 3 months. The benefit is paid monthly. Earnings in the last 12 months before the maternity leave period began are used to calculate benefits  up to 5 times the national monthly average wage. The national monthly average wage is 46 457 dinars (March 2010). The minimum benefit is the monthly minimum wage. For a self-employed person  the benefit is the average covered income in the last 3 months. The leave period for the first and second child begins 28 days before the expected date of childbirth and is paid for 365 days. The leave period for the third and each successive child is paid for 2 years. Maternity grant: The amount of the grant is determined by the Republic Health Insurance Fund. Source: Social security.
Percentage of wages paid during maternity leave,Developed regions,703,Slovakia,Maternity leave cash benefits,Less than 66.6%,55,%,Amount: 55% of the daily assessment basis.  Source: Social insurance (part of sickness insurance).
Percentage of wages paid during maternity leave,Developed regions,705,Slovenia,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100 per cent of the income basis. The payment of parental benefits may not be higher than two and a half times the average monthly wage in the Republic of Slovenia determined on the grounds of the last official information on monthly wages  except in case of maternity benefit.  Source: Social security.
Percentage of wages paid during maternity leave,Developed regions,724,Spain,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100 per cent of the contribution basis for the whole duration of maternity leave.  Source: Social Security System  which is financed by different sources: contributions from the State  the insured  the employers  interests  fines and other income.
Percentage of wages paid during maternity leave,Developed regions,752,Sweden,Maternity leave cash benefits,At least 66.6%,80,%,Amount: If the parents have been insured for at least 240 consecutive days  80 per cent of earnings (up to a ceiling) are paid for a total of 390 calendar days for both parents if they have joint custody of the child  and 60 SEK per day for the remaining period of 90 calendar days. Otherwise  the parents receive the basic level of cash benefits (180 SEK a day in 2006) for 390 calendar days and 60 SEK per day for the remaining period of 90 calendar days.  Source: Parental benefits are paid by social insurance funds.
Percentage of wages paid during maternity leave,Developed regions,756,Switzerland,Maternity leave cash benefits,At least 66.6%,80,%,Amount: Female workers are entitled to a a maternity allowance equal to 80 % of the average income received before the entitlement to the allowance  paid for 98 days (14 weeks) after the birth. The payment of the allowance will start on the childbirth regardless of the length of the pregnancy. If a female worker does not meet the qualifying conditions to be entitled to maternity leave allowances  her salary will be paid by the employer according to art. 324 of the civil Code. If the child is stilborn or die after birth  allowance remains due after 23 weeks of pregnancy. If the child remains hospitalized more than 3 weeks after confinement  female workers may request the payment of maternity allowances to start the date the child returns home. Female workers employed by the Confederation are entitled to 4 month paid maternity leave based on 100% of the monthly wage preceeding the leave. If an optional insurance for loss of income arising out of pregnancy and childbirth has been taken out by the employer or the employee  the amount of benefit agreed between the insurer and the insured person may not be less than the level of compensation for paid in the event of sickness.  Source: Maternity allowance is funded by contributions to the plan allowance for loss of earnings (APG)  collected in conjunction with the AVS. Are subject to the obligation to contribute employers  employees  independent people without gainful employment. The contribution rate is currently  for active people  0.3% of gross salary. For employees  the employer must pay half the contributions. Those not gainfully required to contribute between 14 and pay 300 francs a year. Governments do not participate in the financing of the maternity allowance.
Percentage of wages paid during maternity leave,Developed regions,804,Ukraine,Maternity leave cash benefits,At least 66.6%,100,%,Amount: 100 per cent.  Source: Social security.
Percentage of wages paid during maternity leave,Developed regions,807,The former Yugoslav Republic of Macedonia,Maternity leave cash benefits,At least 66.6%,100,%,0
Percentage of wages paid during maternity leave,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Maternity leave cash benefits,At least 66.6%,90% for first 6 weeks; lower bound of 90% or flatrate week 7-39; unpaid after that,-,Amount: 90 per cent of the woman’s weekly earnings in respect of the first 6 weeks of maternity pay period and from week 6 to week 39 £123.06 or 90 per cent of the average weekly earnings  whichever is lower (since April 2009).  Source: Mixed. Employers pays the benefit but are entitled to recover 92% of the Statutory Paternity Pay they have paid.
Percentage of wages paid during maternity leave,Developed regions,831,Guernsey,Maternity leave cash benefits,Other,Flat rate benefit,-,0
Percentage of wages paid during maternity leave,Developed regions,832,Jersey,Maternity leave cash benefits,Other,Flat rate benefit,-,0
Percentage of wages paid during maternity leave,Developed regions,833,Isle of Man,Maternity leave cash benefits,At least 66.6%,90,%,0
Percentage of wages paid during maternity leave,Developed regions,840,United States of America,Maternity leave cash benefits,Unpaid,Unpaid,-,Amount: There is no national program. Under the Family and Medical Leave Act  as a general rule leave is unpaid however  subject to certain conditions  an employee may choose or an employer may require the employee to use accrued paid leave (such as vacation leave  personal leave  medical or sick leave or paid medical leave) to cover some or all of the leave she/he is entitled under the Act. Source: Cash benefit may be provided at the state level. For example  in California  since 2004  female and male employees are entitled to receive up to 55% of their salary for six weeks to take care in particular of a newborn or adopted child. It is financed by a .08 per cent increase in state disability insurance contributions from employee paychecks.
Percentage of wages paid during maternity leave,Northern Africa,12,Algeria,Maternity leave cash benefits,At least 66.6%,100,%,Amount: The female worker  obliged to interrupt work because of the pregnancy  has the right to a daily benefit during matertiny leave equal to a 100% of the regular wage she receives.  Source: The financing of the social security benefits costs will be assured by a part of the compulsory contribution  paid by both employers and employees determined by Title I of this Act.
Percentage of wages paid during maternity leave,Northern Africa,434,Libya,Maternity leave cash benefits,Less than 66.6%,50,%,Amount: 50 per cent of wages (for employees). A self-employed person is entitled to receive a cash benefit in case of childbirth at a rate of 100 per cent of her presumptive income for a period of three months (of which at least six weeks after the birth).  Source: The cash benefits are financed by the employer for salaried employees and by social security for self-employed.
