1b - Whether or not ratified ILO convention 111 on discrimination in employment and occupation

Indicator Name,Region,Country Code,Country,Date,Measure Name,Measure Value,Footnote
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,752,Sweden,1962-06-20,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,756,Switzerland,1961-07-13,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,804,Ukraine,1961-08-04,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,807,The former Yugoslav Republic of Macedonia,1991-11-17,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,1999-06-08,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Developed regions,840,United States of America,-,Status,Not ratified,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Northern Africa,12,Algeria,1969-06-12,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Northern Africa,434,Libya,1961-06-13,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Northern Africa,504,Morocco,1963-03-27,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Northern Africa,788,Tunisia,1959-09-14,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Northern Africa,818,Egypt,1960-05-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Oceania,90,Solomon Islands,2012-04-13,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Oceania,184,Cook Islands,-,Status,Not ratified,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Oceania,242,Fiji,2002-04-17,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Oceania,296,Kiribati,2009-06-17,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Oceania,548,Vanuatu,2006-07-28,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Oceania,584,Marshall Islands,-,Status,Not ratified,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Oceania,585,Palau,-,Status,Not ratified,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Oceania,598,Papua New Guinea,2000-06-02,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Oceania,776,Tonga,-,Status,Not ratified,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Oceania,798,Tuvalu,-,Status,Not ratified,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Oceania,882,Samoa,2008-06-30,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,24,Angola,1976-06-04,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,72,Botswana,1997-06-05,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,108,Burundi,1993-06-25,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,120,Cameroon,1988-05-13,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,132,Cabo Verde,1979-04-03,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,140,Central African Republic,1964-06-09,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,148,Chad,1966-03-29,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,174,Comoros,2004-03-17,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,178,Congo,1999-11-26,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,180,Democratic Republic of the Congo,2001-06-20,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,204,Benin,1961-05-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,226,Equatorial Guinea,2001-08-13,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,231,Ethiopia,1966-06-11,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,232,Eritrea,2000-02-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,262,Djibouti,2005-02-28,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,266,Gabon,1961-05-29,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,270,Gambia,2000-09-04,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,288,Ghana,1961-04-04,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,324,Guinea,1960-09-01,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,384,Côte d'Ivoire,1961-05-05,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,404,Kenya,2001-05-07,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,426,Lesotho,1998-01-27,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,430,Liberia,1959-07-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,450,Madagascar,1961-08-11,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,454,Malawi,1965-03-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,466,Mali,1964-03-02,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,478,Mauritania,1963-11-08,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,480,Mauritius,2002-12-18,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,508,Mozambique,1977-06-06,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,516,Namibia,2001-11-13,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,562,Niger,1962-03-23,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,566,Nigeria,2002-10-02,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,624,Guinea-Bissau,1977-02-21,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,646,Rwanda,1981-02-02,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,678,Sao Tome and Principe,1982-06-01,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,686,Senegal,1967-11-13,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,690,Seychelles,1999-11-23,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,694,Sierra Leone,1966-10-14,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,706,Somalia,1961-12-08,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,710,South Africa,1997-03-05,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,716,Zimbabwe,1999-06-23,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,728,South Sudan,2012-04-29,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,729,Sudan,1970-10-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,748,Swaziland,1981-06-05,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,768,Togo,1983-11-08,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,800,Uganda,2005-06-02,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,834,United Republic of Tanzania,2002-02-26,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,854,Burkina Faso,1962-04-16,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Sub-Saharan Africa,894,Zambia,1979-10-23,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,28,Antigua and Barbuda,1983-02-02,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,32,Argentina,1968-06-18,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,44,Bahamas,2001-06-14,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,52,Barbados,1974-10-14,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,68,Bolivia (Plurinational State of),1977-01-31,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,76,Brazil,1965-11-26,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,84,Belize,1999-06-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,152,Chile,1971-09-20,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,170,Colombia,1969-03-04,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,188,Costa Rica,1962-03-01,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,192,Cuba,1965-08-26,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,212,Dominica,1983-02-28,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,214,Dominican Republic,1964-07-13,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,218,Ecuador,1962-07-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,222,El Salvador,1995-06-15,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,308,Grenada,2003-05-14,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,320,Guatemala,1960-10-11,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,328,Guyana,1975-06-13,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,332,Haiti,1976-11-09,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,340,Honduras,1960-06-20,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,388,Jamaica,1975-01-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,484,Mexico,1961-09-11,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,558,Nicaragua,1967-10-31,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,591,Panama,1966-05-16,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,600,Paraguay,1967-07-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,604,Peru,1970-08-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,659,Saint Kitts and Nevis,2000-08-25,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,662,Saint Lucia,1983-08-18,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,670,Saint Vincent and the Grenadines,2001-11-09,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,740,Suriname,2017-01-04,Status,Ratified  not in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,780,Trinidad and Tobago,1970-11-26,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,858,Uruguay,1989-11-16,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Latin America and the Caribbean,862,Venezuela (Bolivarian Republic of),1971-06-03,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Caucasus and Central Asia,31,Azerbaijan,1992-05-19,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Caucasus and Central Asia,51,Armenia,1994-07-29,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Caucasus and Central Asia,268,Georgia,1993-06-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Caucasus and Central Asia,398,Kazakhstan,1999-12-06,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Caucasus and Central Asia,417,Kyrgyzstan,1992-03-31,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Caucasus and Central Asia,762,Tajikistan,1993-11-26,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Caucasus and Central Asia,795,Turkmenistan,1997-05-15,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Caucasus and Central Asia,860,Uzbekistan,1992-07-13,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Western Asia,48,Bahrain,2000-09-26,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Western Asia,368,Iraq,1959-06-15,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Western Asia,400,Jordan,1963-07-04,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Western Asia,414,Kuwait,1966-12-01,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Western Asia,422,Lebanon,1977-06-01,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Western Asia,512,Oman,-,Status,Not ratified,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Western Asia,634,Qatar,1976-08-18,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Western Asia,682,Saudi Arabia,1978-06-15,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Western Asia,760,Syrian Arab Republic,1960-05-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Western Asia,784,United Arab Emirates,2001-06-28,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Western Asia,792,Turkey,1967-07-19,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Western Asia,887,Yemen,1969-08-22,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,South-eastern Asia,96,Brunei Darussalam,-,Status,Not ratified,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,South-eastern Asia,104,Myanmar,-,Status,Not ratified,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,South-eastern Asia,116,Cambodia,1999-08-23,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,South-eastern Asia,360,Indonesia,1999-06-07,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,South-eastern Asia,418,Lao People's Democratic Republic,2008-06-13,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,South-eastern Asia,458,Malaysia,-,Status,Not ratified,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,South-eastern Asia,608,Philippines,1960-11-17,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,South-eastern Asia,626,Timor-Leste,2016-05-10,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,South-eastern Asia,702,Singapore,-,Status,Not ratified,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,South-eastern Asia,704,Viet Nam,1997-10-07,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,South-eastern Asia,764,Thailand,2017-06-13,Status,Ratified  not in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Eastern Asia,156,China,2006-01-12,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Eastern Asia,410,Republic of Korea,1998-12-04,Status,Ratified  in force,-
Whether or not ratified ILO convention 111 on discrimination in employment and occupation,Eastern Asia,496,Mongolia,1969-06-03,Status,Ratified  in force,-
