9 - Existence of laws on domestic violence

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Footnote
Existence of laws on domestic violence,Developed regions,40,Austria,Violence against Women Laws - Marital rape,Not Available / contradictory data source,-
Existence of laws on domestic violence,Developed regions,56,Belgium,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,56,Belgium,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,56,Belgium,Violence against Women Laws - Marital rape,Not Available / contradictory data source,-
Existence of laws on domestic violence,Developed regions,70,Bosnia and Herzegovina,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,70,Bosnia and Herzegovina,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,70,Bosnia and Herzegovina,Violence against Women Laws - Marital rape,No,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,100,Bulgaria,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,100,Bulgaria,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,100,Bulgaria,Violence against Women Laws - Marital rape,No,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,112,Belarus,Violence against Women Laws - Domestic violence,No,Information from the UN Secretary-General's database indicates that draft legislation is under consideration.
Existence of laws on domestic violence,Developed regions,112,Belarus,Violence against Women Laws - Sexual harassment,No,Data are based on documents produced by Member States and the UN system for the Universal Periodic Review (UPR). The UPR is a unique process that involves a review of the human rights records of all 192 UN Member States once every four years. The UPR is a State-driven process  under the auspices of the Human Rights Council  which provides the opportunity for each State to declare what actions they have taken to improve the human rights situations in their countries and to fulfil their human rights obligations. All documents are available at: http://www.ohchr.org/en/hrbodies/upr/pages/uprmain.aspx
Existence of laws on domestic violence,Developed regions,112,Belarus,Violence against Women Laws - Marital rape,No,UN CEDAW 2011.
Existence of laws on domestic violence,Developed regions,124,Canada,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,124,Canada,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,124,Canada,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,191,Croatia,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,191,Croatia,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,191,Croatia,Violence against Women Laws - Marital rape,Not Available / contradictory data source,-
Existence of laws on domestic violence,Developed regions,196,Cyprus,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,196,Cyprus,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,196,Cyprus,Violence against Women Laws - Marital rape,Yes,-
Existence of laws on domestic violence,Developed regions,203,Czech Republic,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,203,Czech Republic,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,203,Czech Republic,Violence against Women Laws - Marital rape,Not Available / contradictory data source,-
Existence of laws on domestic violence,Developed regions,208,Denmark,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,208,Denmark,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,208,Denmark,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,233,Estonia,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,233,Estonia,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,233,Estonia,Violence against Women Laws - Marital rape,No,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,246,Finland,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,246,Finland,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,246,Finland,Violence against Women Laws - Marital rape,Not Available / contradictory data source,-
Existence of laws on domestic violence,Developed regions,250,France,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,250,France,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,250,France,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,276,Germany,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,276,Germany,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,276,Germany,Violence against Women Laws - Marital rape,No,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,300,Greece,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,300,Greece,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,300,Greece,Violence against Women Laws - Marital rape,Yes,-
Existence of laws on domestic violence,Developed regions,348,Hungary,Violence against Women Laws - Domestic violence,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Developed regions,348,Hungary,Violence against Women Laws - Sexual harassment,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Developed regions,348,Hungary,Violence against Women Laws - Marital rape,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Developed regions,352,Iceland,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,352,Iceland,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,352,Iceland,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,372,Ireland,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,372,Ireland,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,372,Ireland,Violence against Women Laws - Marital rape,Yes,-
Existence of laws on domestic violence,Developed regions,376,Israel,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,376,Israel,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,376,Israel,Violence against Women Laws - Marital rape,Not Available / contradictory data source,-
Existence of laws on domestic violence,Developed regions,380,Italy,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,380,Italy,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,380,Italy,Violence against Women Laws - Marital rape,No,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,392,Japan,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,392,Japan,Violence against Women Laws - Sexual harassment,No,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,392,Japan,Violence against Women Laws - Marital rape,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Developed regions,428,Latvia,Violence against Women Laws - Domestic violence,Yes,Data are based on documents produced by Member States and the UN system for the Universal Periodic Review (UPR). The UPR is a unique process that involves a review of the human rights records of all 192 UN Member States once every four years. The UPR is a State-driven process  under the auspices of the Human Rights Council  which provides the opportunity for each State to declare what actions they have taken to improve the human rights situations in their countries and to fulfil their human rights obligations. All documents are available at: http://www.ohchr.org/en/hrbodies/upr/pages/uprmain.aspx
Existence of laws on domestic violence,Developed regions,428,Latvia,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,428,Latvia,Violence against Women Laws - Marital rape,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Developed regions,438,Liechtenstein,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,438,Liechtenstein,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,438,Liechtenstein,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,440,Lithuania,Violence against Women Laws - Domestic violence,No,Information provided by UN Women regional and country offices.
Existence of laws on domestic violence,Developed regions,440,Lithuania,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,440,Lithuania,Violence against Women Laws - Marital rape,No,Information provided by UN Women regional and country offices.
Existence of laws on domestic violence,Developed regions,442,Luxembourg,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,442,Luxembourg,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,442,Luxembourg,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,470,Malta,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,470,Malta,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,470,Malta,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,492,Monaco,Violence against Women Laws - Domestic violence,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,492,Monaco,Violence against Women Laws - Sexual harassment,Not Available / contradictory data source,-
Existence of laws on domestic violence,Developed regions,492,Monaco,Violence against Women Laws - Marital rape,No,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,498,Republic of Moldova,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,498,Republic of Moldova,Violence against Women Laws - Sexual harassment,Yes,Data are from OHCHR 2011.
Existence of laws on domestic violence,Developed regions,498,Republic of Moldova,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,499,Montenegro,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,499,Montenegro,Violence against Women Laws - Sexual harassment,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,499,Montenegro,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,528,Netherlands,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,528,Netherlands,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,528,Netherlands,Violence against Women Laws - Marital rape,No,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,554,New Zealand,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,554,New Zealand,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,554,New Zealand,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,578,Norway,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,578,Norway,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,578,Norway,Violence against Women Laws - Marital rape,No,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,616,Poland,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,616,Poland,Violence against Women Laws - Sexual harassment,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,616,Poland,Violence against Women Laws - Marital rape,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Developed regions,620,Portugal,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,620,Portugal,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,620,Portugal,Violence against Women Laws - Marital rape,Yes,Council of Europe 2009b.
Existence of laws on domestic violence,Developed regions,642,Romania,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,642,Romania,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,642,Romania,Violence against Women Laws - Marital rape,Yes,-
Existence of laws on domestic violence,Developed regions,643,Russian Federation,Violence against Women Laws - Domestic violence,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Developed regions,643,Russian Federation,Violence against Women Laws - Sexual harassment,Yes,Information provided by UN Women regional and country offices.
Existence of laws on domestic violence,Developed regions,643,Russian Federation,Violence against Women Laws - Marital rape,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Developed regions,674,San Marino,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,674,San Marino,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,674,San Marino,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,688,Serbia,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,688,Serbia,Violence against Women Laws - Sexual harassment,Yes,Council of Europe 2009b.
Existence of laws on domestic violence,Developed regions,688,Serbia,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,703,Slovakia,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,703,Slovakia,Violence against Women Laws - Sexual harassment,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,703,Slovakia,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,705,Slovenia,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,705,Slovenia,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,705,Slovenia,Violence against Women Laws - Marital rape,Yes,-
Existence of laws on domestic violence,Developed regions,724,Spain,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,724,Spain,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,724,Spain,Violence against Women Laws - Marital rape,No,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,752,Sweden,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,752,Sweden,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,752,Sweden,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,756,Switzerland,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,756,Switzerland,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,756,Switzerland,Violence against Women Laws - Marital rape,Not Available / contradictory data source,-
Existence of laws on domestic violence,Developed regions,804,Ukraine,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,804,Ukraine,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,804,Ukraine,Violence against Women Laws - Marital rape,No,Information provided by UN Women regional and country offices.
Existence of laws on domestic violence,Developed regions,807,The former Yugoslav Republic of Macedonia,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,807,The former Yugoslav Republic of Macedonia,Violence against Women Laws - Sexual harassment,No,Data are from OHCHR 2011.
Existence of laws on domestic violence,Developed regions,807,The former Yugoslav Republic of Macedonia,Violence against Women Laws - Marital rape,Yes,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Violence against Women Laws - Sexual harassment,Yes,-
Existence of laws on domestic violence,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Violence against Women Laws - Marital rape,No,Data are based on UN Women review of laws  including penal codes and labour laws  as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence  however acts of family violence are covered under existing legislation  according to the appropriate criminal offence (eg homicide  assault  sexual assault).
Existence of laws on domestic violence,Developed regions,840,United States of America,Violence against Women Laws - Domestic violence,Yes,-
Existence of laws on domestic violence,Developed regions,840,United States of America,Violence against Women Laws - Sexual harassment,Yes,-
