6 - Presence of a gender quota for parliament (voluntary party quotas)

Indicator Name,Region,Country Code,Country,Year,Measure Name,Measure Value,Footnote
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,392,Japan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,428,Latvia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,438,Liechtenstein,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,440,Lithuania,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,442,Luxembourg,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,470,Malta,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,492,Monaco,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,498,Republic of Moldova,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,499,Montenegro,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,528,Netherlands,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,554,New Zealand,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,578,Norway,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,616,Poland,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,620,Portugal,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,642,Romania,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,643,Russian Federation,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,674,San Marino,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,688,Serbia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,703,Slovakia,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,705,Slovenia,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,724,Spain,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,752,Sweden,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,756,Switzerland,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,804,Ukraine,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,807,The former Yugoslav Republic of Macedonia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,826,United Kingdom of Great Britain and Northern Ireland,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,833,Isle of Man,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Developed regions,840,United States of America,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Northern Africa,12,Algeria,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Northern Africa,434,Libya,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Northern Africa,504,Morocco,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Northern Africa,788,Tunisia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Northern Africa,818,Egypt,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,90,Solomon Islands,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,184,Cook Islands,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,242,Fiji,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,258,French Polynesia,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,296,Kiribati,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,316,Guam,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,520,Nauru,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,540,New Caledonia,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,548,Vanuatu,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,583,Micronesia (Federated States of),2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,584,Marshall Islands,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,585,Palau,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,598,Papua New Guinea,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,776,Tonga,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,798,Tuvalu,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Oceania,882,Samoa,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,24,Angola,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,72,Botswana,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,108,Burundi,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,120,Cameroon,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,132,Cabo Verde,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,148,Chad,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,178,Congo,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,180,Democratic Republic of the Congo,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,204,Benin,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,226,Equatorial Guinea,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,231,Ethiopia,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,232,Eritrea,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,262,Djibouti,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,266,Gabon,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,270,Gambia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,288,Ghana,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,324,Guinea,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,384,Côte d'Ivoire,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,404,Kenya,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,426,Lesotho,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,430,Liberia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,450,Madagascar,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,454,Malawi,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,466,Mali,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,478,Mauritania,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,480,Mauritius,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,508,Mozambique,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,516,Namibia,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,562,Niger,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,566,Nigeria,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,624,Guinea-Bissau,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,646,Rwanda,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,678,Sao Tome and Principe,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,686,Senegal,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,690,Seychelles,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,694,Sierra Leone,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,706,Somalia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,710,South Africa,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,716,Zimbabwe,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,728,South Sudan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,729,Sudan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,748,Swaziland,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,768,Togo,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,800,Uganda,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,834,United Republic of Tanzania,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,854,Burkina Faso,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Sub-Saharan Africa,894,Zambia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,28,Antigua and Barbuda,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,32,Argentina,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,44,Bahamas,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,52,Barbados,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,68,Bolivia (Plurinational State of),2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,76,Brazil,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,84,Belize,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,136,Cayman Islands,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,152,Chile,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,170,Colombia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,188,Costa Rica,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,192,Cuba,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,212,Dominica,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,214,Dominican Republic,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,218,Ecuador,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,222,El Salvador,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,238,Falkland Islands (Malvinas),-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,308,Grenada,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,320,Guatemala,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,328,Guyana,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,332,Haiti,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,340,Honduras,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,388,Jamaica,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,484,Mexico,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,530,Netherlands Antilles,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,533,Aruba,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,558,Nicaragua,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,591,Panama,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,600,Paraguay,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,604,Peru,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,630,Puerto Rico,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,659,Saint Kitts and Nevis,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,660,Anguilla,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,662,Saint Lucia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,670,Saint Vincent and the Grenadines,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,740,Suriname,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,780,Trinidad and Tobago,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,796,Turks and Caicos Islands,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,858,Uruguay,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Latin America and the Caribbean,862,Venezuela (Bolivarian Republic of),2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Caucasus and Central Asia,31,Azerbaijan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Caucasus and Central Asia,51,Armenia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Caucasus and Central Asia,268,Georgia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Caucasus and Central Asia,398,Kazakhstan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Caucasus and Central Asia,417,Kyrgyzstan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Caucasus and Central Asia,762,Tajikistan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Caucasus and Central Asia,795,Turkmenistan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Caucasus and Central Asia,860,Uzbekistan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,48,Bahrain,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,275,State of Palestine,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,368,Iraq,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,400,Jordan,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,414,Kuwait,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,422,Lebanon,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,512,Oman,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,634,Qatar,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,682,Saudi Arabia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,760,Syrian Arab Republic,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,784,United Arab Emirates,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,792,Turkey,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Western Asia,887,Yemen,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),South-eastern Asia,96,Brunei Darussalam,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),South-eastern Asia,104,Myanmar,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),South-eastern Asia,116,Cambodia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),South-eastern Asia,360,Indonesia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),South-eastern Asia,418,Lao People's Democratic Republic,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),South-eastern Asia,458,Malaysia,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),South-eastern Asia,608,Philippines,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),South-eastern Asia,626,Timor-Leste,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),South-eastern Asia,702,Singapore,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),South-eastern Asia,704,Viet Nam,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),South-eastern Asia,764,Thailand,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Eastern Asia,156,China,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Eastern Asia,344,China  Hong Kong Special Administrative Region,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Eastern Asia,408,Democratic People's Republic of Korea,2015,Status,No,-
Presence of a gender quota for parliament (voluntary party quotas),Eastern Asia,410,Republic of Korea,2015,Status,Yes,-
Presence of a gender quota for parliament (voluntary party quotas),Eastern Asia,446,China  Macao Special Administrative Region,-,-,-,-
Presence of a gender quota for parliament (voluntary party quotas),Eastern Asia,496,Mongolia,2015,Status,No,-
