10 - Whether or not inheritance rights discriminate against women and girls

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Footnote
Whether or not inheritance rights discriminate against women and girls,Developed regions,124,Canada,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,124,Canada,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,191,Croatia,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,191,Croatia,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,196,Cyprus,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,196,Cyprus,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,203,Czech Republic,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,203,Czech Republic,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,208,Denmark,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,208,Denmark,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,233,Estonia,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,233,Estonia,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,234,Faeroe Islands,-,-,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,246,Finland,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,246,Finland,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,250,France,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,250,France,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,276,Germany,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,276,Germany,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,300,Greece,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,300,Greece,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,348,Hungary,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,348,Hungary,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,352,Iceland,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,352,Iceland,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,372,Ireland,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,372,Ireland,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,376,Israel,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,376,Israel,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,380,Italy,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,380,Italy,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,392,Japan,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,392,Japan,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,428,Latvia,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,428,Latvia,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,440,Lithuania,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,440,Lithuania,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,442,Luxembourg,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,442,Luxembourg,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,470,Malta,-,-,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,492,Monaco,-,-,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,498,Republic of Moldova,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,498,Republic of Moldova,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,499,Montenegro,-,-,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,528,Netherlands,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,528,Netherlands,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,554,New Zealand,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,554,New Zealand,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,578,Norway,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,578,Norway,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,616,Poland,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,616,Poland,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,620,Portugal,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,620,Portugal,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,642,Romania,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,642,Romania,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,643,Russian Federation,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,643,Russian Federation,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,674,San Marino,-,-,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,688,Serbia,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,688,Serbia,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,703,Slovakia,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,703,Slovakia,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,705,Slovenia,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,705,Slovenia,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,724,Spain,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,724,Spain,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,752,Sweden,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,752,Sweden,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,756,Switzerland,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,756,Switzerland,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,804,Ukraine,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,804,Ukraine,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,807,The former Yugoslav Republic of Macedonia,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,807,The former Yugoslav Republic of Macedonia,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,833,Isle of Man,-,-,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,840,United States of America,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Developed regions,840,United States of America,Discrimination against daughters,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Northern Africa,12,Algeria,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Northern Africa,12,Algeria,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Northern Africa,434,Libya,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Northern Africa,434,Libya,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Northern Africa,504,Morocco,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Northern Africa,504,Morocco,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Northern Africa,788,Tunisia,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Northern Africa,788,Tunisia,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Northern Africa,818,Egypt,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Northern Africa,818,Egypt,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Oceania,90,Solomon Islands,-,-,-
Whether or not inheritance rights discriminate against women and girls,Oceania,184,Cook Islands,-,-,-
Whether or not inheritance rights discriminate against women and girls,Oceania,242,Fiji,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Oceania,242,Fiji,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Oceania,258,French Polynesia,-,-,-
Whether or not inheritance rights discriminate against women and girls,Oceania,296,Kiribati,-,-,-
Whether or not inheritance rights discriminate against women and girls,Oceania,316,Guam,-,-,-
Whether or not inheritance rights discriminate against women and girls,Oceania,520,Nauru,-,-,-
Whether or not inheritance rights discriminate against women and girls,Oceania,548,Vanuatu,-,-,-
Whether or not inheritance rights discriminate against women and girls,Oceania,570,Niue,-,-,-
Whether or not inheritance rights discriminate against women and girls,Oceania,580,Northern Mariana Islands,-,-,-
Whether or not inheritance rights discriminate against women and girls,Oceania,584,Marshall Islands,-,-,-
Whether or not inheritance rights discriminate against women and girls,Oceania,585,Palau,-,-,-
Whether or not inheritance rights discriminate against women and girls,Oceania,598,Papua New Guinea,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Oceania,598,Papua New Guinea,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Oceania,776,Tonga,-,-,-
Whether or not inheritance rights discriminate against women and girls,Oceania,882,Samoa,-,-,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,24,Angola,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,24,Angola,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,72,Botswana,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,72,Botswana,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,108,Burundi,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,108,Burundi,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,120,Cameroon,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,120,Cameroon,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,140,Central African Republic,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,140,Central African Republic,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,148,Chad,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,148,Chad,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,178,Congo,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,178,Congo,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,180,Democratic Republic of the Congo,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,180,Democratic Republic of the Congo,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,204,Benin,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,204,Benin,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,226,Equatorial Guinea,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,226,Equatorial Guinea,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,231,Ethiopia,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,231,Ethiopia,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,232,Eritrea,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,232,Eritrea,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,266,Gabon,Discrimination against widows,The law guarantees the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,266,Gabon,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,270,Gambia,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,270,Gambia,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,288,Ghana,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,288,Ghana,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,324,Guinea,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,324,Guinea,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,384,Côte d'Ivoire,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,384,Côte d'Ivoire,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,404,Kenya,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,404,Kenya,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,426,Lesotho,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,426,Lesotho,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,430,Liberia,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,430,Liberia,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,450,Madagascar,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,450,Madagascar,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,454,Malawi,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,454,Malawi,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,466,Mali,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,466,Mali,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,478,Mauritania,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,478,Mauritania,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,480,Mauritius,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,480,Mauritius,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,508,Mozambique,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,508,Mozambique,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,516,Namibia,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,516,Namibia,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,562,Niger,Discrimination against widows,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,562,Niger,Discrimination against daughters,The law does not guarantee the same inheritance rights,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,566,Nigeria,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,566,Nigeria,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,624,Guinea-Bissau,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,624,Guinea-Bissau,Discrimination against daughters,No fixed data,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,638,Réunion,-,-,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,646,Rwanda,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,646,Rwanda,Discrimination against daughters,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,678,Sao Tome and Principe,-,-,-
Whether or not inheritance rights discriminate against women and girls,Sub-Saharan Africa,686,Senegal,Discrimination against widows,The law guarantees the same inheritance rights  but some customary  traditional or religious practices discriminates,-
