3 - Length of maternity leave

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Actual Data,Data Unit,Footnote
Length of maternity leave,Developed regions,40,Austria,Maternity leave duration,At least 14 weeks,16,Weeks,Compulsory: Pregnant women must not work during the last eight weeks immediately prior to the presumed date of confinement (eight-week period). Employees must not be employed during a period of eight weeks following childbirth. In the case of premature births  multiple births or Caesarian section births  this period shall be at least twelve weeks. If the portion of the eight-week period (Section 3 Para. 1) prior to childbirth was shorter  the missing time shall be added to the maternity leave period (Schutzfrist) after childbirth  which must  however  not exceed 16 weeks. Employees must not perform work listed under Section 4 Para. 2 nos. 1  2  3  4  8  9  12 and 13 during a period of twelve weeks after childbirth. Entitlement: Pregnant women must not work during the last eight weeks immediately prior to the presumed date of confinement (eight-week period). The eight-week period (Para. 1) has to be calculated on the basis of a medical certificate. When the date of confinement occurs earlier or later than stated in the certificate  the period shall be shortened or extended accordingly. Employees must not work during a period of eight weeks following childbirth. In the case of premature births  multiple births or Caesarian section births  this period shall be at least twelve weeks. If the portion of the eight-week period (Section 3 Para. 1) prior to childbirth was shorter  the missing time shall be added to the maternity leave period (Schutzfrist) after childbirth  which must  however  not exceed 16 weeks.
Length of maternity leave,Developed regions,56,Belgium,Maternity leave duration,At least 14 weeks,15,Weeks,Compulsory: Employment is prohibited during the seven days before the expected date of birth and the nine weeks following it. Entitlement: The duration of the maternity leave shall comprise the six weeks before (eight in the case of multiple birth) and nine weeks after the expected date of birth. If the birth occurs after the expected date  the leave is extended to the actual date of the birth. Under certain conditions new mothers have the option of converting the last two weeks of maternity leave to rest days that they can take intermittently during the eight week period after they return to work. However  in the case of a premature birth  postnatal leave is reduced by the number of days worked within the period of seven days before the date of birth (i.e. the seven days before the birth are forfeited if the woman has not be able to take any of these days because of a premature birth  and her maternity leave may not be longer than 15 weeks). Maternity leave is taken in one continuous period. However  if the newborn child has to remain in the hospital for more than eight weeks after birth  maternity leave may be interrupted until the child leaves the hospital to enter the household.
Length of maternity leave,Developed regions,70,Bosnia and Herzegovina,Maternity leave duration,At least 14 weeks,52,Weeks,Compulsory: Federation of Bosnia and Herzegovina: A woman may not take shorter maternity leave than 42 days following the birth of the child. Republic of Srpska: A woman may not start work before 60 days have expired after childbirth. District of Brcko: 7 days before the presumed date of confinement and 42 days after childbirth.  Entitlement: Federation of Bosnia and Herzegovina/Republic of Srpska: 365 days (one year). A woman may start maternity leave 28 days prior to the expected date of birth of the child. District of Brcko: 12 consecutive months. The leave may start 28 days before the presumed date of confinement.
Length of maternity leave,Developed regions,100,Bulgaria,Maternity leave duration,At least 14 weeks,32,Weeks,Compulsory: 45 days must be used before giving birth. Entitlement: The pregnancy and childbirth leave amounts to 227 days for each child (until the child is 6 months of age).
Length of maternity leave,Developed regions,112,Belarus,Maternity leave duration,At least 14 weeks,18,Weeks,Entitlement: The duration of maternity leave shall be 70 calendar days for prenatal leave and 56 calendar days for postnatal leave.
Length of maternity leave,Developed regions,124,Canada,Maternity leave duration,At least 14 weeks,17,Weeks,Compulsory: Ontario. Six weeks after the birth  still-birth or miscarriage for employees who are not taking parental leave.  Entitlement: General total duration - Federal: 17 weeks. The leave may not begin earlier than 11 weeks before the birth or end later than 17 weeks after the date of birth. Furthermore  a woman is entitled to an unpaid leave of absencess until the end of the 24th week following birth.  Ontario: 17 weeks. The employee shall begin her leave not earlier than 17 weeks before her expected date of delivery or than the date of giving birth  whichever is earlier  and not later than the expected or actual date of delivery  whichever is earlier.  Quebec: 18 weeks. The employee may spread the maternity leave as she wishes before or after the expected date of delivery. However  the maternity leave shall not begin before the sixteenth week preceding the expected date of delivery and shall not end later than 18 weeks after the week of delivery. However  where the maternity leave begins on the week of delivery  that week shall not be taken into account in calculating the maximum period of 18 consecutive weeks.
Length of maternity leave,Developed regions,191,Croatia,Maternity leave duration,At least 14 weeks,59,Weeks,Compulsory: A female worker is obliged to take maternity leave in the period from 28 days before the childbirth until the child is six months of age (mandatory maternity leave). The right to mandatory maternity leave is to be exercised without interruptions. As an exception  a woman may  at her own request  begin to work before her child is 6 months old  but not before 42 days have elapsed since the childbirth. Entitlement: 45 days before the expected date of childbirth until the first birthday of the child.
Length of maternity leave,Developed regions,196,Cyprus,Maternity leave duration,At least 14 weeks,18,Weeks,Compulsory: The employee has the obligation to take 9 weeks of maternity leave starting with the second week before the expected delivery.  Entitlement: 18 weeks.
Length of maternity leave,Developed regions,203,Czech Republic,Maternity leave duration,At least 14 weeks,28,Weeks,Compulsory: at the beginning of the sixth week before the expected childbirth (confinement).  Entitlement: 28 weeks.
Length of maternity leave,Developed regions,208,Denmark,Maternity leave duration,At least 14 weeks,18,Weeks,Compulsory: Two weeks after delivery.  Entitlement: 18 weeks (4 weeks before and 14 weeks after birth).
Length of maternity leave,Developed regions,233,Estonia,Maternity leave duration,At least 14 weeks,20,Weeks,Entitlement: 140 calendar days (up to 70 calendar days before the estimated date of delivery as determined by a doctor).
Length of maternity leave,Developed regions,246,Finland,Maternity leave duration,At least 14 weeks,15,Weeks,Compulsory: Female employees have the right to maternity leave for the period a maternity cash benefit is paid under the Health Insurance Act. The female employee can go on maternity leave 50 days before the due date at the earliest and 30 days before the due date at the latest. Women can choose by themselves when to go on maternity leave. Entitlement: 105 working days  which may be taken for up to a maximum of 50 days before and a minimum of 30 days after confinement.
Length of maternity leave,Developed regions,250,France,Maternity leave duration,At least 14 weeks,16,Weeks,Compulsory: Eight weeks of the maternity leave are compulsory  of which at least 6 weeks must be taken after childbirth.  Entitlement: 6 weeks before and 10 weeks after the expected date of birth.  At her request and if her state of health as certified by a medical practitioner allows it  the woman may reduce the prenatal leave with up to 3 weeks with a corresponding increase of postnatal leave. In case of twin births prenatal leave is extended to 12 weeks and postnatal leave to 22 weeks. For other multiple births prenatal leave is extended to 24 weeks and postnatal leave to 22 weeks. The distribution of leave in the case of a twin birth may be altered by increasing the prenatal and reducing the postnatal leave with up to 4 weeks or by reducing the prenatal leave with up to 3 weeks with a corresponding increase of postnatal leave. For the third and each subsequent child (if the woman already has two or more children or if her household is in charge of two or more children) the duration is extended to 8 weeks before and 18 weeks after the expected date of birth. The 8 weeks’ period of prenatal leave may be extended by two weeks with a corresponding reduction of postnatal leave. If a woman who benefits from a reduction of her prenatal leave is granted a sick-leave during this period  the reduction of her prenatal leave will be cancelled with a corresponding reduction of postnatal leave. When confinement occurs before the expected date the maternity leave entitlement is retained for the full period.
Length of maternity leave,Developed regions,276,Germany,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: Pregnant workers may not work in the final 6 weeks before delivery  unless the worker explicitly declares herself willing to work; this declaration may be revoked at any time.  Entitlement: 14 weeks (6 prenatal and 8 postnatal).
Length of maternity leave,Developed regions,300,Greece,Maternity leave duration,At least 14 weeks,17,Weeks,Compulsory: 8 weeks before and 9 weeks after confinement.  Entitlement: 17 weeks.
Length of maternity leave,Developed regions,348,Hungary,Maternity leave duration,At least 14 weeks,24,Weeks,Compulsory: In the absence of an agreement to the contrary  maternity leave shall be allocated so as to commence four weeks prior to the expected time of birth. Entitlement: Twenty-four weeks.
Length of maternity leave,Developed regions,352,Iceland,Maternity leave duration,Less than 14 weeks,13,Weeks,Compulsory: A woman shall take maternity leave for at least the first two weeks after the birth of her child.  Entitlement: 3 months; maternity leave can be started up to one month prior to the expected date of birth. Parents shall have a joint right to the extension of maternity/paternity leave by three months for each child after the first in a multiple birth that is born alive.
Length of maternity leave,Developed regions,372,Ireland,Maternity leave duration,At least 14 weeks,26,Weeks,Compulsory: Two weeks before and four weeks after the end of the expected week of confinement.  Entitlement: 26 consecutive weeks plus 16 weeks unpaid maternity leave after confinement. Maternity leave may in general commence or end on any day selected by the female employee (but see ’compulsory leave’). In the event of the death of the mother before the end of the 24th week following the week of confinement  the father has certain rights.
Length of maternity leave,Developed regions,376,Israel,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: 3 weeks after delivery.  Entitlement: For a woman entitled to full maternity allowance (see qualifying conditions): 14 weeks or 17 weeks for twins and extended by three weeks for the third and each subsequent child. For women who are entiled to partial maternity allowance: 7 weeks extended by 3 weeks for each subsequent child.
Length of maternity leave,Developed regions,380,Italy,Maternity leave duration,At least 14 weeks,22,Weeks,Compulsory: 5 months (2 months before and 3 after confinement).  Entitlement: 5 months: 2 months before and 3 months after the expected date of birth  or if allowed by a medical certificate  1 month before and 4 months after the expected date of birth. This 5 month period of leave is compulsory.
Length of maternity leave,Developed regions,392,Japan,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: An employer must not have a woman work within 8 weeks after childbirth  except where the worker asks to return after 6 weeks and provides medical certification of the work activities which will have no adverse effect on her.  Entitlement: Normally  women may take up to 14 weeks’ leave  commencing up to 6 weeks prior to the anticipated date of birth and finishing 8 weeks after childbirth. However  women carrying multiple fetuses may commence the period of maternity leave up to 14 weeks prior to the anticipated date of birth. In such cases  the total maternity leave entitlement is a period of up to 22 weeks.
Length of maternity leave,Developed regions,428,Latvia,Maternity leave duration,At least 14 weeks,16,Weeks,Compulsory: Two weeks prior to to the expected birth and two weeks after childbirth  as certified by a doctor’s opinion.  Entitlement: 112 days (up to 56 days prior to the expected birth).
Length of maternity leave,Developed regions,440,Lithuania,Maternity leave duration,At least 14 weeks,18,Weeks,Entitlement: 126 consecutive days (70 calendar day before and 56 calendar days after childbirth).
Length of maternity leave,Developed regions,442,Luxembourg,Maternity leave duration,At least 14 weeks,16,Weeks,Compulsory: Women shall not work during the 8 weeks preceding the expected date of birth and the 8 weeks after birth. In case of premature birth  the part of prenatal leave that has not been taken shall be added to the postnatal leave. If the birth occurs after the expected date  the compulsory prenatal leave shall be extended until the date of birth without any reduction of the postnatal leave.  Entitlement: 16 weeks.
Length of maternity leave,Developed regions,470,Malta,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: 6 weeks to be taken after the date of confinement.  Entitlement: 14 weeks. The Maternity leave shall be taken as follows: 6 weeks compulsorily immediately after the date of confinement  4 weeks before the expected date of confinement unless otherwise agreed between the employer and the employee and the remaining weeks before or after the confinement as the employee may request.
Length of maternity leave,Developed regions,492,Monaco,Maternity leave duration,At least 14 weeks,16,Weeks,0
Length of maternity leave,Developed regions,498,Republic of Moldova,Maternity leave duration,At least 14 weeks,18,Weeks,Entitlement: Women employees and women apprentices  and also the wives in the care of the employees  are granted maternity leave  including prenatal leave with a duration of 70 calendar days and postnatal leave with a duration of 56 calendar days.
Length of maternity leave,Developed regions,499,Montenegro,Maternity leave duration,At least 14 weeks,52,Weeks,0
Length of maternity leave,Developed regions,528,Netherlands,Maternity leave duration,At least 14 weeks,16,Weeks,Compulsory: 4 weeks prenatal leave (28 days  prolonged by the period that passes between the expected and the actual date of delivery) and 42 days postnatal leave.  Entitlement: 16 weeks - 6 weeks before the day following the expected date of delivery  as indicated on a written declaration from a doctor or midwife  and 10 weeks following the delivery plus the number of days by which the prenatal leave has amounted to less than 6 weeks.
Length of maternity leave,Developed regions,554,New Zealand,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: An employer may direct a pregnant employee to commence her maternity leave on such date as the employer appoints if: (a) by reason of pregnancy  the employee is unable to perform her work to the safety of herself or others  or is incapable of performing her work adequately; and (b) no other suitable work is available. No other provisions contemplating compulsory leave identified.  Entitlement: Maternity leave must be taken in 1 continuous period not exceeding 14 weeks.
Length of maternity leave,Developed regions,578,Norway,Maternity leave duration,At least 14 weeks,18,Weeks,Compulsory: Six weeks after confinement. The mother may return to work before six weeks if she obtains a medical certificate attesting her fitness to resume work.  Entitlement: Parents have the right to 12 months (52 weeks) parental leave altogether  of which the mother must take 6 weeks postnatal leave and may take 12 weeks prenatal (see: parental leave).
Length of maternity leave,Developed regions,616,Poland,Maternity leave duration,At least 14 weeks,20,Weeks,Entitlement: 20 weeks.
Length of maternity leave,Developed regions,620,Portugal,Maternity leave duration,At least 14 weeks,17,Weeks,Compulsory: 6 weeks after confinement.  Entitlement: Leave is minimum 120 days  but can rise up to 150 days for multiple births.
Length of maternity leave,Developed regions,642,Romania,Maternity leave duration,At least 14 weeks,18,Weeks,Compulsory: 42 days.  Entitlement: 126 calendar days (63 days before and 63 days after confinement).
Length of maternity leave,Developed regions,643,Russian Federation,Maternity leave duration,At least 14 weeks,20,Weeks,Entitlement: 140 days (70 days prenatal and 70 days postnatal leave).
Length of maternity leave,Developed regions,674,San Marino,Maternity leave duration,At least 14 weeks,22,Weeks,Entitlement: 5 months.
Length of maternity leave,Developed regions,688,Serbia,Maternity leave duration,At least 14 weeks,52,Weeks,Entitlement: An employed woman is entitled to leave for pregnancy and childbirth  as well as leave for child care  the total duration of 365 days. She may start her maternity leave pursuant to advice of a competent medical authority 45 days before the delivery term at the earliest and 28 days at the latest. Maternity leave shall last until three months after the childbirth. An employed woman  upon expiry of maternity leave  is entitled to leave for childcare to expiry of 365 days after the outset of the maternity leave.
Length of maternity leave,Developed regions,703,Slovakia,Maternity leave duration,At least 14 weeks,28,Weeks,Compulsory: 14 weeks altogether  6 weeks of which have to be granted after birth.  Entitlement: 28 weeks (in general 6 weeks prior to confinement  but not earlier than 8 weeks prior). If the women draws less than 6 weeks prior to confinement for another reasons than birth occurring earlier than determined by a physician  postnatal leave is granted for 22 weeks only.
Length of maternity leave,Developed regions,705,Slovenia,Maternity leave duration,At least 14 weeks,15,Weeks,Compulsory: The mother must use at least 28 days of the maternity leave before giving birth.  Entitlement: 105 days.  Maternity leave may begin up to 45 days prior to giving birth (based on a certificate issued by the appropriate medical authority).
Length of maternity leave,Developed regions,724,Spain,Maternity leave duration,At least 14 weeks,16,Weeks,Compulsory: 6 weeks after birth.  Entitlement: The general total duration of maternity leave is 16 consecutive weeks.
Length of maternity leave,Developed regions,752,Sweden,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: Two of the fourteen weeks of maternity leave are compulsary.  Entitlement: Fourteen weeks (seven before and seven after the expected date of birth).
Length of maternity leave,Developed regions,756,Switzerland,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: A woman is prohibited from working during eight weeks after the birth of her child.  Entitlement: 14 weeks to be taken in one block. No extension provided for multiple births. Employers in principle may not reduce a woman's annual leave. However  annual leave may be reduced by one-twelfth for each full month of absence if she has been prevented from doing her work for more than two months because of pregnancy. Maternity leave is regulated on a federal level  however the cantonal laws can provide better conditions. This is the case in the Canton of Geneva where maternity leave is payable for 16 weeks. Female workers employed by the Swiss Confederation are entitled to 98 days up to one year of service and at least four months if the woman has completed a year of service.
Length of maternity leave,Developed regions,804,Ukraine,Maternity leave duration,At least 14 weeks,18,Weeks,Entitlement: 126 calendar days (70 days before and 56 days after childbirth).
Length of maternity leave,Developed regions,807,The former Yugoslav Republic of Macedonia,Maternity leave duration,At least 14 weeks,39,Weeks,0
Length of maternity leave,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,Maternity leave duration,At least 14 weeks,52,Weeks,Compulsory: No less than two weeks after childbirth.  Entitlement: Up to one year (52 consecutive weeks).
Length of maternity leave,Developed regions,831,Guernsey,Maternity leave duration,At least 14 weeks,18,Weeks,0
Length of maternity leave,Developed regions,832,Jersey,Maternity leave duration,At least 14 weeks,18,Weeks,0
Length of maternity leave,Developed regions,833,Isle of Man,Maternity leave duration,At least 14 weeks,26,Weeks,0
Length of maternity leave,Developed regions,840,United States of America,Maternity leave duration,Less than 14 weeks,12,Weeks,Compulsory: There is not compulsory leave.  Entitlement: 12 weeks of unpaid  job-protected leave with continued group health insurance coverage  to be taken during a 12 months period after birth. 26 weeks for Members of the Armed Forces.
Length of maternity leave,Northern Africa,12,Algeria,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: At least one week before confinement.  Entitlement: The daily benefit conceeded to the female worker due for maternity leave shall be given for the period in which she has interrupted work  that is up to 14 weeks. The pregnant worker has to stop working before the date of birth  determined by a medical certificate. However  this period cannot be inferior to one week.
Length of maternity leave,Northern Africa,434,Libya,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: 6 weeks after confinement.  Entitlement: 14 weeks.
Length of maternity leave,Northern Africa,504,Morocco,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: Pregnant workers cannot be occupied with work in the seven consecutive weeks after the birth.  Entitlement: The pregnant worker whose pregancy has been previously attested by a doctor has the right to 14 weeks of maternity leave  unless the labour contracts  the collective agreement or internal regulations establishes more favourable conditions. The female worker has the right to suspend her labour contract for a period starting 7 weeks before the birth up to 7 weeks after it. In order to raise her child  the working mother can  in agreement with her employer  be conceeded one year of non-paid maternity leave.
Length of maternity leave,Northern Africa,788,Tunisia,Maternity leave duration,Less than 14 weeks,4,Weeks,Entitlement: 30 days. Female civil servants are entitled to two months of maternity leave. They may also take up to four month of postnatal leave after the expiry of maternity leave (optional maternity leave).
Length of maternity leave,Northern Africa,818,Egypt,Maternity leave duration,Less than 14 weeks,13,Weeks,Compulsory: A female worker shall not be required to work during the 45 days following childbirth.  Entitlement: Under the Labour Law 2003  a female worker shall have the right to a maternity leave of ninety days (only 45 days of which need be taken after childbirth). Under the Child Law 1996 (as amended in 2008)  any female worker in the public or private sector - whether part-time or full-time - shall be entitled to 3 months’ paid leave after delivery.
Length of maternity leave,Oceania,90,Solomon Islands,Maternity leave duration,Less than 14 weeks,12,Weeks,Compulsory: At least 6 weeks of the maternity leave period must be taken after childbirth. It is an offence for the worker’s employer or any other employer to give her employment during this 6 week period  and acceptance by a female worker of such employment from any other employer shall be deemed to be a breach of her previous contract.  Entitlement: A female worker shall be entitled to up to 12 weeks’ maternity leave from her employer.
Length of maternity leave,Oceania,242,Fiji,Maternity leave duration,Less than 14 weeks,12,Weeks,Compulsory: No compulsory leave requirements identified. The Employment Relations Promulgation expressly states that a woman’s maternity leave entitlement may be taken at any time before or after confinement. However  where the woman chooses to work during the pre-confinement period  she must produce a medical certificate certifying that she is fit to work during that period. Entitlement: The maternity leave entitlement is to a period of 84 consecutive days.
Length of maternity leave,Oceania,296,Kiribati,Maternity leave duration,Less than 14 weeks,12,Weeks,Compulsory: An employer shall not permit a woman to work during the period of 6 weeks following confinement.  Entitlement: The general total duration of maternity leave is up to 12 weeks  being a maximum of 6 weeks before confinement and a minimum of 6 weeks after confinement.
Length of maternity leave,Oceania,548,Vanuatu,Maternity leave duration,Less than 14 weeks,12,Weeks,Compulsory: An employer must not permit a pregnant worker to work for a period 6 weeks after her confinement. The employer must also not permit a pregnant worker to work for a period of 6 weeks before her confinement  unless she provides a medical certificate certifying that she is fit to work during that period.  Entitlement: The total duration of the maternity leave entitlement is 12 weeks  being 6 weeks before and 6 weeks after confinement.
Length of maternity leave,Oceania,598,Papua New Guinea,Maternity leave duration,No fixed data,0,Weeks,Compulsory: No compulsory leave identified.  Entitlement: The period of maternity leave to be granted shall be: (a) the period necessary for hospitalization prior to confinement; and (b) 6 weeks following confinement.
Length of maternity leave,Sub-Saharan Africa,24,Angola,Maternity leave duration,Less than 14 weeks,13,Weeks,Compulsory: Maternity leave can be taken from 4 weeks before the birth  having the following 8 weeks to be taken after the birth.  Entitlement: The female worker has the right to 3 months (12 weeks) of maternity leave.
Length of maternity leave,Sub-Saharan Africa,72,Botswana,Maternity leave duration,Less than 14 weeks,12,Weeks,Compulsory: Six weeks after confinement.  Entitlement: Twelve weeks.
Length of maternity leave,Sub-Saharan Africa,108,Burundi,Maternity leave duration,Less than 14 weeks,12,Weeks,Compulsory: The duration of the maternity leave shall be of 12 weeks  with the possibility of extension to 14 weeks  of which at least 6 have to be taken after the birth.  Entitlement: The duration of the maternity leave shall be of 12 weeks  with the possiblitiy of extension to 14 weeks  of which at least 6 have to be taken after the birth.
Length of maternity leave,Sub-Saharan Africa,120,Cameroon,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: Without prejudice to article 91 of the Labour Code  a pregnant woman cannot be employed during the period of 4 weeks preceeding the birth  subject to her having attested her state to her employer. This prohibition applys also for the period of 6 weeks after the birth.  Entitlement: Every pregnant woman is entitled to maternity leave for a period of 14 weeks  starting 4 weeks before the birth. This leave can be extended in 6 weeks in case of illness duly attested and resulting either from the birth or the pregnancy. During the period of maternity leave  the employer cannot terminate the employment contract of the woman.
Length of maternity leave,Sub-Saharan Africa,132,Cabo Verde,Maternity leave duration,Less than 14 weeks,9,Weeks,Entitlement: In the event of birth  women are entitled to 60 days of maternity leave.
Length of maternity leave,Sub-Saharan Africa,140,Central African Republic,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: In any case  no woman is authorized to work during the period of 06 weeks before the birth and 08 weeks after the birth.  Entitlement: In the event of pregnancy every woman is entitled to the right to the suspend work for a period of 14 weeks  being 06 weeks before the birth and 08 weeks after the birth. This period of suspension cannot be considered as cause of contract breaking.
Length of maternity leave,Sub-Saharan Africa,148,Chad,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: The employer cannot require a pregnant woman to work during the 4 weeks before the presumed date of birth nor during the 6 weeks after the birth.  Entitlement: Without prejudice to that stated in art. 107  the woman has the right to suspend her employment contract during a period of 6 weeks before the presumed date of birth and 8 weeks after the birth.
Length of maternity leave,Sub-Saharan Africa,174,Comoros,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: 8 weeks: In the case of pregnancy every woman has the right to suspend work for the period of 14 consecutive weeks  8 of which have to be taken after the birth.  Entitlement: In the case of pregnancy every woman has the right to suspend work for the period of 14 consecutive weeks  8 of which have to be taken after the birth. This period can be extended up to 3 weeks in case of duly attested illness resulting either from the pregnancy or the birth. This suspension cannot be considered as cause for the termination of the employment contract.
Length of maternity leave,Sub-Saharan Africa,178,Congo,Maternity leave duration,At least 14 weeks,15,Weeks,Compulsory: When of the birth  and without having this interruption of work considered a cause for the termination of the contract  every woman is entitled to interrupt work for a period of 15 consecutive weeks  being 9 taken after the birth.  Entitlement: When of the birth  and without having this interruption of work considered a cause for the termination of the contract  every woman is entitled to interrupt work for a period of 15 consecutive weeks  being 9 taken after the birth. This interruption can be extended to another 3 weeks  in cases of attested disease resulting from the pregancy.
Length of maternity leave,Sub-Saharan Africa,180,Democratic Republic of the Congo,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: 8 Weeks post-natal  and 6 weeks pre-natal. Entitlement: When of the birth  and without having the interruption of work considered a cause for the termination of the contract  every woman has the right to suspend her work for a period of 14 weeks  being 8 weeks necessarily taken after the birth  and 6 weeks before it.
Length of maternity leave,Sub-Saharan Africa,204,Benin,Maternity leave duration,At least 14 weeks,14,Weeks,Compulsory: six weeks before the probable date of confinement and eight weeks after childbirth.  Entitlement: 14 weeks.
Length of maternity leave,Sub-Saharan Africa,226,Equatorial Guinea,Maternity leave duration,Less than 14 weeks,12,Weeks,Compulsory: There is no specific provision stating the duration of compulsory leave.  Entitlement: Women shall be entitled to maternity leave as from 6 weeks before the birth  after having informed the employer and presented the medical certificates attesting the pregnancy. Maternity leave benefits shall be paid to all women covered by the social security  during the first 6 weeks before the birth and 6 weeks after the birth.
Length of maternity leave,Sub-Saharan Africa,231,Ethiopia,Maternity leave duration,Less than 14 weeks,13,Weeks,Compulsory: The Labour Proclamation does not impose any compulsory maternity-related leave.  Entitlement: The maternity leave entitlement consists of: (a) 30 consecutive days of leave with pay preceding the presumed date of her confinement; and (b) a period of 60 consecutive days of leave after her confinement. Where the actual date of confinement is earlier than the presumed date  the period of postnatal leave will commence from the date of the birth. Workers who are not covered by the Labour Proclamation 2003 have a right to one month’s leave during the period of confinement.
Length of maternity leave,Sub-Saharan Africa,232,Eritrea,Maternity leave duration,Less than 14 weeks,9,Weeks,Compulsory: No compulsory leave is prescribed by the Labour Proclamation.  Entitlement: A pregnant employee shall be entitled to sixty consecutive days of paid maternity leave beginning from the next day of her delivery. She may  however choose to take her maternity leave in two parts  one preceding her presumed confinement and the other after her delivery.
