11 - Legal minimum age at marriage  by sex

Indicator Name,Region,Country Code,Country,Sex,Measure Name,Measure Value,Actual Data,Footnote1,Footnote2
Legal minimum age at marriage  by sex,Developed regions,124,Canada,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,Marriage is under provincial and territory legislations. Without parental consent  the minimum legal age at which marriage can take place is 18 years of age in all provinces and territories in Canada except in British Columbia  Newfoundland and Labrador  Nova Scotia  Nunavut  and Yukon where the minimum legal age is 19 years. With parental consent  the minimum legal age is 16 years in all provinces except in Northwest Territories  Nunavut  and Yukon. With parental consent  in Northwest Territories  and Yukon the minimum legal age is 15 years whereas in Nunavut  the minimum legal age is 18 years.  ,0
Legal minimum age at marriage  by sex,Developed regions,191,Croatia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,191,Croatia,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,191,Croatia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,191,Croatia,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,196,Cyprus,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,196,Cyprus,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,196,Cyprus,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,196,Cyprus,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,203,Czech Republic,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,203,Czech Republic,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,203,Czech Republic,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,203,Czech Republic,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,208,Denmark,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,208,Denmark,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Developed regions,208,Denmark,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,208,Denmark,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Developed regions,233,Estonia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,233,Estonia,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Developed regions,233,Estonia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,233,Estonia,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Developed regions,246,Finland,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Persons less than 18 years old need the permission of the Ministry of Justice.,0
Legal minimum age at marriage  by sex,Developed regions,246,Finland,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,Persons less than 18 years old need the permission of the Ministry of Justice.,Data not available
Legal minimum age at marriage  by sex,Developed regions,246,Finland,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Persons less than 18 years old need the permission of the Ministry of Justice.,0
Legal minimum age at marriage  by sex,Developed regions,246,Finland,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,Persons less than 18 years old need the permission of the Ministry of Justice.,Data not available
Legal minimum age at marriage  by sex,Developed regions,250,France,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,250,France,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,250,France,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,250,France,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,276,Germany,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Marriage at 16-17 years of age requires that the other spouse be an adult already betrothed (18 years) and an exemption from the requirement of majority by a competent family court.,0
Legal minimum age at marriage  by sex,Developed regions,276,Germany,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,Marriage at 16-17 years of age requires that the other spouse be an adult already betrothed (18 years) and an exemption from the requirement of majority by a competent family court.,0
Legal minimum age at marriage  by sex,Developed regions,276,Germany,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Marriage at 16-17 years of age requires that the other spouse be an adult already betrothed (18 years) and an exemption from the requirement of majority by a competent family court.,0
Legal minimum age at marriage  by sex,Developed regions,276,Germany,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,Marriage at 16-17 years of age requires that the other spouse be an adult already betrothed (18 years) and an exemption from the requirement of majority by a competent family court.,0
Legal minimum age at marriage  by sex,Developed regions,300,Greece,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Under some conditions (e.g. pregnancy) the marriage can take place without age restrictions.,0
Legal minimum age at marriage  by sex,Developed regions,300,Greece,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,Under some conditions (e.g. pregnancy) the marriage can take place without age restrictions.,Data not available
Legal minimum age at marriage  by sex,Developed regions,300,Greece,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Under some conditions (e.g. pregnancy) the marriage can take place without age restrictions.,0
Legal minimum age at marriage  by sex,Developed regions,300,Greece,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,Under some conditions (e.g. pregnancy) the marriage can take place without age restrictions.,Data not available
Legal minimum age at marriage  by sex,Developed regions,304,Greenland,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,To marry at age younger than 18 years  both parental and official consent are needed. Pregnancy is one of the very few reasons to get official consent.,0
Legal minimum age at marriage  by sex,Developed regions,304,Greenland,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,15,To marry at age younger than 18 years  both parental and official consent are needed. Pregnancy is one of the very few reasons to get official consent.,0
Legal minimum age at marriage  by sex,Developed regions,304,Greenland,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,To marry at age younger than 18 years  both parental and official consent are needed. Pregnancy is one of the very few reasons to get official consent.,0
Legal minimum age at marriage  by sex,Developed regions,304,Greenland,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,To marry at age younger than 18 years  both parental and official consent are needed. Pregnancy is one of the very few reasons to get official consent.,0
Legal minimum age at marriage  by sex,Developed regions,348,Hungary,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,348,Hungary,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,348,Hungary,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,348,Hungary,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,352,Iceland,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,352,Iceland,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,352,Iceland,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,352,Iceland,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,372,Ireland,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent. An exemption on the minimum age can be granted by court order if granting of such an exemption is in the best interests of the parties to the intended marriage and good reasons for the application can be demonstrated.,0
Legal minimum age at marriage  by sex,Developed regions,372,Ireland,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent. An exemption on the minimum age can be granted by court order if granting of such an exemption is in the best interests of the parties to the intended marriage and good reasons for the application can be demonstrated.,0
Legal minimum age at marriage  by sex,Developed regions,372,Ireland,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent. An exemption on the minimum age can be granted by court order if granting of such an exemption is in the best interests of the parties to the intended marriage and good reasons for the application can be demonstrated.,0
Legal minimum age at marriage  by sex,Developed regions,372,Ireland,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent. An exemption on the minimum age can be granted by court order if granting of such an exemption is in the best interests of the parties to the intended marriage and good reasons for the application can be demonstrated.,0
Legal minimum age at marriage  by sex,Developed regions,376,Israel,Female,Minimum age for legal marriage - Without parental consent,Both less than 18 years,17,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,376,Israel,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,376,Israel,Male,Minimum age for legal marriage - Without parental consent,Both less than 18 years,17,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,376,Israel,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Developed regions,380,Italy,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,380,Italy,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,380,Italy,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,380,Italy,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,392,Japan,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,20,0,0
Legal minimum age at marriage  by sex,Developed regions,392,Japan,Female,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,392,Japan,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,20,0,0
Legal minimum age at marriage  by sex,Developed regions,392,Japan,Male,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,428,Latvia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,428,Latvia,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,428,Latvia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,428,Latvia,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,438,Liechtenstein,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Persons less than 18 years old need a decision of the court.,0
Legal minimum age at marriage  by sex,Developed regions,438,Liechtenstein,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,Persons less than 18 years old need a decision of the court.,Data not available
Legal minimum age at marriage  by sex,Developed regions,438,Liechtenstein,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,Persons less than 18 years old need a decision of the court.,0
Legal minimum age at marriage  by sex,Developed regions,438,Liechtenstein,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,Persons less than 18 years old need a decision of the court.,Data not available
Legal minimum age at marriage  by sex,Developed regions,440,Lithuania,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,In addition to parental consent  persons less than 18 years old need judicial approval. In case of pregnancy  marriage can be allowed below 15 years of age.,0
Legal minimum age at marriage  by sex,Developed regions,440,Lithuania,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,In addition to parental consent  persons less than 18 years old need judicial approval. In case of pregnancy  marriage can be allowed below 15 years of age.,0
Legal minimum age at marriage  by sex,Developed regions,440,Lithuania,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,In addition to parental consent  persons less than 18 years old need judicial approval. In case of pregnancy  marriage can be allowed below 15 years of age.,0
Legal minimum age at marriage  by sex,Developed regions,440,Lithuania,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,In addition to parental consent  persons less than 18 years old need judicial approval. In case of pregnancy  marriage can be allowed below 15 years of age.,0
Legal minimum age at marriage  by sex,Developed regions,442,Luxembourg,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Developed regions,442,Luxembourg,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Developed regions,442,Luxembourg,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Developed regions,442,Luxembourg,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Developed regions,470,Malta,Female,Minimum age for legal marriage - Without parental consent,Both less than 18 years,16,0,0
