"REGION","Région","LOCATION","Pays","INC","Revenu","VAR","Variable","TIME","Année","Value","Flag Codes","Flags"
"ALL","Toutes les régions","BRB","Barbade","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.49,,
"ASI","Asie","BRN","Brunéi Darussalam","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ALL","Toutes les régions","BRN","Brunéi Darussalam","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"AME","Amériques","CHL","Chili","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.26,,
"ALL","Toutes les régions","CHL","Chili","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.26,,
"EUR","Europe","HRV","Croatie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"ALL","Toutes les régions","HRV","Croatie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"ASI","Asie","CYP","Chypre","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.21,,
"ALL","Toutes les régions","CYP","Chypre","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.21,,
"EUR","Europe","EST","Estonie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.38,,
"ALL","Toutes les régions","EST","Estonie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.38,,
"ASI","Asie","HKG","Hong Kong, Chine","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ALL","Toutes les régions","HKG","Hong Kong, Chine","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ASI","Asie","ISR","Israël","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ALL","Toutes les régions","ISR","Israël","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ASI","Asie","KWT","Koweït","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.14,,
"ALL","Toutes les régions","KWT","Koweït","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.14,,
"EUR","Europe","LVA","Lettonie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.46,,
"ALL","Toutes les régions","LVA","Lettonie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.46,,
"EUR","Europe","LTU","Lituanie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ALL","Toutes les régions","LTU","Lituanie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"EUR","Europe","MLT","Malte","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"ALL","Toutes les régions","MLT","Malte","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"ASI","Asie","OMN","Oman","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.11,,
"ALL","Toutes les régions","OMN","Oman","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.11,,
"AME","Amériques","PAN","Panama","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.43,,
"ALL","Toutes les régions","PAN","Panama","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.43,,
"ASI","Asie","QAT","Qatar","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.15,,
"ALL","Toutes les régions","QAT","Qatar","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.15,,
"ASI","Asie","SAU","Arabie saoudite","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.06,,
"ALL","Toutes les régions","SAU","Arabie saoudite","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.06,,
"AFR","Afrique","SYC","Seychelles","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.47,,
"ALL","Toutes les régions","SYC","Seychelles","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.47,,
"ASI","Asie","SGP","Singapour","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ALL","Toutes les régions","SGP","Singapour","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"EUR","Europe","SVN","Slovénie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"ALL","Toutes les régions","SVN","Slovénie","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"AME","Amériques","TTO","Trinité-et-Tobago","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.44,,
"ALL","Toutes les régions","TTO","Trinité-et-Tobago","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.44,,
"ASI","Asie","ARE","Émirats arabes unis","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.15,,
"ALL","Toutes les régions","ARE","Émirats arabes unis","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.15,,
"AME","Amériques","URY","Uruguay","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ALL","Toutes les régions","URY","Uruguay","HIN","Élevé","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"AME","Amériques","MEX","Mexique","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"ALL","Toutes les régions","MEX","Mexique","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"ASI","Asie","TUR","Turquie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.15,,
"ALL","Toutes les régions","TUR","Turquie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.15,,
"EUR","Europe","ALB","Albanie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","ALB","Albanie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"AFR","Afrique","DZA","Algérie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.1,,
"ALL","Toutes les régions","DZA","Algérie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.1,,
"ASI","Asie","ARM","Arménie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"ALL","Toutes les régions","ARM","Arménie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"ASI","Asie","AZE","Azerbaïdjan","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ALL","Toutes les régions","AZE","Azerbaïdjan","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"EUR","Europe","BLR","Bélarus","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.46,,
"ALL","Toutes les régions","BLR","Bélarus","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.46,,
"AME","Amériques","BLZ","Belize","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"ALL","Toutes les régions","BLZ","Belize","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.25,,
"EUR","Europe","BIH","Bosnie-Herzégovine","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.22,,
"ALL","Toutes les régions","BIH","Bosnie-Herzégovine","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.22,,
"AFR","Afrique","BWA","Botswana","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ALL","Toutes les régions","BWA","Botswana","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"AME","Amériques","BRA","Brésil","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.4,,
"ALL","Toutes les régions","BRA","Brésil","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.4,,
"EUR","Europe","BGR","Bulgarie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ALL","Toutes les régions","BGR","Bulgarie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"AME","Amériques","COL","Colombie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.53,,
"ALL","Toutes les régions","COL","Colombie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.53,,
"AME","Amériques","CRI","Costa Rica","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"ALL","Toutes les régions","CRI","Costa Rica","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"AME","Amériques","CUB","Cuba","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.38,,
"ALL","Toutes les régions","CUB","Cuba","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.38,,
"AME","Amériques","DOM","République dominicaine","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"ALL","Toutes les régions","DOM","République dominicaine","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"AME","Amériques","ECU","Équateur","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ALL","Toutes les régions","ECU","Équateur","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ASI","Asie","FJI","Fidji","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ALL","Toutes les régions","FJI","Fidji","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"AFR","Afrique","GAB","Gabon","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ALL","Toutes les régions","GAB","Gabon","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"AME","Amériques","GTM","Guatemala","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.45,,
"ALL","Toutes les régions","GTM","Guatemala","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.45,,
"ASI","Asie","IRN","Iran","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.17,,
"ALL","Toutes les régions","IRN","Iran","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.17,,
"ASI","Asie","IRQ","Iraq","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.22,,
"ALL","Toutes les régions","IRQ","Iraq","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.22,,
"AME","Amériques","JAM","Jamaïque","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.59,,
"ALL","Toutes les régions","JAM","Jamaïque","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.59,,
"ASI","Asie","JOR","Jordanie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.01,,
"ALL","Toutes les régions","JOR","Jordanie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.01,,
"ASI","Asie","KAZ","Kazakhstan","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"ALL","Toutes les régions","KAZ","Kazakhstan","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"ASI","Asie","LBN","Liban","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.08,,
"ALL","Toutes les régions","LBN","Liban","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.08,,
"EUR","Europe","MKD","Macédoine du Nord","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.24,,
"ALL","Toutes les régions","MKD","Macédoine du Nord","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.24,,
"ASI","Asie","MYS","Malaisie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.2,,
"ALL","Toutes les régions","MYS","Malaisie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.2,,
"ASI","Asie","MDV","Maldives","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.2,,
"ALL","Toutes les régions","MDV","Maldives","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.2,,
"AFR","Afrique","MUS","Maurice","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"ALL","Toutes les régions","MUS","Maurice","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"AFR","Afrique","NAM","Namibie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.4,,
"ALL","Toutes les régions","NAM","Namibie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.4,,
"AME","Amériques","PRY","Paraguay","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ALL","Toutes les régions","PRY","Paraguay","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"AME","Amériques","PER","Pérou","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"ALL","Toutes les régions","PER","Pérou","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.37,,
"EUR","Europe","ROU","Roumanie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.3,,
"ALL","Toutes les régions","ROU","Roumanie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.3,,
"EUR","Europe","RUS","Russie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"ALL","Toutes les régions","RUS","Russie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.41,,
"ASI","Asie","WSM","Samoa","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.47,,
"ALL","Toutes les régions","WSM","Samoa","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.47,,
"AFR","Afrique","ZAF","Afrique du Sud","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","ZAF","Afrique du Sud","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ASI","Asie","THA","Thaïlande","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"ALL","Toutes les régions","THA","Thaïlande","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"AME","Amériques","VEN","Venezuela","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"ALL","Toutes les régions","VEN","Venezuela","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.33,,
"EUR","Europe","SRB","Serbie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"ALL","Toutes les régions","SRB","Serbie","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.31,,
"EUR","Europe","MNE","MontTnTgro","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"ALL","Toutes les régions","MNE","MontTnTgro","UMI","Intermédiaire supérieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.29,,
"AFR","Afrique","AGO","Angola","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","AGO","Angola","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ASI","Asie","BGD","Bangladesh","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.11,,
"ALL","Toutes les régions","BGD","Bangladesh","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.11,,
"ASI","Asie","BTN","Bhoutan","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.19,,
"ALL","Toutes les régions","BTN","Bhoutan","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.19,,
"AME","Amériques","BOL","Bolivie","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ALL","Toutes les régions","BOL","Bolivie","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.39,,
"ASI","Asie","KHM","Cambodge","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"ALL","Toutes les régions","KHM","Cambodge","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.32,,
"AFR","Afrique","CMR","Cameroun","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.1,,
"ALL","Toutes les régions","CMR","Cameroun","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.1,,
"AFR","Afrique","CIV","Côte d'Ivoire","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"ALL","Toutes les régions","CIV","Côte d'Ivoire","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.27,,
"AFR","Afrique","EGY","Égypte","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.07,,
"ALL","Toutes les régions","EGY","Égypte","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.07,,
"AME","Amériques","SLV","El Salvador","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ALL","Toutes les régions","SLV","El Salvador","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.35,,
"ASI","Asie","GEO","Géorgie","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"ALL","Toutes les régions","GEO","Géorgie","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.34,,
"AFR","Afrique","GHA","Ghana","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.42,,
"ALL","Toutes les régions","GHA","Ghana","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.42,,
"AME","Amériques","HND","Honduras","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.47,,
"ALL","Toutes les régions","HND","Honduras","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.47,,
"ASI","Asie","IND","Inde","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.13,,
"ALL","Toutes les régions","IND","Inde","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.13,,
"ASI","Asie","IDN","Indonésie","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.28,,
"ALL","Toutes les régions","IDN","Indonésie","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.28,,
"AFR","Afrique","KEN","Kenya","LWI","Intermédiaire inférieur","RAPFR_WR_PRACT","Pratique","2019","2019",0.09,,
