"REGION","Region","INCOME","Groupe de revenus","VARIABLE","Variable","LOCATION","Pays","YEAR","Année","Value","Flag Codes","Flags"
"1","Asie de l'Est et Pacifique","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","PHL","Philippines","2007","2007",93.677,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","PHL","Philippines","2007","2007",93.677,,
"3","Europe et Asie Centrale","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","ROU","Roumanie","2007","2007",96.9228,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","ROU","Roumanie","2007","2007",96.9228,,
"3","Europe et Asie Centrale","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","RUS","Russie","2007","2007",99.3716,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","RUS","Russie","2007","2007",99.3716,,
"6","Afrique sub-saharienne","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","ZAF","Afrique du Sud","2007","2007",87.1614,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","ZAF","Afrique du Sud","2007","2007",87.1614,,
"4","Moyen-Orient et Afrique du Nord","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","SYR","République arabe syrienne","2007","2007",76.4785,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","SYR","République arabe syrienne","2007","2007",76.4785,,
"1","Asie de l'Est et Pacifique","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","THA","Thaïlande","2007","2007",92.556,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","THA","Thaïlande","2007","2007",92.556,,
"4","Moyen-Orient et Afrique du Nord","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","TUN","Tunisie","2007","2007",69.0445,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","TUN","Tunisie","2007","2007",69.0445,,
"3","Europe et Asie Centrale","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","TKM","Turkménistan","2007","2007",99.3335,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","TKM","Turkménistan","2007","2007",99.3335,,
"3","Europe et Asie Centrale","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","UKR","Ukraine","2007","2007",99.613,,
"9","Toutes les régions","3","Pays à revenu moyen bas (PRMB)","EDU_1","Taux d'alphabétisation des femmes (%)","UKR","Ukraine","2007","2007",99.613,,
"3","Europe et Asie Centrale","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","AZE","Azerbaïdjan","2007","2007",99.222164,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","AZE","Azerbaïdjan","2007","2007",99.222164,,
"5","Asie du Sud","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","BGD","Bangladesh","2007","2007",48.0451,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","BGD","Bangladesh","2007","2007",48.0451,,
"6","Afrique sub-saharienne","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","BEN","Bénin","2007","2007",27.9271,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","BEN","Bénin","2007","2007",27.9271,,
"6","Afrique sub-saharienne","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","BFA","Burkina Faso","2007","2007",21.579565,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","BFA","Burkina Faso","2007","2007",21.579565,,
"1","Asie de l'Est et Pacifique","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","KHM","Cambodge","2007","2007",67.7155,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","KHM","Cambodge","2007","2007",67.7155,,
"6","Afrique sub-saharienne","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","TCD","Tchad","2007","2007",20.8379,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","TCD","Tchad","2007","2007",20.8379,,
"6","Afrique sub-saharienne","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","GHA","Ghana","2007","2007",58.2603,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","GHA","Ghana","2007","2007",58.2603,,
"5","Asie du Sud","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","IND","Inde","2007","2007",54.4765,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","IND","Inde","2007","2007",54.4765,,
"3","Europe et Asie Centrale","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","KGZ","Kirghizistan","2007","2007",99.0994,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","KGZ","Kirghizistan","2007","2007",99.0994,,
"6","Afrique sub-saharienne","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","LBR","Libéria","2007","2007",50.8919,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","LBR","Libéria","2007","2007",50.8919,,
"6","Afrique sub-saharienne","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","MWI","Malawi","2007","2007",64.6229,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","MWI","Malawi","2007","2007",64.6229,,
"6","Afrique sub-saharienne","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","MRT","Mauritanie","2007","2007",48.2766,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","MRT","Mauritanie","2007","2007",48.2766,,
"3","Europe et Asie Centrale","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","MDA","Moldova","2007","2007",98.894,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","MDA","Moldova","2007","2007",98.894,,
"1","Asie de l'Est et Pacifique","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","MNG","Mongolie","2007","2007",97.7237,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","MNG","Mongolie","2007","2007",97.7237,,
"6","Afrique sub-saharienne","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","MOZ","Mozambique","2007","2007",32.9507,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","MOZ","Mozambique","2007","2007",32.9507,,
"5","Asie du Sud","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","NPL","Népal","2007","2007",43.5584,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","NPL","Népal","2007","2007",43.5584,,
"6","Afrique sub-saharienne","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","NGA","Nigéria","2007","2007",64.0956,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","NGA","Nigéria","2007","2007",64.0956,,
"1","Asie de l'Est et Pacifique","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","PNG","Papouasie-Nouvelle-Guinée","2007","2007",53.3615,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","PNG","Papouasie-Nouvelle-Guinée","2007","2007",53.3615,,
"6","Afrique sub-saharienne","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","SLE","Sierra Leone","2007","2007",26.7709,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","SLE","Sierra Leone","2007","2007",26.7709,,
"3","Europe et Asie Centrale","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","TJK","Tadjikistan","2007","2007",99.5125,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","TJK","Tadjikistan","2007","2007",99.5125,,
"6","Afrique sub-saharienne","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","TZA","Tanzanie","2007","2007",65.857,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","TZA","Tanzanie","2007","2007",65.857,,
"6","Afrique sub-saharienne","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","UGA","Ouganda","2007","2007",65.5086,,
"9","Toutes les régions","4","Pays à faible revenu (PFR)","EDU_1","Taux d'alphabétisation des femmes (%)","UGA","Ouganda","2007","2007",65.5086,,
