"REG","Région","LOCATION","Pays","INC","Groupe de revenus","VAR","Variables","TIME","Année","Value","Flag Codes","Flags"
"ECA","Europe and Central Asia","IRL","Irlande","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0,,
"ECA","Europe and Central Asia","ITA","Italie","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0,,
"EAP","Asie de l'Est et Pacifique","JPN","Japon","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
"EAP","Asie de l'Est et Pacifique","KOR","Corée","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0,,
"ECA","Europe and Central Asia","LUX","Luxembourg","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
"ECA","Europe and Central Asia","NLD","Pays-Bas","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0,,
"EAP","Asie de l'Est et Pacifique","NZL","Nouvelle-Zélande","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.08,,
"ECA","Europe and Central Asia","NOR","Norvège","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0,,
"ECA","Europe and Central Asia","POL","Pologne","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.02,,
"ECA","Europe and Central Asia","PRT","Portugal","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.05,,
"ECA","Europe and Central Asia","SVK","République slovaque","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
"ECA","Europe and Central Asia","ESP","Espagne","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
"ECA","Europe and Central Asia","SWE","Suède","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
"ECA","Europe and Central Asia","CHE","Suisse","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
"ECA","Europe and Central Asia","GBR","Royaume-Uni","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0,,
"NA","Amérique du Nord","USA","États-Unis","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.03,,
"LAC","Amérique latine et Caraïbes","CHL","Chili","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.06,,
"ECA","Europe and Central Asia","EST","Estonie","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.05,,
"MENA","Moyen-Orient et Afrique du Nord","ISR","Israël","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.03,,
"ECA","Europe and Central Asia","SVN","Slovénie","HIO","Pays à haut revenu: OCDE","FC_2","Mariage précoce","2014","2014",0.01,,
"SA","Asie du Sud","AFG","Afghanistan","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.17,,
"SSA","Afrique Sub-Saharienne","AGO","Angola","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.36,,
"SA","Asie du Sud","BGD","Bangladesh","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.46,,
"SSA","Afrique Sub-Saharienne","BEN","Bénin","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.22,,
"SSA","Afrique Sub-Saharienne","BFA","Burkina Faso","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.32,,
"SSA","Afrique Sub-Saharienne","BDI","Burundi","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.1,,
"EAP","Asie de l'Est et Pacifique","KHM","Cambodge","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.11,,
"SSA","Afrique Sub-Saharienne","CAF","République centrafricaine","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.42,,
"SSA","Afrique Sub-Saharienne","TCD","Tchad","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.45,,
"EAP","Asie de l'Est et Pacifique","PRK","RTpublique populaire dTmocratique de CorTe","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0,,
"SSA","Afrique Sub-Saharienne","COD","RTpublique dTmocratique du Congo","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.25,,
"SSA","Afrique Sub-Saharienne","ERI","Érythrée","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.31,,
"SSA","Afrique Sub-Saharienne","ETH","Éthiopie","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.23,,
"SSA","Afrique Sub-Saharienne","GMB","Gambie","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.25,,
"SSA","Afrique Sub-Saharienne","GIN","Guinée","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.38,,
"SSA","Afrique Sub-Saharienne","GNB","Guinée-Bissau","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.22,,
"LAC","Amérique latine et Caraïbes","HTI","Haïti","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.19,,
"SSA","Afrique Sub-Saharienne","KEN","Kenya","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.13,,
"SSA","Afrique Sub-Saharienne","LBR","Libéria","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.2,,
"SSA","Afrique Sub-Saharienne","MDG","Madagascar","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.4,,
"SSA","Afrique Sub-Saharienne","MWI","Malawi","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.26,,
"SSA","Afrique Sub-Saharienne","MLI","Mali","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.53,,
"SSA","Afrique Sub-Saharienne","MOZ","Mozambique","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.45,,
"EAP","Asie de l'Est et Pacifique","MMR","Myanmar","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.07,,
"SA","Asie du Sud","NPL","Népal","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.29,,
"SSA","Afrique Sub-Saharienne","NER","Niger","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.61,,
"SSA","Afrique Sub-Saharienne","RWA","Rwanda","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.04,,
"SSA","Afrique Sub-Saharienne","SLE","Sierra Leone","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.31,,
"SSA","Afrique Sub-Saharienne","SOM","Somalie","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.22,,
"ECA","Europe and Central Asia","TJK","Tadjikistan","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.13,,
"SSA","Afrique Sub-Saharienne","TZA","Tanzanie","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.2,,
"SSA","Afrique Sub-Saharienne","TGO","Togo","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.16,,
"SSA","Afrique Sub-Saharienne","UGA","Ouganda","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.23,,
"SSA","Afrique Sub-Saharienne","ZWE","Zimbabwe","LIN","Pays à faible revenu","FC_2","Mariage précoce","2014","2014",0.26,,
"ECA","Europe and Central Asia","ARM","Arménie","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.08,,
"SA","Asie du Sud","BTN","Bhoutan","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.14,,
"LAC","Amérique latine et Caraïbes","BOL","Bolivie","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.15,,
"SSA","Afrique Sub-Saharienne","CMR","Cameroun","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.26,,
"SSA","Afrique Sub-Saharienne","COG","Congo","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.2,,
"SSA","Afrique Sub-Saharienne","CIV","Côte d'Ivoire","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.25,,
"MENA","Moyen-Orient et Afrique du Nord","EGY","Égypte","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.14,,
"LAC","Amérique latine et Caraïbes","SLV","El Salvador","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.17,,
"ECA","Europe and Central Asia","GEO","Géorgie","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.14,,
"SSA","Afrique Sub-Saharienne","GHA","Ghana","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.09,,
"LAC","Amérique latine et Caraïbes","GTM","Guatemala","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.2,,
"LAC","Amérique latine et Caraïbes","HND","Honduras","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.25,,
"SA","Asie du Sud","IND","Inde","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.28,,
"EAP","Asie de l'Est et Pacifique","IDN","Indonésie","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.14,,
"ECA","Europe and Central Asia","KGZ","Kirghizistan","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.08,,
"EAP","Asie de l'Est et Pacifique","LAO","République démocratique populaire lao","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.2,,
"SSA","Afrique Sub-Saharienne","LSO","Lesotho","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.15,,
"SSA","Afrique Sub-Saharienne","MRT","Mauritanie","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.28,,
"ECA","Europe and Central Asia","MDA","Moldova","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.11,,
"EAP","Asie de l'Est et Pacifique","MNG","Mongolie","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.04,,
"MENA","Moyen-Orient et Afrique du Nord","MAR","Maroc","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.11,,
"LAC","Amérique latine et Caraïbes","NIC","Nicaragua","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.3,,
"SSA","Afrique Sub-Saharienne","NGA","Nigéria","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.29,,
"MENA","Moyen-Orient et Afrique du Nord","PSE","AutoritT palestinienne ou Cisjordanie et bande de Gaza","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.06,,
"SA","Asie du Sud","PAK","Pakistan","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.11,,
"EAP","Asie de l'Est et Pacifique","PNG","Papouasie-Nouvelle-Guinée","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.16,,
"LAC","Amérique latine et Caraïbes","PRY","Paraguay","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.13,,
"EAP","Asie de l'Est et Pacifique","PHL","Philippines","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.05,,
"SSA","Afrique Sub-Saharienne","SEN","Sénégal","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.25,,
"SA","Asie du Sud","LKA","Sri Lanka","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.09,,
"SSA","Afrique Sub-Saharienne","SDN","Soudan","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.24,,
"SSA","Afrique Sub-Saharienne","SWZ","Swaziland","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.07,,
"MENA","Moyen-Orient et Afrique du Nord","SYR","République arabe syrienne","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.11,,
"EAP","Asie de l'Est et Pacifique","TLS","Timor-Leste","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.08,,
"ECA","Europe and Central Asia","UKR","Ukraine","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.07,,
"ECA","Europe and Central Asia","UZB","Ouzbékistan","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.05,,
"EAP","Asie de l'Est et Pacifique","VNM","Viet Nam","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.1,,
"MENA","Moyen-Orient et Afrique du Nord","YEM","Yémen","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.17,,
"SSA","Afrique Sub-Saharienne","ZMB","Zambie","LMI","Pays à revenu moyen bas","FC_2","Mariage précoce","2014","2014",0.19,,
"ECA","Europe and Central Asia","HUN","Hongrie","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.01,,
"LAC","Amérique latine et Caraïbes","MEX","Mexique","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.17,,
"ECA","Europe and Central Asia","TUR","Turquie","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.1,,
"ECA","Europe and Central Asia","ALB","Albanie","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.07,,
"MENA","Moyen-Orient et Afrique du Nord","DZA","Algérie","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.02,,
"LAC","Amérique latine et Caraïbes","ARG","Argentine","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.13,,
"ECA","Europe and Central Asia","AZE","Azerbaïdjan","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.08,,
"ECA","Europe and Central Asia","BLR","Bélarus","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.04,,
"ECA","Europe and Central Asia","BIH","Bosnie-Herzégovine","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.17,,
"SSA","Afrique Sub-Saharienne","BWA","Botswana","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.05,,
"LAC","Amérique latine et Caraïbes","BRA","Brésil","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.04,,
"ECA","Europe and Central Asia","BGR","Bulgarie","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.09,,
"EAP","Asie de l'Est et Pacifique","CHN","Chine (République populaire de)","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.02,,
"LAC","Amérique latine et Caraïbes","COL","Colombie","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.17,,
"LAC","Amérique latine et Caraïbes","CRI","Costa Rica","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.13,,
"LAC","Amérique latine et Caraïbes","CUB","Cuba","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.23,,
"LAC","Amérique latine et Caraïbes","DOM","République dominicaine","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.27,,
"LAC","Amérique latine et Caraïbes","ECU","Équateur","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.22,,
"EAP","Asie de l'Est et Pacifique","FJI","Fidji","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.1,,
"SSA","Afrique Sub-Saharienne","GAB","Gabon","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.22,,
"MENA","Moyen-Orient et Afrique du Nord","IRN","Iran","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.21,,
"MENA","Moyen-Orient et Afrique du Nord","IRQ","Iraq","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.19,,
"LAC","Amérique latine et Caraïbes","JAM","Jamaïque","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.01,,
"MENA","Moyen-Orient et Afrique du Nord","JOR","Jordanie","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.07,,
"ECA","Europe and Central Asia","KAZ","Kazakhstan","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.05,,
"MENA","Moyen-Orient et Afrique du Nord","LBN","Liban","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.03,,
"MENA","Moyen-Orient et Afrique du Nord","LBY","Libye","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.03,,
"ECA","Europe and Central Asia","MKD","Ex-République yougoslave de Macédoine","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.07,,
"EAP","Asie de l'Est et Pacifique","MYS","Malaisie","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.06,,
"SSA","Afrique Sub-Saharienne","MUS","Maurice","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.1,,
"SSA","Afrique Sub-Saharienne","NAM","Namibie","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.05,,
"LAC","Amérique latine et Caraïbes","PAN","Panama","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.22,,
"LAC","Amérique latine et Caraïbes","PER","Pérou","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.16,,
"ECA","Europe and Central Asia","ROU","Roumanie","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.03,,
"SSA","Afrique Sub-Saharienne","ZAF","Afrique du Sud","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.03,,
"EAP","Asie de l'Est et Pacifique","THA","Thaïlande","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.11,,
"MENA","Moyen-Orient et Afrique du Nord","TUN","Tunisie","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.02,,
"ECA","Europe and Central Asia","TKM","Turkménistan","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.05,,
"LAC","Amérique latine et Caraïbes","VEN","Venezuela","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.17,,
"ECA","Europe and Central Asia","SRB","Serbie","UMI","Pays à revenu moyen haut","FC_2","Mariage précoce","2014","2014",0.05,,
"ALL","Toutes les régions","AUS","Australie","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.01,,
"ALL","Toutes les régions","AUT","Autriche","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0,,
"ALL","Toutes les régions","BEL","Belgique","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.01,,
"ALL","Toutes les régions","CAN","Canada","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.03,,
"ALL","Toutes les régions","CZE","République tchèque","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0,,
"ALL","Toutes les régions","DNK","Danemark","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0,,
"ALL","Toutes les régions","FIN","Finlande","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.01,,
"ALL","Toutes les régions","FRA","France","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.01,,
"ALL","Toutes les régions","DEU","Allemagne","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0,,
"ALL","Toutes les régions","GRC","Grèce","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.04,,
"ALL","Toutes les régions","HUN","Hongrie","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.01,,
"ALL","Toutes les régions","ISL","Islande","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.01,,
"ALL","Toutes les régions","IRL","Irlande","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0,,
"ALL","Toutes les régions","ITA","Italie","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0,,
"ALL","Toutes les régions","JPN","Japon","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.01,,
"ALL","Toutes les régions","KOR","Corée","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0,,
"ALL","Toutes les régions","LUX","Luxembourg","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.01,,
"ALL","Toutes les régions","MEX","Mexique","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.17,,
"ALL","Toutes les régions","NLD","Pays-Bas","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0,,
"ALL","Toutes les régions","NZL","Nouvelle-Zélande","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.08,,
"ALL","Toutes les régions","NOR","Norvège","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0,,
"ALL","Toutes les régions","POL","Pologne","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.02,,
"ALL","Toutes les régions","PRT","Portugal","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.05,,
"ALL","Toutes les régions","SVK","République slovaque","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.01,,
"ALL","Toutes les régions","ESP","Espagne","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.01,,
"ALL","Toutes les régions","SWE","Suède","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.01,,
"ALL","Toutes les régions","CHE","Suisse","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.01,,
"ALL","Toutes les régions","TUR","Turquie","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.1,,
"ALL","Toutes les régions","GBR","Royaume-Uni","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0,,
"ALL","Toutes les régions","USA","États-Unis","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.03,,
"ALL","Toutes les régions","AFG","Afghanistan","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.17,,
"ALL","Toutes les régions","ALB","Albanie","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.07,,
"ALL","Toutes les régions","DZA","Algérie","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.02,,
"ALL","Toutes les régions","AGO","Angola","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.36,,
"ALL","Toutes les régions","ARG","Argentine","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.13,,
"ALL","Toutes les régions","ARM","Arménie","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.08,,
"ALL","Toutes les régions","AZE","Azerbaïdjan","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.08,,
"ALL","Toutes les régions","BHR","Bahreïn","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.04,,
"ALL","Toutes les régions","BGD","Bangladesh","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.46,,
"ALL","Toutes les régions","BLR","Bélarus","AIC","Toutes les catégories de revenu","FC_2","Mariage précoce","2014","2014",0.04,,
