pays,formulation,value,map_value,année,,,,,,,,
Guyane,Ecart hommes/femmes part de diplômés du supérieur,-0.37%,0.003661318936,1999,-0.4,,,,,,,
Réunion,Ecart hommes/femmes part de diplômés du supérieur,-0.07%,0.0006561645362,1999,-0.1,,,,,,,
DOM,Ecart hommes/femmes part de diplômés du supérieur,+0.93%,0.009341401226,1999,0.9,,,,,,,
France,Ecart hommes/femmes part de diplômés du supérieur,+1.82%,0.01822398556,1999,1.8,,,,,,,
Auvergne-Rhône-Alpes,Ecart taux d'emploi des non diplômés,-16.6%,0.166,2013,-16.6,,,,,,,
Bourgogne-Franche-Comté,Ecart taux d'emploi des non diplômés,-15.7%,0.157,2013,-15.7,,,,,,,
Bretagne,Ecart taux d'emploi des non diplômés,-11.4%,0.114,2013,-11.4,,,,,,,
Centre-Val de Loire,Ecart taux d'emploi des non diplômés,-13.1%,0.131,2013,-13.1,,,,,,,
Corse,Ecart taux d'emploi des non diplômés,-28.3%,0.283,2013,-28.3,,,,,,,
Grand Est,Ecart taux d'emploi des non diplômés,-18.6%,0.186,2013,-18.6,,,,,,,
Hauts-de-France,Ecart taux d'emploi des non diplômés,-21.1%,0.211,2013,-21.1,,,,,,,
Ile-de-France,Ecart taux d'emploi des non diplômés,-14%,0.14,2013,-14.0,,,,,,,
Normandie,Ecart taux d'emploi des non diplômés,-14.1%,0.141,2013,-14.1,,,,,,,
Nouvelle-Aquitaine,Ecart taux d'emploi des non diplômés,-14.6%,0.146,2013,-14.6,,,,,,,
Occitanie,Ecart taux d'emploi des non diplômés,-17.1%,0.171,2013,-17.1,,,,,,,
Pays de la Loire,Ecart taux d'emploi des non diplômés,-10.8%,0.108,2013,-10.8,,,,,,,
Provence-Alpes-Côte d'Azur,Ecart taux d'emploi des non diplômés,-19%,0.19,2013,-19.0,,,,,,,
France de province,Ecart taux d'emploi des non diplômés,-16.7%,0.167,2013,-16.7,,,,,,,
France métropolitaine,Ecart taux d'emploi des non diplômés,-16.2%,0.162,2013,-16.2,,,,,,,
Guadeloupe,Ecart taux d'emploi des non diplômés,-16%,0.16,2013,-16.0,,,,,,,
Martinique,Ecart taux d'emploi des non diplômés,-10.5%,0.105,2013,-10.5,,,,,,,
Guyane,Ecart taux d'emploi des non diplômés,-14.3%,0.143,2013,-14.3,,,,,,,
Réunion,Ecart taux d'emploi des non diplômés,-17.6%,0.176,2013,-17.6,,,,,,,
DOM,Ecart taux d'emploi des non diplômés,-15.7%,0.157,2013,-15.7,,,,,,,
France,Ecart taux d'emploi des non diplômés,-16.2%,0.162,2013,-16.2,,,,,,,
Auvergne-Rhône-Alpes,Ecart taux d'emploi des non diplômés,-22.72%,0.2271610892,1999,-22.7,,,,,,,
Bourgogne-Franche-Comté,Ecart taux d'emploi des non diplômés,-24.68%,0.2468182694,1999,-24.7,,,,,,,
Bretagne,Ecart taux d'emploi des non diplômés,-16.32%,0.1631839771,1999,-16.3,,,,,,,
Centre-Val de Loire,Ecart taux d'emploi des non diplômés,-19.21%,0.1920528284,1999,-19.2,,,,,,,
Corse,Ecart taux d'emploi des non diplômés,-32.38%,0.3238237411,1999,-32.4,,,,,,,
Grand Est,Ecart taux d'emploi des non diplômés,-28.2%,0.2819685436,1999,-28.2,,,,,,,
Hauts-de-France,Ecart taux d'emploi des non diplômés,-28.63%,0.2863069279,1999,-28.6,,,,,,,
Ile-de-France,Ecart taux d'emploi des non diplômés,-15.53%,0.15525884,1999,-15.5,,,,,,,
Normandie,Ecart taux d'emploi des non diplômés,-21.81%,0.2181118942,1999,-21.8,,,,,,,
Nouvelle-Aquitaine,Ecart taux d'emploi des non diplômés,-20.92%,0.2091827653,1999,-20.9,,,,,,,
Occitanie,Ecart taux d'emploi des non diplômés,-23.38%,0.2337816945,1999,-23.4,,,,,,,
Pays de la Loire,Ecart taux d'emploi des non diplômés,-18.87%,0.1886964937,1999,-18.9,,,,,,,
Provence-Alpes-Côte d'Azur,Ecart taux d'emploi des non diplômés,-26.09%,0.2608837564,1999,-26.1,,,,,,,
France de province,Ecart taux d'emploi des non diplômés,-23.71%,0.2370792685,1999,-23.7,,,,,,,
France métropolitaine,Ecart taux d'emploi des non diplômés,-22.26%,0.2226302387,1999,-22.3,,,,,,,
Guadeloupe,Ecart taux d'emploi des non diplômés,-15.51%,0.1550619706,1999,-15.5,,,,,,,
Martinique,Ecart taux d'emploi des non diplômés,-14.53%,0.145339672,1999,-14.5,,,,,,,
Guyane,Ecart taux d'emploi des non diplômés,-25.19%,0.2519123072,1999,-25.2,,,,,,,
Réunion,Ecart taux d'emploi des non diplômés,-20.2%,0.2019765188,1999,-20.2,,,,,,,
DOM,Ecart taux d'emploi des non diplômés,-18.46%,0.1845505057,1999,-18.5,,,,,,,
France,Ecart taux d'emploi des non diplômés,-21.96%,0.2196183546,1999,-22.0,,,,,,,
