pays,année,,formulation,,value,map_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2011,moins de 18 ans,"Taux de pauvreté des femmes par rapport aux hommes, moins de 18 ans",0.6,0.6%,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2012,18 à 29 ans,"Taux de pauvreté des femmes par rapport aux hommes, 18 à 29 ans",3.3,3.3%,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2012,30 à 49 ans,"Taux de pauvreté des femmes par rapport aux hommes, 30 à 49 ans",2.5,2.5%,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2012,50 à 59 ans,"Taux de pauvreté des femmes par rapport aux hommes, 50 à 59 ans",0.3,0.3%,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2012,60 à 74 ans,"Taux de pauvreté des femmes par rapport aux hommes, 60 à 74 ans",0.4,0.4%,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2012,75 ans et plus,"Taux de pauvreté des femmes par rapport aux hommes, 75 ans et plus",4.0,4.0%,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2012,moins de 18 ans,"Taux de pauvreté des femmes par rapport aux hommes, moins de 18 ans",-0.4,-0.4%,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2013,18 à 29 ans,"Taux de pauvreté des femmes par rapport aux hommes, 18 à 29 ans",1.8,1.8%,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2013,30 à 49 ans,"Taux de pauvreté des femmes par rapport aux hommes, 30 à 49 ans",2.6,2.6%,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2013,50 à 59 ans,"Taux de pauvreté des femmes par rapport aux hommes, 50 à 59 ans",1.0,1.0%,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2013,60 à 74 ans,"Taux de pauvreté des femmes par rapport aux hommes, 60 à 74 ans",-0.1,-0.1%,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2013,75 ans et plus,"Taux de pauvreté des femmes par rapport aux hommes, 75 ans et plus",3.3,3.3%,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2014,moins de 18 ans,"Taux de pauvreté des femmes par rapport aux hommes, moins de 18 ans",1.5,1.5%,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2014,18 à 29 ans,"Taux de pauvreté des femmes par rapport aux hommes, 18 à 29 ans",2.9,2.9%,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2014,30 à 49 ans,"Taux de pauvreté des femmes par rapport aux hommes, 30 à 49 ans",2.6,2.6%,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2014,50 à 59 ans,"Taux de pauvreté des femmes par rapport aux hommes, 50 à 59 ans",1.0,1.0%,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2014,60 à 74 ans,"Taux de pauvreté des femmes par rapport aux hommes, 60 à 74 ans",-0.7,-0.7%,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2014,75 ans et plus,"Taux de pauvreté des femmes par rapport aux hommes, 75 ans et plus",3.0,3.0%,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2015,moins de 18 ans,"Taux de pauvreté des femmes par rapport aux hommes, moins de 18 ans",1.0,1.0%,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2015,18 à 29 ans,"Taux de pauvreté des femmes par rapport aux hommes, 18 à 29 ans",2.0,2.0%,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2015,30 à 49 ans,"Taux de pauvreté des femmes par rapport aux hommes, 30 à 49 ans",2.3,2.3%,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2015,50 à 59 ans,"Taux de pauvreté des femmes par rapport aux hommes, 50 à 59 ans",0.6,0.6%,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2015,60 à 74 ans,"Taux de pauvreté des femmes par rapport aux hommes, 60 à 74 ans",-0.2,-0.2%,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2015,75 ans et plus,"Taux de pauvreté des femmes par rapport aux hommes, 75 ans et plus",2.0,2.0%,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
