pays,année,formulation,,,value,map_value,"élèves, étudiants, stagiaires non rémunérés",femmes ou hommes au foyer,autres
France,2014,"Population immigrée depuis Algérie, part de femmes parmi les étudiants",Algérie,0.516703958,0.52%,0.03340791606,,,
France,2014,"Population immigrée depuis Maroc, part de femmes parmi les étudiants",Maroc,0.4820693269,0.48%,0.03586134611,,,
France,2014,"Population immigrée depuis Tunisie, part de femmes parmi les étudiants",Tunisie,0.5069301848,0.51%,0.01386036961,,,
France,2014,"Population immigrée depuis Autres pays d'Afrique, part de femmes parmi les étudiants",Autres pays d'Afrique,0.5113364872,0.51%,0.02267297438,,,
France,2014,"Population immigrée depuis Turquie, part de femmes parmi les étudiants",Turquie,0.5342580916,0.53%,0.06851618327,,,
France,2014,"Population immigrée depuis Portugal, part des femmes parmi les hommes au femmes au foyer",Portugal,0.9741679873,0.97%,0.9483359746,,,
France,2014,"Population immigrée depuis Italie, part des femmes parmi les hommes au femmes au foyer",Italie,0.9772382398,0.98%,0.9544764795,,,
France,2014,"Population immigrée depuis Espagne, part des femmes parmi les hommes au femmes au foyer",Espagne,0.9776572871,0.98%,0.9553145742,,,
France,2014,"Population immigrée depuis Autres pays de l'Union Européenne à 27, part des femmes parmi les hommes au femmes au foyer",Autres pays de l'Union Européenne à 27,0.9577337488,0.96%,0.9154674976,,,
France,2014,"Population immigrée depuis Autres pays d'Europe, part des femmes parmi les hommes au femmes au foyer",Autres pays d'Europe,0.9663955119,0.97%,0.9327910238,,,
France,2014,"Population immigrée depuis Algérie, part des femmes parmi les hommes au femmes au foyer",Algérie,0.9789969753,0.98%,0.9579939506,,,
France,2014,"Population immigrée depuis Maroc, part des femmes parmi les hommes au femmes au foyer",Maroc,0.984439135,0.98%,0.9688782699,,,
France,2014,"Population immigrée depuis Tunisie, part des femmes parmi les hommes au femmes au foyer",Tunisie,0.9783242538,0.98%,0.9566485076,,,
France,2014,"Population immigrée depuis Autres pays d'Afrique, part des femmes parmi les hommes au femmes au foyer",Autres pays d'Afrique,0.9580007954,0.96%,0.9160015909,,,
France,2014,"Population immigrée depuis Turquie, part des femmes parmi les hommes au femmes au foyer",Turquie,0.9791764656,0.98%,0.9583529311,,,
