année,pays,formulation,value,map_value,,,,,
2013,Guyane,Écart Femmes-Hommes salaire net annuel moyen ,-9.97%,0.4,-10.0,,,,
2013,La Réunion,Écart Femmes-Hommes salaire net annuel moyen ,-8.43%,0.3,-8.4,,,,
2013,DOM,Écart Femmes-Hommes salaire net annuel moyen ,-9.71%,0.4,-9.7,,,,
2013,France,Écart Femmes-Hommes salaire net annuel moyen ,-19.04%,0.7,-19.0,,,,
2014,Auvergne-Rhône-Alpes,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.22%,0.8,-21.2,,,,
2014,Bourgogne-Franche-Comté,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.6%,0.8,-21.6,,,,
2014,Bretagne,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.21%,0.8,-21.2,,,,
2014,Centre-Val de Loire,Écart Femmes-Hommes salaire net annuel moyen des cadres,-20.91%,0.8,-20.9,,,,
2014,Corse,Écart Femmes-Hommes salaire net annuel moyen des cadres,-20.74%,0.8,-20.7,,,,
2014,Grand Est,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.26%,0.8,-21.3,,,,
2014,Hauts-de-France,Écart Femmes-Hommes salaire net annuel moyen des cadres,-20.98%,0.8,-21.0,,,,
2014,Ile-de-France,Écart Femmes-Hommes salaire net annuel moyen des cadres,-22.03%,0.8,-22.0,,,,
2014,Normandie,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.41%,0.8,-21.4,,,,
2014,Nouvelle-Aquitaine,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.78%,0.8,-21.8,,,,
2014,Occitanie,Écart Femmes-Hommes salaire net annuel moyen des cadres,-20.7%,0.8,-20.7,,,,
2014,Pays de la Loire,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.06%,0.8,-21.1,,,,
2014,Provence-Alpes-Côte d'Azur,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.83%,0.8,-21.8,,,,
2014,France de province,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.22%,0.8,-21.2,,,,
2014,France métropolitaine,Écart Femmes-Hommes salaire net annuel moyen des cadres,-20.06%,0.7,-20.1,,,,
2014,Guadeloupe,Écart Femmes-Hommes salaire net annuel moyen des cadres,-22.01%,0.8,-22.0,,,,
2014,Martinique,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.95%,0.8,-21.9,,,,
2014,Guyane,Écart Femmes-Hommes salaire net annuel moyen des cadres,-19.97%,0.7,-20.0,,,,
2014,La Réunion,Écart Femmes-Hommes salaire net annuel moyen des cadres,-20.15%,0.7,-20.2,,,,
2014,DOM,Écart Femmes-Hommes salaire net annuel moyen des cadres,-20.93%,0.8,-20.9,,,,
2014,France,Écart Femmes-Hommes salaire net annuel moyen des cadres,-20.07%,0.7,-20.1,,,,
2013,Auvergne-Rhône-Alpes,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.93%,0.8,-21.9,,,,
2013,Bourgogne-Franche-Comté,Écart Femmes-Hommes salaire net annuel moyen des cadres,-22.25%,0.8,-22.2,,,,
2013,Bretagne,Écart Femmes-Hommes salaire net annuel moyen des cadres,-22.09%,0.8,-22.1,,,,
2013,Centre-Val de Loire,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.7%,0.8,-21.7,,,,
2013,Corse,Écart Femmes-Hommes salaire net annuel moyen des cadres,-20.63%,0.7,-20.6,,,,
2013,Grand Est,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.91%,0.8,-21.9,,,,
2013,Hauts-de-France,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.48%,0.8,-21.5,,,,
2013,Ile-de-France,Écart Femmes-Hommes salaire net annuel moyen des cadres,-22.9%,0.8,-22.9,,,,
2013,Normandie,Écart Femmes-Hommes salaire net annuel moyen des cadres,-22.07%,0.8,-22.1,,,,
2013,Nouvelle-Aquitaine,Écart Femmes-Hommes salaire net annuel moyen des cadres,-22.58%,0.8,-22.6,,,,
2013,Occitanie,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.64%,0.8,-21.6,,,,
2013,Pays de la Loire,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.72%,0.8,-21.7,,,,
2013,Provence-Alpes-Côte d'Azur,Écart Femmes-Hommes salaire net annuel moyen des cadres,-22.58%,0.8,-22.6,,,,
2013,France de province,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.94%,0.8,-21.9,,,,
2013,France métropolitaine,Écart Femmes-Hommes salaire net annuel moyen des cadres,-20.86%,0.8,-20.9,,,,
2013,Guadeloupe,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.41%,0.8,-21.4,,,,
2013,Martinique,Écart Femmes-Hommes salaire net annuel moyen des cadres,-23.16%,0.8,-23.2,,,,
2013,Guyane,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.46%,0.8,-21.5,,,,
2013,La Réunion,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.5%,0.8,-21.5,,,,
2013,DOM,Écart Femmes-Hommes salaire net annuel moyen des cadres,-21.8%,0.8,-21.8,,,,
2013,France,Écart Femmes-Hommes salaire net annuel moyen des cadres,-20.87%,0.8,-20.9,,,,
2014,Auvergne-Rhône-Alpes,Écart Femmes-Hommes revenu salarial net annuel moyen,-27.59%,1.0,-27.6,,,,
2014,Bourgogne-Franche-Comté,Écart Femmes-Hommes revenu salarial net annuel moyen,-26.64%,1.0,-26.6,,,,
2014,Bretagne,Écart Femmes-Hommes revenu salarial net annuel moyen,-25.82%,0.9,-25.8,,,,
2014,Centre-Val de Loire,Écart Femmes-Hommes revenu salarial net annuel moyen,-23.98%,0.9,-24.0,,,,
2014,Corse,Écart Femmes-Hommes revenu salarial net annuel moyen,-22.08%,0.8,-22.1,,,,
2014,Grand Est,Écart Femmes-Hommes revenu salarial net annuel moyen,-27.38%,1.0,-27.4,,,,
2014,Hauts-de-France,Écart Femmes-Hommes revenu salarial net annuel moyen,-25.79%,0.9,-25.8,,,,
2014,Ile-de-France,Écart Femmes-Hommes revenu salarial net annuel moyen,-22.82%,0.8,-22.8,,,,
2014,Normandie,Écart Femmes-Hommes revenu salarial net annuel moyen,-26.33%,1.0,-26.3,,,,
2014,Nouvelle-Aquitaine,Écart Femmes-Hommes revenu salarial net annuel moyen,-23.94%,0.9,-23.9,,,,
2014,Occitanie,Écart Femmes-Hommes revenu salarial net annuel moyen,-26.24%,1.0,-26.2,,,,
2014,Pays de la Loire,Écart Femmes-Hommes revenu salarial net annuel moyen,-26.96%,1.0,-27.0,,,,
2014,Provence-Alpes-Côte d'Azur,Écart Femmes-Hommes revenu salarial net annuel moyen,-26.29%,1.0,-26.3,,,,
2014,France de province,Écart Femmes-Hommes revenu salarial net annuel moyen,-26.21%,0.9,-26.2,,,,
2014,France métropolitaine,Écart Femmes-Hommes revenu salarial net annuel moyen,-25.08%,0.9,-25.1,,,,
2014,Guadeloupe,Écart Femmes-Hommes revenu salarial net annuel moyen,-13.77%,0.5,-13.8,,,,
2014,Martinique,Écart Femmes-Hommes revenu salarial net annuel moyen,-14.82%,0.5,-14.8,,,,
2014,Guyane,Écart Femmes-Hommes revenu salarial net annuel moyen,-12.18%,0.4,-12.2,,,,
2014,La Réunion,Écart Femmes-Hommes revenu salarial net annuel moyen,-12.54%,0.5,-12.5,,,,
2014,DOM,Écart Femmes-Hommes revenu salarial net annuel moyen,-12.87%,0.5,-12.9,,,,
2014,France,Écart Femmes-Hommes revenu salarial net annuel moyen,-24.91%,0.9,-24.9,,,,
