indicator,fr,es
"Employés et opérateurs de l'informatique, part de femmes","Employés et opérateurs de l'informatique, part de femmes",
"Cadres de la fonction publique (catégorie A et assimilés), part de femmes","Cadres de la fonction publique (catégorie A et assimilés), part de femmes",
"Médecins et assimilés, part de femmes","Médecins et assimilés, part de femmes",
"Ouvriers qualifiés des travaux publics, du béton et de l'extraction, part de femmes","Ouvriers qualifiés des travaux publics, du béton et de l'extraction, part de femmes",
"Conducteurs de véhicules, part de femmes","Conducteurs de véhicules, part de femmes",
"Conducteurs d'engins du bâtiment et des travaux publics, part de femmes","Conducteurs d'engins du bâtiment et des travaux publics, part de femmes",
"Techniciens de la banque et des assurances, part de femmes","Techniciens de la banque et des assurances, part de femmes",
"Ouvriers non qualifiés de la mécanique, part de femmes","Ouvriers non qualifiés de la mécanique, part de femmes",
"Agents de gardiennage et de sécurité, part de femmes","Agents de gardiennage et de sécurité, part de femmes",
"Agents administratifs et commerciaux des transports et du tourisme, part de femmes","Agents administratifs et commerciaux des transports et du tourisme, part de femmes",
"Ouvriers qualifiés des industries de process, part de femmes","Ouvriers qualifiés des industries de process, part de femmes",
"Coiffeurs, esthéticiens, part de femmes","Coiffeurs, esthéticiens, part de femmes",
"Ingénieurs de l'informatique, part de femmes","Ingénieurs de l'informatique, part de femmes",
"Employés de la comptabilité, part de femmes","Employés de la comptabilité, part de femmes",
"Ouvriers des industries graphiques, part de femmes","Ouvriers des industries graphiques, part de femmes",
"Maraîchers, jardiniers, viticulteurs, part de femmes","Maraîchers, jardiniers, viticulteurs, part de femmes",
"Ouvriers qualifiés du gros œuvre du bâtiment, part de femmes","Ouvriers qualifiés du gros œuvre du bâtiment, part de femmes",
"Professionnels du droit (hors juristes en entreprise), part de femmes","Professionnels du droit (hors juristes en entreprise), part de femmes",
"Techniciens et cadres de l'agriculture, part de femmes","Techniciens et cadres de l'agriculture, part de femmes",
"Ouvriers qualifiés travaillant par enlèvement de métal, part de femmes","Ouvriers qualifiés travaillant par enlèvement de métal, part de femmes",
"Enseignants, part de femmes","Enseignants, part de femmes",
"Armée, police, pompiers, part de femmes","Armée, police, pompiers, part de femmes",
"Employés de la banque et des assurances, part de femmes","Employés de la banque et des assurances, part de femmes",
"Cadres commerciaux et technico-commerciaux, part de femmes","Cadres commerciaux et technico-commerciaux, part de femmes",
"Caissiers, employés de libre service, part de femmes","Caissiers, employés de libre service, part de femmes",
"Dirigeants d'entreprises, part de femmes","Dirigeants d'entreprises, part de femmes",
"Ouvriers qualifiés de la maintenance, part de femmes","Ouvriers qualifiés de la maintenance, part de femmes",
"Personnels d'études et de recherche, part de femmes","Personnels d'études et de recherche, part de femmes",
"Employés des services divers, part de femmes","Employés des services divers, part de femmes",
"Infirmiers, sages-femmes, part de femmes","Infirmiers, sages-femmes, part de femmes",
"Ouvriers non qualifiés du travail du bois et de l'ameublement, part de femmes","Ouvriers non qualifiés du travail du bois et de l'ameublement, part de femmes",
"Ouvriers qualifiés travaillant par formage de métal, part de femmes","Ouvriers qualifiés travaillant par formage de métal, part de femmes",
"Maîtrise des magasins et intermédiaires du commerce, part de femmes","Maîtrise des magasins et intermédiaires du commerce, part de femmes",
"Attachés commerciaux et représentants, part de femmes","Attachés commerciaux et représentants, part de femmes",
"Employés administratifs d'entreprise, part de femmes","Employés administratifs d'entreprise, part de femmes",
"Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés), part de femmes","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés), part de femmes",
"Bouchers, charcutiers, boulangers, part de femmes","Bouchers, charcutiers, boulangers, part de femmes",
"Ouvriers non qualifiés du textile et du cuir, part de femmes","Ouvriers non qualifiés du textile et du cuir, part de femmes",
"Cuisiniers, part de femmes","Cuisiniers, part de femmes",
"Techniciens et agents de maîtrise de l'électricité et de l'électronique, part de femmes","Techniciens et agents de maîtrise de l'électricité et de l'électronique, part de femmes",
"Techniciens et agents de maîtrise du bâtiment et des travaux publics, part de femmes","Techniciens et agents de maîtrise du bâtiment et des travaux publics, part de femmes",
"Professionnels de la politique et clergé, part de femmes","Professionnels de la politique et clergé, part de femmes",
"Vendeurs, part de femmes","Vendeurs, part de femmes",
"Professionnels de l'action culturelle, sportive et surveillants, part de femmes","Professionnels de l'action culturelle, sportive et surveillants, part de femmes",
"Ouvriers non qualifiés travaillant par enlèvement ou formage de métal, part de femmes","Ouvriers non qualifiés travaillant par enlèvement ou formage de métal, part de femmes",
"Ouvriers non qualifiés du second œuvre du bâtiment, part de femmes","Ouvriers non qualifiés du second œuvre du bâtiment, part de femmes",
"Secrétaires, part de femmes","Secrétaires, part de femmes",
"Employés et agents de maîtrise de l'hôtellerie et de la restauration, part de femmes","Employés et agents de maîtrise de l'hôtellerie et de la restauration, part de femmes",
"Techniciens et agents de maîtrise de la maintenance, part de femmes","Techniciens et agents de maîtrise de la maintenance, part de femmes",
"Agents d'exploitation des transports, part de femmes","Agents d'exploitation des transports, part de femmes",
"Agents d'entretien, part de femmes","Agents d'entretien, part de femmes",
"Artisans et ouvriers artisanaux, part de femmes","Artisans et ouvriers artisanaux, part de femmes",
"Cadres du bâtiment et des travaux publics, part de femmes","Cadres du bâtiment et des travaux publics, part de femmes",
"Cadres des services administratifs, comptables et financiers, part de femmes","Cadres des services administratifs, comptables et financiers, part de femmes",
"Ouvriers qualifiés de la réparation automobile, part de femmes","Ouvriers qualifiés de la réparation automobile, part de femmes",
"Employés administratifs de la fonction publique (catégorie C et assimilés), part de femmes","Employés administratifs de la fonction publique (catégorie C et assimilés), part de femmes",
"Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques, part de femmes","Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques, part de femmes",
"Professionnels de la communication et de l'information, part de femmes","Professionnels de la communication et de l'information, part de femmes",
"Employés de maison, part de femmes","Employés de maison, part de femmes",
"Aides à domicile et aides ménagères, part de femmes","Aides à domicile et aides ménagères, part de femmes",
"Ingénieurs et cadres techniques de l'industrie, part de femmes","Ingénieurs et cadres techniques de l'industrie, part de femmes",
"Professions para-médicales, part de femmes","Professions para-médicales, part de femmes",
"Techniciens et agents de maîtrise des industries mécaniques, part de femmes","Techniciens et agents de maîtrise des industries mécaniques, part de femmes",
"Cadres des transports, de la logistique et navigants de l'aviation, part de femmes","Cadres des transports, de la logistique et navigants de l'aviation, part de femmes",
"Ouvriers qualifiés de la manutention, part de femmes","Ouvriers qualifiés de la manutention, part de femmes",
"Techniciens des services administratifs, comptables et financiers, part de femmes","Techniciens des services administratifs, comptables et financiers, part de femmes",
"Ouvriers qualifiés de l'électricité et de l'électronique, part de femmes","Ouvriers qualifiés de l'électricité et de l'électronique, part de femmes",
"Ouvriers non qualifiés de l'électricité et de l'électronique, part de femmes","Ouvriers non qualifiés de l'électricité et de l'électronique, part de femmes",
"Formateurs, part de femmes","Formateurs, part de femmes",
"Familles monoparentales personnes seul·es avec enfants","Familles monoparentales personnes seul·es avec enfants",
"Professions intermédiaires","Professions intermédiaires",
"Ecart femmes-hommes taux de temps partiel, 25 à 54 ans","Ecart femmes-hommes taux de temps partiel, 25 à 54 ans",
"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans","Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",
"Ecart femmes-hommes taux d'activité","Ecart femmes-hommes taux d'activité",
"Autres personnes sans activité professionnelle","Autres personnes sans activité professionnelle",
"Ecart femmes-hommes taux d'activité, 15 à 24 ans","Ecart femmes-hommes taux d'activité, 15 à 24 ans",
"Ecart femmes-hommes taux de temps partiel, 15 à 24 ans","Ecart femmes-hommes taux de temps partiel, 15 à 24 ans",
"Artisans, commerçant·es, chef·fes d'entreprise","Artisans, commerçant·es, chef·fes d'entreprise",
"Ouvrier·es","Ouvrier·es",
"Employé·es","Employé·es",
"Ecart femmes-hommes salaire net horaire moyen total, plus de 50 ans","Ecart femmes-hommes salaire net horaire moyen total, plus de 50 ans",
"Ecart femmes-hommes taux d'activité, 25 à 54 ans","Ecart femmes-hommes taux d'activité, 25 à 54 ans",
"Ecart femmes-hommes taux de temps partiel","Ecart femmes-hommes taux de temps partiel",
"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans","Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",
"Agricult·eurs exploitants","Agricult·eurs exploitants",
"Ecart femmes-hommes taux de temps partiel, 55 à 64 ans","Ecart femmes-hommes taux de temps partiel, 55 à 64 ans",
"Ecart femmes-hommes taux d'activité, 55 à 64 ans","Ecart femmes-hommes taux d'activité, 55 à 64 ans",
"Cadres et professions intellectuelles supérieures","Cadres et professions intellectuelles supérieures",
