annee,pays,nom,valeur
2019,France,"Secteur Films d'animation, Rendu et éclairage, Masse salariale, part de femmes",27%
2019,France,"Secteur Films d'animation, Montage image-son, Masse salariale, part de femmes",35%
2019,France,"Secteur Films d'animation, Effets visuels et numériques, Masse salariale, part de femmes",18%
2019,France,"Secteur Films d'animation, Direction artistique, Masse salariale, part de femmes",13%
2019,France,"Secteur Films d'animation, Gestion de production, Masse salariale, part de femmes",65%
2017,France,"Secteur Musique et chant, emploi, part de femmes",26%
2017,France,"Secteur Musique et chant, Direction musicale, part de femmes",29%
2017,France,"Secteur Musique et chant, Chef·fe d'orchestre, part de femmes",11%
2017,France,"Secteur Musique et chant, Arrangement musical, part de femmes",6%
2017,France,"Secteur Musique et chant, Musicien·ne, part de femmes",21%
2017,France,"Secteur Musique et chant, Chef·fe  de Choeurs, part de femmes",52%
2017,France,"Secteur Musique et chant, Chef·fe  de Chant, part de femmes",51%
2017,France,"Secteur Musique et chant, Chanteur-euse, part de femmes",54%
2017,France,"Secteur Musique et chant, autres emplois, part de femmes",39%
2017,France,"Emplois du cirque et des arts visuels, part de femmes",35%
2017,France,"Emplois du cirque et des arts visuels, Artiste de cirque, part de femmes",38%
2017,France,"Emplois du cirque et des arts visuels, Artiste visuel et magie, part de femmes",28%
2017,France,"Emplois du cirque et des arts visuels, autres emplois, part de femmes",14%
2017,France,"Spectacle vivant, emplois artistiques, part de femmes",37%
2017,France,"Spectacle vivant, emplois techniques, part de femmes",21%
2017,France,"Spectacle vivant, Direction technique et régie générale, part de femmes",14%
2017,France,"Spectacle vivant, Direction technique, part de femmes",10%
2017,France,"Spectacle vivant, régie générale, part de femmes",14%
2017,France,"Spectacle vivant, Responsable logistique, part de femmes",34%
2017,France,"Spectacle vivant, Technique de la logistique, part de femmes",26%
2017,France,"Spectacle vivant, autres emplois dans direction technique et régie générale, part de femmes",15%
2017,France,"Spectacle vivant, Emplois du plateau, de la scène et de la machinerie, part de femmes",12%
2017,France,"Spectacle vivant, Régie scène, plateau, salle, part de femmes",14%
2017,France,"Spectacle vivant, Régie orchestre, ballet, répétition, part de femmes",37%
2017,France,"Spectacle vivant, Régie plateau, part de femmes",12%
2017,France,"Spectacle vivant, Technicien de plateau, part de femmes",11%
2017,France,"Spectacle vivant, Manutension plateau, part de femmes",6%
2017,France,"Spectacle vivant, Emplois de l'accroche et de la structure, part de femmes",6%
2017,France,"Spectacle vivant, Direction de structure, part de femmes",7%
2017,France,"Spectacle vivant, Régisseur de structure, part de femmes",1%
2017,France,"Spectacle vivant, Technicien de structure, part de femmes",5%
2017,France,"Spectacle vivant, Chef·fe accrocheur-rigger, part de femmes",0%
2017,France,"Spectacle vivant, Accrocheur-rigger, part de femmes",5%
2017,France,"Spectacle vivant, Emplois des accessoires et des effets spéciaux, part de femmes",25%
2017,France,"Spectacle vivant, Chef·fe accessoiriste, part de femmes",7%
2017,France,"Spectacle vivant, Accessoiriste, part de femmes",49%
2017,France,"Spectacle vivant, Technicien des effets spéciaux, part de femmes",15%
2017,France,"Spectacle vivant, Emplois de la lumière et de l'électricité, part de femmes",13%
2017,France,"Spectacle vivant, Conception lumière, part de femmes",19%
2017,France,"Spectacle vivant, Régie lumière, part de femmes",16%
2017,France,"Spectacle vivant, Technicien lumière, part de femmes",12%
2017,France,"Spectacle vivant, Chef électricien, part de femmes",15%
2017,France,"Spectacle vivant, Costumier, part de femmes",88%
2017,France,"Spectacle vivant, Emplois du costume, Tailleur, part de femmes",76%
2017,France,"Spectacle vivant, Régisseur son, part de femmes",7%
2017,France,"Spectacle vivant, Technicien son, part de femmes",7%
2017,France,"Spectacle vivant, Technicien instruments - Backliner, part de femmes",8%
2017,France,"Spectacle vivant, Autres emplois du son, part de femmes, part de femmes",4%
2017,France,"Spectacle vivant, Emplois de la vidéo et de l'image, part de femmes",16%
2017,France,"Spectacle vivant, Concepteur vidéo-image, part de femmes",15%
2017,France,"Spectacle vivant, Réalisateur, part de femmes",29%
2017,France,"Spectacle vivant, Régisseur vidéo-image, part de femmes",16%
2017,France,"Spectacle vivant, Technicien vidéo-image, part de femmes",14%
2017,France,"Spectacle vivant, Autres emplois vidéo-image, part de femmes",24%
2017,France,"Spectacle vivant, Emplois du décor, part de femmes",26%
2017,France,"Spectacle vivant, Décorateur - Scénographe, part de femmes",39%
2017,France,"Spectacle vivant, Décor, responsable du bureau d'étude, part de femmes",15%
2017,France,"Spectacle vivant, Décor, Technicien du bureau d'étude, part de femmes",35%
2017,France,"Spectacle vivant, Décor, Menuisier constructeur, part de femmes",14%
2017,France,"Spectacle vivant, Décor, Chef constructeur, part de femmes",13%
2017,France,"Spectacle vivant, Décor, Chef tapissier, part de femmes",44%
2017,France,"Spectacle vivant, Décor, Tapissier, part de femmes",25%
2017,France,"Spectacle vivant, Electricien, part de femmes",2%
2017,France,"Spectacle vivant, Emplois du son, part de femmes",8%
2017,France,"Spectacle vivant, Conception du son, part de femmes",8%
2017,France,"Spectacle vivant, Décor, Peintre décorateur, part de femmes",50%
2017,France,"Spectacle vivant, Décor, autres emplois, part de femmes",33%
2017,France,"Spectacle vivant, Emplois du costume, part de femmes",90%
2017,France,"Spectacle vivant, Conception costume, part de femmes",90%
2017,France,"Spectacle vivant, Décor, Chef serrurier, part de femmes",3%
2017,France,"Spectacle vivant, Décor, Serrurier, part de femmes",12%
2017,France,"Spectacle vivant, Emplois du costume, Couturier, part de femmes",92%
2017,France,"Spectacle vivant, Emplois du costume, Teinturier-patineur, part de femmes",77%
2017,France,"Spectacle vivant, Réalisateur de piéces de costume, part de femmes",90%
2017,France,"Spectacle vivant, Chef habilleur, part de femmes",94%
2017,France,"Spectacle vivant, Habilleur, part de femmes",96%
2017,France,"Spectacle vivant, Emplois du costume, Laveur - Repasseur, part de femmes",100%
2017,France,"Spectacle vivant, Emplois du costume, Linger - Raccomodeur, part de femmes",100%
2017,France,"Spectacle vivant, Manutentionnaire, part de femmes",9%
2017,France,"Spectacle vivant, Chauffeur - Livreur, part de femmes",9%
2017,France,"Spectacle vivant, Décor, Sculpteur - Staffeur, part de femmes",39%
2017,France,"Spectacle vivant, Chef maquilleur, part de femmes",87%
2017,France,"Spectacle vivant, maquilleur, part de femmes",91%
2017,France,"Spectacle vivant, Perruquier - Posticheur, part de femmes",89%
2017,France,"Spectacle vivant, Emplois des services généraux, part de femmes",26%
2017,France,"Spectacle vivant, Gardien - Agent d'entretien, part de femmes",60%
2017,France,"Spectacle vivant, Informaticien, part de femmes",13%
2017,France,"Spectacle vivant, Emplois de la coiffure, du maquillage et des masques, part de femmes",84%
2017,France,"Spectacle vivant, Responsable de sécurité, part de femmes",13%
2017,France,"Spectacle vivant, Direction, part de femmes",32%
2017,France,"Spectacle vivant, Administration, part de femmes",71%
2017,France,"Spectacle vivant, Chef·fe coiffeur, part de femmes",82%
2017,France,"Spectacle vivant, Coiffeur, part de femmes",67%
2018,France,"Compositeur·rices musicaux·ales, sociétaires de la SACEM, part de femmes",17%
