annee,pays,nom,valeur,,,,,
2010,France,"Machinistes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-18.00,,,,,
2010,France,"Mixeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-27.00,,,,,
2010,France,"Monteur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-15.90,,,,,
2010,France,"Photographes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-10.10,,,,,
2010,France,"Prise de son cinéma, salaires horaires médians des femmes par rapport aux hommes ",-26.80,,,,,
2010,France,"Prise de vue cinéma, salaires horaires médians des femmes par rapport aux hommes ",-22.80,,,,,
2010,France,"Réalisateur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-4.90,,,,,
2010,France,"Régie cinéma, salaires horaires médians des femmes par rapport aux hommes ",-3.70,,,,,
2010,France,"Rippeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-37.40,,,,,
2010,France,"Scriptes cinéma, salaires horaires médians des femmes par rapport aux hommes ",67.10,,,,,
2011,France,"Acteur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-0.40,,,,,
2011,France,"Figurant·tes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-3.00,,,,,
2011,France,"Admistrateur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes",-42.00,,,,,
2011,France,"Assitant·e réalisateur·trices cinéma,  salaires horaires médians des femmes par rapport aux hommes ",-6.10,,,,,
2011,France,"Autres post-prod cinéma, salaires horaires médians des femmes par rapport aux hommes ",-8.70,,,,,
2011,France,"Cascadeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes",1.10,,,,,
2011,France,"Chaffeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-0.5,,,,,
2011,France,"Coiffeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes coiffeur·se cinéma",-2.60,,,,,
2011,France,"Comptabilité/juridique/communication cinéma, salaires horaires médians des femmes par rapport aux hommes ",2.10,,,,,
2011,France,"Constructeur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-4.20,,,,,
2011,France,"Costumier·ères/habilleurs·se cinéma, salaires horaires médians des femmes par rapport aux hommes ",0.40,,,,,
2011,France,"Décorateur·trices/accessoiristes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-16.80,,,,,
2011,France,"Electricien·ne/éclairagistes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-18.10,,,,,
2011,France,"Machinistes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-12.80,,,,,
2011,France,"Mixeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-18.10,,,,,
2011,France,"Monteur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-17.20,,,,,
2011,France,"Photographes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-10.70,,,,,
2011,France,"Prise de son cinéma, salaires horaires médians des femmes par rapport aux hommes ",-21.80,,,,,
2011,France,"Prise de vue cinéma, salaires horaires médians des femmes par rapport aux hommes ",-24.70,,,,,
2011,France,"Réalisateur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-19.10,,,,,
2011,France,"Régie cinéma, salaires horaires médians des femmes par rapport aux hommes ",-0.90,,,,,
2011,France,"Rippeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-31.90,,,,,
2011,France,"Scriptes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-15.80,,,,,
2012,France,"Acteur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-9.00,,,,,
2012,France,"Figurant·tes cinéma, salaires horaires médians des femmes par rapport aux hommes ",0.00,,,,,
2012,France,"Admistrateur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes",-37.70,,,,,
2012,France,"Assitant·e réalisateur·trices cinéma,  salaires horaires médians des femmes par rapport aux hommes ",-8.60,,,,,
2012,France,"Autres post-prod cinéma, salaires horaires médians des femmes par rapport aux hommes ",-14.30,,,,,
2012,France,"Cascadeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes",5.00,,,,,
2012,France,"Chaffeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-7.3,,,,,
2012,France,"Coiffeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes coiffeur·se cinéma",-2.10,,,,,
2012,France,"Comptabilité/juridique/communication cinéma, salaires horaires médians des femmes par rapport aux hommes ",-0.70,,,,,
2012,France,"Constructeur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-3.20,,,,,
2012,France,"Costumier·ères/habilleurs·se cinéma, salaires horaires médians des femmes par rapport aux hommes ",-8.60,,,,,
2012,France,"Décorateur·trices/accessoiristes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-11.30,,,,,
2012,France,"Electricien·ne/éclairagistes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-7.80,,,,,
2012,France,"Machinistes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-3.80,,,,,
2012,France,"Mixeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-54.90,,,,,
2012,France,"Monteur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-13.00,,,,,
2012,France,"Photographes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-10.40,,,,,
2012,France,"Prise de son cinéma, salaires horaires médians des femmes par rapport aux hommes ",-17.30,,,,,
2012,France,"Prise de vue cinéma, salaires horaires médians des femmes par rapport aux hommes ",-28.20,,,,,
2012,France,"Réalisateur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-1.50,,,,,
2012,France,"Régie cinéma, salaires horaires médians des femmes par rapport aux hommes ",-6.80,,,,,
2012,France,"Rippeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-17.50,,,,,
2012,France,"Scriptes cinéma, salaires horaires médians des femmes par rapport aux hommes ",15.90,,,,,
2013,France,"Acteur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",6.60,,,,,
2013,France,"Figurant·tes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-3.20,,,,,
2013,France,"Admistrateur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes",-38.20,,,,,
2013,France,"Assitant·e réalisateur·trices cinéma,  salaires horaires médians des femmes par rapport aux hommes ",-5.90,,,,,
2013,France,"Autres post-prod cinéma, salaires horaires médians des femmes par rapport aux hommes ",-13.90,,,,,
2013,France,"Cascadeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes",-1.70,,,,,
2013,France,"Chaffeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",1.00,,,,,
2013,France,"Coiffeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes coiffeur·se cinéma",-13.20,,,,,
2013,France,"Comptabilité/juridique/communication cinéma, salaires horaires médians des femmes par rapport aux hommes ",-9.50,,,,,
2013,France,"Constructeur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-4.10,,,,,
2013,France,"Costumier·ères/habilleurs·se cinéma, salaires horaires médians des femmes par rapport aux hommes ",-4.90,,,,,
2013,France,"Décorateur·trices/accessoiristes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-13.20,,,,,
2013,France,"Electricien·ne/éclairagistes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-19.50,,,,,
2013,France,"Machinistes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-14.70,,,,,
2013,France,"Mixeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-22.70,,,,,
2013,France,"Monteur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-12.20,,,,,
2013,France,"Photographes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-18.20,,,,,
2013,France,"Prise de son cinéma, salaires horaires médians des femmes par rapport aux hommes ",-20.00,,,,,
2013,France,"Prise de vue cinéma, salaires horaires médians des femmes par rapport aux hommes ",-24.80,,,,,
2013,France,"Réalisateur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-14.00,,,,,
2013,France,"Régie cinéma, salaires horaires médians des femmes par rapport aux hommes ",2.80,,,,,
2013,France,"Rippeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-15.60,,,,,
2013,France,"Scriptes cinéma, salaires horaires médians des femmes par rapport aux hommes ",71.10,,,,,
2014,France,"Acteur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-6.20,,,,,
2014,France,"Figurant·tes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-4.20,,,,,
2014,France,"Admistrateur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes",-41.40,,,,,
2014,France,"Assitant·e réalisateur·trices cinéma,  salaires horaires médians des femmes par rapport aux hommes ",-12.50,,,,,
2014,France,"Autres post-prod cinéma, salaires horaires médians des femmes par rapport aux hommes ",-2.00,,,,,
2014,France,"Cascadeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes",2.40,,,,,
2014,France,"Chaffeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",0.00,,,,,
2014,France,"Coiffeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes coiffeur·se cinéma",-23.10,,,,,
2014,France,"Comptabilité/juridique/communication cinéma, salaires horaires médians des femmes par rapport aux hommes ",-1.5,,,,,
2014,France,"Constructeur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-6.30,,,,,
2014,France,"Costumier·ères/habilleurs·se cinéma, salaires horaires médians des femmes par rapport aux hommes ",-4.80,,,,,
2014,France,"Décorateur·trices/accessoiristes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-20.30,,,,,
2014,France,"Electricien·ne/éclairagistes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-4.60,,,,,
2014,France,"Machinistes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-10.80,,,,,
2014,France,"Mixeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-24.50,,,,,
2014,France,"Monteur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",-9.10,,,,,
2014,France,"Photographes cinéma, salaires horaires médians des femmes par rapport aux hommes ",-12.10,,,,,
2014,France,"Prise de son cinéma, salaires horaires médians des femmes par rapport aux hommes ",-13.70,,,,,
2014,France,"Prise de vue cinéma, salaires horaires médians des femmes par rapport aux hommes ",-20.30,,,,,
2014,France,"Réalisateur·trices cinéma, salaires horaires médians des femmes par rapport aux hommes ",-21.50,,,,,
2014,France,"Régie cinéma, salaires horaires médians des femmes par rapport aux hommes ",-3.90,,,,,
2014,France,"Rippeur·ses cinéma, salaires horaires médians des femmes par rapport aux hommes ",0.00,,,,,
2014,France,"Scriptes cinéma, salaires horaires médians des femmes par rapport aux hommes ",10.80,,,,,
