"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",37.5,
"FRA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",17.6,
"FRA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",20.8,
"FRA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",50,
"FRA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",52.9,
"FRA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",50,
"DEU","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",42.9,
"DEU","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",33.3,
"DEU","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",33.3,
"DEU","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",33.3,
"DEU","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",40,
"GRC","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",5.6,
"GRC","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",5.6,
"GRC","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",10,
"GRC","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",21.1,
"GRC","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",25,
"HUN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",11.8,
"HUN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",10,
"HUN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",0,
"HUN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",0,
"HUN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",7.7,
"ISL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",27.3,
"ISL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",50,
"ISL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",44.4,
"ISL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",36,
"ISL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",40,
"IRL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",21.4,
"IRL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",14.3,
"IRL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",28.6,
"IRL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",26.7,
"IRL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",26.7,
"ITA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",8.3,
"ITA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",16.7,
"ITA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",43.8,
"ITA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",27.8,
"ITA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",27.8,
"JPN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",12.5,
"JPN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",11.8,
"JPN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",22.2,
"JPN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",15.8,
"JPN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",5.3,
"KOR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",5.6,
"KOR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",11.1,
"KOR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",5.9,
"KOR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",9.1,
"KOR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",22.2,
"LUX","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",14.3,
"LUX","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",26.7,
"LUX","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",26.7,
"LUX","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",20,
"LUX","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",29.4,
"MEX","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",9.4,
"MEX","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",21.1,
"MEX","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",17.6,
"MEX","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",15.8,
"MEX","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",42.1,
"NLD","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",36,
"NLD","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",33.3,
"NLD","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",46.7,
"NLD","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",37.5,
"NLD","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",35.3,
"NZL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",23.1,
"NZL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",28.6,
"NZL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",33.3,
"NZL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",37,
"NZL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",30.8,
"NOR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",44.4,
"NOR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",52.6,
"NOR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",47.1,
"NOR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",38.9,
"NOR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",42.1,
"POL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",5.9,
"POL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",22.2,
"POL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",27.8,
"POL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",22.7,
"POL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",27.3,
"PRT","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",16.7,
"PRT","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",18.2,
"PRT","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",28.6,
"PRT","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",22.2,
"PRT","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",29.4,
"SVK","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",14.3,
"SVK","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",0,
"SVK","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",14.3,
"SVK","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",35.7,
"ESP","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",50,
"ESP","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",30.8,
"ESP","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",30.8,
"ESP","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",38.5,
"ESP","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",64.7,
"SWE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",52.4,
"SWE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",52.2,
"SWE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",52.2,
"SWE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",52.2,
"SWE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",54.5,
"CHE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",14.3,
"CHE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",42.9,
"CHE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",42.9,
"CHE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",28.6,
"CHE","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",42.9,
"TUR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",4.3,
"TUR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",4,
"TUR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",4,
"TUR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",3.8,
"TUR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",12.5,
"GBR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",28.6,
"GBR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",17.2,
"GBR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",22.7,
"GBR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",30.8,
"GBR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",21.7,
"USA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",14.3,
"USA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",27.3,
"USA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",26.1,
"USA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",16.7,
"USA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",21.7,
"CHL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",16.7,
"CHL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",18.2,
"CHL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",34.8,
"CHL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",34.8,
"CHL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",34.8,
"COL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",33.3,
"COL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",29.4,
"COL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",35.3,
"COL","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",52.9,
"EST","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",15.4,
"EST","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",8.3,
"EST","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",46.2,
"EST","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",28.6,
"EST","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",35.7,
"ISR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",16.7,
"ISR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",10.3,
"ISR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",18.2,
"ISR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",19,
"ISR","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",19,
"LVA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",23.5,
"LVA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",30.8,
"LVA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",23.1,
"LVA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",23.1,
"LVA","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",30.8,
"SVN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2005",6.3,
"SVN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",7.7,
"SVN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",43.8,
"SVN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",50,
"SVN","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",25,
"OAVG","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",24.8,
"OAVG","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",28.9,
"OAVG","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",27.8,
"OAVG","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",31.2,
"CRI","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",29.2,
"CRI","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",40.9,
"CRI","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",30.4,
"CRI","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",51.9,
"LTU","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2012",14.3,
"LTU","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2015",21.4,
"LTU","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2017",21.4,
"LTU","WOMENPOLVOICE","MINISTERWOMEN","PC","A","2019",0,
