pays,annee,nom,valeur
Nouvelle-Aquitaine,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-23,0"
Occitanie,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-25,1"
Pays de la Loire,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-26,0"
Provence-Alpes-Côte d'Azur,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-24,9"
France métropolitaine hors Ile-de-France,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-25,0"
France métropolitaine,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-23,6"
Guadeloupe,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-13,0"
Martinique,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-14,5"
Guyane,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-12,6"
La Réunion,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-11,6"
DOM hors Mayotte,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-12,1"
France hors Mayotte,2018,"Revenu salarial net annuel moyen, femmes par rapport aux hommes","-23,4"
Auvergne-Rhône-Alpes,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-18,2"
Bourgogne-Franche-Comté,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-17,6"
Bretagne,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-15,3"
Centre-Val de Loire,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-15,3"
Corse,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-12,3"
Grand Est,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-18,4"
Hauts-de-France,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-16,0"
Ile-de-France,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-17,1"
Normandie,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-17,0"
Nouvelle-Aquitaine,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-14,9"
Occitanie,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-17,3"
Pays de la Loire,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-17,0"
Provence-Alpes-Côte d'Azur,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-17,6"
France métropolitaine hors Ile-de-France,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-17,0"
France métropolitaine,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-17,0"
Guadeloupe,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-9,5"
Martinique,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-10,3"
Guyane,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-10,0"
La Réunion,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-7,5"
DOM hors Mayotte,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-8,4"
France hors Mayotte,2018,"Revenu salarial net annuel moyen en EQTP, femmes par rapport aux hommes","-16,9"
Auvergne-Rhône-Alpes,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-18,1"
Bourgogne-Franche-Comté,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-19,5"
Bretagne,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-17,9"
Centre-Val de Loire,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-17,9"
Corse,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-14,9"
Grand Est,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-19,1"
Hauts-de-France,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-18,8"
Ile-de-France,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-20,9"
Normandie,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-19,1"
Nouvelle-Aquitaine,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-18,2"
Occitanie,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-17,2"
Pays de la Loire,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-18,3"
Provence-Alpes-Côte d'Azur,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-17,9"
France métropolitaine hors Ile-de-France,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-18,2"
France métropolitaine,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-18,4"
Guadeloupe,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-18,4"
Martinique,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-20,2"
Guyane,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-18,8"
La Réunion,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-17,9"
DOM hors Mayotte,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-18,5"
France hors Mayotte,2018,"Revenu salarial net annuel moyen des cadres en EQTP, femmes par rapport aux hommes","-18,4"
France,2017,"Salarié-e secteur privé, sans enfant, Salaire net des femmes par rapport à celui des hommes",-18
France,2017,"Salarié-e secteur privé, avec 1 enfant, Salaire net des femmes par rapport à celui des hommes",-24
France,2017,"Salarié-e secteur privé, avec 2 enfants, Salaire net des femmes par rapport à celui des hommes",-32
France,2017,"Salarié-e secteur privé, avec 3 enfants, Salaire net des femmes par rapport à celui des hommes",-47
France,2018,"Salarié-e secteur privé, sans enfant , Salaire net des femmes par rapport à celui des hommes",-7
France,2018,"Salarié-e secteur privé, avec 1 enfant -  Montant du salaire net en eq.temps plein des femmes par rapport à celui des hommes",-12
France,2018,"Salarié-e secteur privé, avec 2 enfants -  Montant du salaire net  en eq.temps plein des femmes par rapport à celui des hommes",-21
France,2018,"Salarié-e secteur privé, avec 3 enfants -  Montant du salaire net  en eq.temps plein des femmes par rapport à celui des hommes",-31
France,2016,65 à 69 ans -Toute carrière - Montant de la retraite des femmes par rapport à celles des hommes,-33
France,2016,65 à 69 ans -Toute carrière dont carrière complète - Montant de la retraite des femmes par rapport à celles des hommes,-25
France,2016,70 à 74 ans -Toute carrière - Montant de la retraite des femmes par rapport à celles des hommes,-38
France,2016,70 à 74 ans -Toute carrière dont carrière complète - Montant de la retraite des femmes par rapport à celles des hommes,-27
France,2016,75 à 79 ans -Toute carrière - Montant de la retraite des femmes par rapport à celles des hommes,-42
France,2016,75 à 79 ans - Toute carrière dont carrière complète - Montant de la retraite des femmes par rapport à celles des hommes,-30
France,2016,80 à 84 ans -Toute carrière - Montant de la retraite des femmes par rapport à celles des hommes,-46
France,2016,80 à 84 ans -Toute carrière dont carrière complète - Montant de la retraite des femmes par rapport à celles des hommes,-34
France,2016,85 ou plus -Toute carrière - Montant de la retraite des femmes par rapport à celles des hommes,-50
France,2016,85 ou plus -Toute carrière dont carrière complète - Montant de la retraite des femmes par rapport à celles des hommes,-37
France,2016,Ensemble -Toute carrière - Montant de la retraite des femmes par rapport à celles des hommes,-41
France,2016,Ensemble - Toute carrière dont carrière complète - Montant de la retraite des femmes par rapport à celles des hommes,-29
