pays,annee,nom,value
Pays de la Loire,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-27
Provence-Alpes-Côte d'Azur,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-26
France métropolitaine hors Ile-de-France,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-26
France métropolitaine,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-25
Guadeloupe,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-14
Martinique,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-15
Guyane,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-13
La Réunion,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-12
DOM hors Mayotte,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-13
France hors Mayotte,2015,Revenu salarial net annuel moyen des femmes par rapport aux hommes,-25
