pays,annee,nom,value
Ile-de-France,2015,Revenu salarial net annuel moyen,-23
Normandie,2015,Revenu salarial net annuel moyen,-26
Nouvelle-Aquitaine,2015,Revenu salarial net annuel moyen,-23
Occitanie,2015,Revenu salarial net annuel moyen,-26
Pays de la Loire,2015,Revenu salarial net annuel moyen,-27
Provence-Alpes-Côte d'Azur,2015,Revenu salarial net annuel moyen,-26
France métropolitaine hors Ile-de-France,2015,Revenu salarial net annuel moyen,-26
France métropolitaine,2015,Revenu salarial net annuel moyen,-25
Guadeloupe,2015,Revenu salarial net annuel moyen,-14
Martinique,2015,Revenu salarial net annuel moyen,-15
Guyane,2015,Revenu salarial net annuel moyen,-13
La Réunion,2015,Revenu salarial net annuel moyen,-12
