annee,pays,nom,part de femmes
2016,France,"Conseilleurs régionaux en budget/finance, part de femmes",11.10%
2016,France,"Conseilleurs régionaux en transport, part de femmes ",8.30%
2016,France,"Directeurs des musées nationaux, part de femmes",41%
2016,France,"Artistes dans spectacles cirque, part de femmes",16%
2016,France,"Artistes dans spectacles danse, part de femmes",31%
2016,France,"Artistes dans spectacles théâtre, part de femmes",27%
2016,France,Oeuvres classiques composées par des femmes jouées dans les festivals,1%
2016,France,"Artistes chefs d'orchestre, part de femmes",4%
2016,France,"Artistes solistes, part de femmes",28%
2016,France,"Artistes travaillant dans la mise en scène opéra, part de femmes",26%
2014,France,"Présentation de journaux télévisés, part de femmes ",20%
2014,France,"Présentation de journaux radio, part de femmes ",18%
2014,France,"Experts invités dans les médias, part de femmes",20%
2016,France,"Directeurs des entreprises de l'audiovisuel public, part de femmes",60%
2016,France,"Directeurs des établissement spectacle vivant, part de femmes",8%
2020,France,"Métiers d'aide aux personnes et métiers de la propreté, part de femmes",83%
2020,France,"Médecins et personnels non médicaux à l’hôpital, part de femmes",77%
2020,France,"Enseignement, part de femmes",67%
2017,France,"Personnel des EHPAD, part de femmes",87%
2019,France,Part des femmes à l’antenne,41%
2019,France,"Experts à l'antenne, part de femmes",38%
2020,France,"Experts à l'antenne, part de femmes",20%
2019,France,"A l'antenne télévision 18 h - 20 h , part de femmes",33%
2019,France,"A l'antenne télévision- radio  6 h - 9 h, part de femmes",41%
2019,France,"Invité-es politiques, part de femmes",33%
2020,France,"Rédacteur en chef, part de femmes",39%
2019,France,"Direction d’entreprise, part de femme",27%
2019,France,"Micro-entreprise, part de femmes",41%
2020,France,"Maires de France, part de femmes",20%
2020,France,"Conseils municipaux, part de femmes",42%
2020,France,"Maire d'une ville de plus de 100 000 habitants, part de femmes",28%
2020,France,"Assemblée Nationale, part de femmes",39%
2020,France,"Sénat, part de femmes",33%
2018,France,"Fonctionnaires Education Nationale, part de femmes",72%
2018,France,"Fonctionnaires Ministères sociaux, part de femmes",71%
2018,France,"Fonctionnaires Ministère Interieur / outre Mer, part de femmes",29%
2018,France,"Fonctionnaires Ministère des Armées, part de femmes",22%
