indicator,fr
"Ensembliers de théâtre, dessin de mode, conception d'expositions et autres conceptions artistiques, part des femmes","Ensemblier·es de théâtre, dessin de mode, conception d'expositions et autres conceptions artistiques, part des femmes"
"Artisanat, part des femmes","Artisanat, part des femmes"
"Patronniers de produits textiles, d'articles en cuir et en fourrure, part des femmes","Patronnier·es de produits textiles, d'articles en cuir et en fourrure, part des femmes"
"Bibliothécaires, part des femmes","Bibliothécaires, part des femmes"
"Restaurateurs et conservateurs, part des femmes","Restaurateur·trices et conservateur·trices, part des femmes"
"Archivistes, part des femmes","Archivistes, part des femmes"
"Personnel technique dans les bibliothèques et les services d'archives publiques, part des femmes","Personnel technique dans les bibliothèques et les services d'archives publiques, part des femmes"
"Personnel technique des musées et des galeries d'art, part des femmes","Personnel technique des musées et des galeries d'art, part des femmes"
"Commis et assistants dans les bibliothèques, part des femmes","Commis et assistant·es dans les bibliothèques, part des femmes"
"Auteurs, rédacteurs et écrivains, part des femmes","Auteur·trices, rédacteur·trices et écrivain·nes, part des femmes"
"Réviseurs, rédacteurs-réviseurs et chefs du service des nouvelles, part des femmes","Réviseur·es, rédacteur·trices et chefs du service des nouvelles, part des femmes"
"Journalistes, part des femmes","Journalistes, part des femmes"
"Professionnels en publicité, en marketing et en relations publiques, part des femmes","Professionnel·les en publicité, en marketing et en relations publiques, part des femmes"
"Traducteurs, terminologues et interprètes, part des femmes","Traducteur·trices, terminologues et interprètes, part des femmes"
"Producteurs, réalisateurs, chorégraphes et personnel assimilé, part des femmes","Producteur·trices, réalisateur·trices, chorégraphes et personnel assimilé, part des femmes"
"Chefs d'orchestre, compositeurs et arrangeurs, part des femmes","Chef·fes d'orchestre, compositeur·trices et arrangeur·euses, part des femmes"
"Musiciens et chanteurs, part des femmes","Musicien·nes et chanteur·euses, part des femmes"
"Danseurs, part des femmes","Danseur·euses, part des femmes"
"Acteurs et comédiens, part des femmes","Acteur·trices et comédien·nes, part des femmes"
"Acteurs et comédiens 15-34 ans, part des femmes ","Acteur·trices et comédien·nes 15-34 ans, part des femmes "
"Acteurs et comédiens 35-44 ans, part des femmes","Acteur·trices et comédien·nes 35-44 ans, part des femmes"
"Acteurs et comédiens 45-54 ans, part des femmes","Acteur·trices et comédien·nes 45-54 ans, part des femmes"
"Acteurs et comédiens 55 ans et plus, part des femmes","Acteur·trices et comédien·nes 55 ans et plus, part des femmes"
"Peintres, sculpteurs et autres artistes des arts visuels, part de femmes","Peintres, sculpteur·trices et autres artistes des arts visuels, part de femmes"
"Photographes, part des femmes","Photographes, part des femmes"
"Photographes 15-34 ans, part des femmes","Photographes 15-34 ans, part des femmes"
"Photographes 35-44 ans, part des femmes","Photographes 35-44 ans, part des femmes"
"Cadreurs de films et cadreurs vidéo, part des femmes","Cadreur·ses de films et cadreur·ses vidéo, part des femmes"
"Techniciens en graphisme, part des femmes","Technicien·nes en graphisme, part des femmes"
"Techniciens en radiotélédiffusion, part des femmes","Technicien·nes en radiotélédiffusion, part des femmes"
"Techniciens en enregistrement audio et vidéo, part des femmes","Technicien·nes en enregistrement audio et vidéo, part des femmes"
"Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène, part des femmes","Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène, part des femmes"
"Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène, part des femmes","Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène, part des femmes"
"Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène 15-34 ans, part des femmes","Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène 15-34 ans, part des femmes"
"Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène 35-44 ans, part des femmes","Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène 35-44 ans, part des femmes"
"Annonceurs et autres communicateurs de la radio et de la télévision, part des femmes","Annonceur·euses et autres communicateur·trices de la radio et de la télévision, part des femmes"
"Autres artistes du spectacle, part des femmes","Autres artistes du spectacle, part des femmes"
