pays,annee,nom,prevaleur,valeur,femmes,hommes,notes,doc
France,2017,"Victimes de harcelement sexuel, enregistrées par les forces de sécurité, moins de 15 ans, part de femmes",85%,85,170,30,page 19 - tableau 2,
France,2017,"Victimes de harcelement sexuel, enregistrées par les forces de sécurité, 15-17 ans, part de femmes",88%,88,160,20,page 19 - tableau 2,
France,2017,"Victimes de harcelement sexuel, enregistrées par les forces de sécurité, majeures, part de femmes",92%,92,1190,90,page 19 - tableau 2,
France,2018,"Victimes d'injures sexistes, part de femmes",89%,89,,,,
France,2015,"Victimes de viols ou tentatives de viol, part de femmes",95%,95,62000,2700,,
France,2015,"Victimes d'agressions sexuelles, part de femmes",74%,74,553000,185000,,
France,2015,"Victimes de viol et tentative de viol dans les 12 derniers mois, part de femmes",97%,97,0.31,0.01,INED VIRAGE_Tableau 8 - page 34,
France,2015,"Victimes parmi les 20 à 34 ans de viol et tentative de viol dans les 12 derniers mois, part de femmes",100%,100,0.45,0.00,INED VIRAGE_Tableau 8 - page 34,
France,2015,"Victimes parmi les 20 à 34 ans de viol et tentative de viol dans les 12 derniers mois, part de femmes",100%,100,0.41,0,INED VIRAGE_Tableau 8 - page 34,
France,2015,"Victimes parmi les 50 à 69 ans de viol et tentative de viol dans les 12 derniers mois, part de femmes",100%,100,0.13,0,INED VIRAGE_Tableau 8 - page 34,
France,2015,"Victimes d'autres agressions sexuelles dans les 12 derniers mois, part de femmes",75%,75,2.76,0.97,INED VIRAGE_Tableau 8 - page 34,
France,2015,"Victimes parmi les 20 à 34 ans d'autres agressions sexuelles dans les 12 derniers mois, part de femmes",79%,79,5.36,1.47,INED VIRAGE_Tableau 8 - page 34,
France,2015,"Victimes parmi les 20 à 34 ans d'autres agressions sexuelles dans les 12 derniers mois, part de femmes",71%,71,2.6,1.1,INED VIRAGE_Tableau 8 - page 34,
France,2015,"Victimes parmi les 50 à 69 ans d'autres agressions sexuelles dans les 12 derniers mois, part de femmes",70%,70,1.02,0.46,INED VIRAGE_Tableau 8 - page 34,
France,2015,"Victimes d'agressions sexuelles dans les 12 derniers mois, part de femmes",74%,74,2.9,1.03,INED VIRAGE_Tableau 8 - page 34,
France,2015,"Victimes parmi les 20 à 34 ans d'agressions sexuelles dans les 12 derniers mois, part de femmes",79%,79,5.5,1.52,INED VIRAGE_Tableau 8 - page 34,
France,2015,"Victimes parmi les 20 à 34 ans d'agressions sexuelles  dans les 12 derniers mois, part de femmes",72%,72,2.84,1.16,INED VIRAGE_Tableau 8 - page 34,
France,2015,"Victimes parmi les 50 à 69 ans d'agressions sexuelles dans les 12 derniers mois, part de femmes",67%,67,1.06,0.54,INED VIRAGE_Tableau 8 - page 34,
