pays,annee,nom,valeur,prevaleur,femmes,hommes,notes,
France,2015,"Victimes de violences sexuelles au cours de la vie, études, part de femmes",74%,74,1.38,0.49,INED VIRAGE tableau 6,
France,2015,"Victimes de violences sexuelles au cours de la vie, travail, part de femmes",76%,76,1.78,0.57,INED VIRAGE tableau 6,
France,2015,"Victimes de violences sexuelles au cours de la vie, couple, part de femmes",85%,85,1.13,0.20,INED VIRAGE tableau 6,
France,2015,"Victimes de violences sexuelles au cours de la vie, ex-conjoint·e, part de femmes",90%,90,1.48,0.17,INED VIRAGE tableau 6,
France,2015,"Victimes de violences sexuelles au cours de la vie, espaces publics et autres, part de femmes",79%,79,7.85,2.19,INED VIRAGE tableau 6,
France,2015,"Victimes de violences sexuelles au cours de la vie, part de femmes",79%,79,14.47,3.94,INED VIRAGE tableau 6,
France,2014,"Victimes de meurtre au sein du couple, part de femmes",81%,81,134,31,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2013,"Victimes de meurtre au sein du couple, part de femmes",81%,81,130,29,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2012,"Victimes de meurtre au sein du couple, part de femmes",84%,84,166,31,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2011,"Victimes de meurtre au sein du couple, part de femmes",83%,83,132,26,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2010,"Victimes de meurtre au sein du couple, part de femmes",82%,82,157,33,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2009,"Victimes de meurtre au sein du couple, part de femmes",85%,85,151,26,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2008,"Victimes de meurtre au sein du couple, part de femmes",85%,85,168,28,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2007,"Victimes de meurtre au sein du couple, part de femmes",86%,86,179,29,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2006,"Victimes de meurtre au sein du couple, part de femmes",81%,81,148,34,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2020,"Victimes de meurtre au sein du couple, part de femmes",81%,81,102,23,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2020,"Victimes de meurtre au sein du couple, part de femmes",81%,81,102,23,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2019,"Victimes de meurtre au sein du couple, part de femmes",84%,84,146,27,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2018,"Victimes de meurtre au sein du couple, part de femmes",79%,79,118,31,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2017,"Victimes de meurtre au sein du couple, part de femmes",86%,86,130,21,Etude nationale sur les morts violentes au sein du couple 2018,#REF!
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, famille et proches, part de femmes",75%,75,0.20,0.07,INED VIRAGE tableau 6,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, études, part de femmes",41%,41,0.02,0.03,INED VIRAGE tableau 6,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, travail, part de femmes",100%,100,0.05,0.00,INED VIRAGE tableau 6,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, ex-conjoint·e, part de femmes",84%,84,0.21,0.04,INED VIRAGE tableau 6,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, espaces publics et autres, part de femmes",70%,70,0.20,0.09,INED VIRAGE tableau 6,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, part de femmes",71%,71,0.66,0.28,INED VIRAGE tableau 6,
France,2015,"Victimes d'autre acte ou pratique sexuel.le forcé.e au cours de la vie, couple, part de femmes",62%,62,0.11,0.07,INED VIRAGE tableau 6,
France,2014,"Victimes d'assassinat au sein du couple, part de femmes",87%,87,35,5,Etude nationale sur les morts violentes au sein du couple 2014,
France,2014,"Victimes de meurtre au sein du couple, part de femmes",82%,82,75,16,Etude nationale sur les morts violentes au sein du couple 2014,
France,2014,"Victimes de violences volontaires ayant entrainé la mort sans intention de la donner au sein du couple, part de femmes",66%,66,8,4,Etude nationale sur les morts violentes au sein du couple 2014,
France,2015,"Victimes d'assassinat au sein du couple, part de femmes",89%,89,34,4,Etude nationale sur les morts violentes au sein du couple 2015,
France,2015,"Victimes de meurtre au sein du couple, part de femmes",83%,83,77,15,Etude nationale sur les morts violentes au sein du couple 2015,
France,2015,"Victimes de violences volontaires ayant entrainé la mort sans intention de la donner au sein du couple, part de femmes",66%,66,4,2,Etude nationale sur les morts violentes au sein du couple 2015,
