pays,annee,nom,femmes,hommes,valeur
Châtillon,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",17,17.7,-3.95480226
Châtillon,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",12.9,12.7,1.57480315
Châtillon,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",11.1,13,-14.61538462
Châtillon,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",11.5,12.2,-5.737704918
Châtillon,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",19.8,22.6,-12.38938053
Châtillon,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",23.6,28.4,-16.90140845
Chaville,2019,Ecart femmes-hommes salaire net horaire moyen total,21.6,27.2,-20.58823529
Chaville,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",28.4,35.8,-20.67039106
Chaville,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",16.8,18,-6.666666667
Chaville,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",12.7,12.9,-1.550387597
Chaville,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",10.3,12,-14.16666667
Chaville,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",11.6,12.3,-5.691056911
Chaville,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",20.8,25,-16.8
Chaville,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",27.7,37.6,-26.32978723
Clamart,2019,Ecart femmes-hommes salaire net horaire moyen total,20.7,24.8,-16.53225806
Clamart,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",29.6,35.9,-17.54874652
Clamart,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",16.7,18.5,-9.72972973
Clamart,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",12.5,12.3,1.62601626
Clamart,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",10.4,12.2,-14.75409836
Clamart,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",10.8,12,-10
Clamart,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",20.4,23.1,-11.68831169
Clamart,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",24.4,32,-23.75
Malakoff,2019,Ecart femmes-hommes salaire net horaire moyen total,18.3,20.1,-8.955223881
Malakoff,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",26.1,29.5,-11.52542373
Malakoff,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",15.8,16.7,-5.389221557
Malakoff,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",12.1,11.8,2.542372881
Malakoff,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",10.7,12.1,-11.57024793
Malakoff,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",11,11.8,-6.779661017
Malakoff,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",18.5,20,-7.5
Malakoff,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",20.7,23.3,-11.15879828
Meudon,2019,Ecart femmes-hommes salaire net horaire moyen total,22.4,28.3,-20.84805654
Meudon,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",31.5,40.5,-22.22222222
Meudon,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",17,18.3,-7.103825137
Meudon,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",12.5,12.5,0
Meudon,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",11.4,12.7,-10.23622047
Meudon,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",11.3,11.9,-5.042016807
Meudon,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",22.1,25.6,-13.671875
Meudon,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",26.3,38.3,-31.33159269
Sèvres,2019,Ecart femmes-hommes salaire net horaire moyen total,24.2,32.7,-25.99388379
Sèvres,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",32.1,44.1,-27.21088435
Sèvres,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",18,19,-5.263157895
Sèvres,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",12.9,12.8,0.78125
Sèvres,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",11.5,12.5,-8
Sèvres,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",11.3,12.2,-7.37704918
Sèvres,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",24,29,-17.24137931
Sèvres,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",27.8,45.6,-39.03508772
Ville-d'Avray,2019,Ecart femmes-hommes salaire net horaire moyen total,27.1,35.7,-24.08963585
Ville-d'Avray,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",35.9,46.6,-22.96137339
Ville-d'Avray,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",18.1,20,-9.5
Ville-d'Avray,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",12.8,11.9,7.56302521
Ville-d'Avray,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",10.6,12.7,-16.53543307
Ville-d'Avray,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",11,12,-8.333333333
Ville-d'Avray,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",25.9,31.3,-17.25239617
Ville-d'Avray,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",32.8,47.7,-31.23689727
Paris,2019,Ecart femmes-hommes salaire net horaire moyen total,22,27.8,-20.86330935
Paris,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",30.1,39.8,-24.3718593
Paris,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",16.9,20.9,-19.13875598
Paris,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",12.4,11.4,8.771929825
Paris,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",10.9,12.4,-12.09677419
Paris,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",12.1,13.4,-9.701492537
Paris,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",22.4,26.3,-14.82889734
Paris,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",25.4,37.7,-32.62599469
Issy-les-Moulineaux,2019,Ecart femmes-hommes salaire net horaire moyen total,23,27.8,-17.26618705
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, Cadres Sup.",29.2,35.1,-16.80911681
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, Professions intermédiaires",17.2,18.3,-6.010928962
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, Employés",13.2,13,1.538461538
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, Ouvriers",11.7,12.6,-7.142857143
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, 18 à 25 ans",11.90,13.1,-9.160305344
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, 26 à 50 ans",22.9,26.6,-13.90977444
Issy-les-Moulineaux,2019,"Ecart femmes-hommes salaire net horaire moyen total, + de 50 ans",27.3,36.1,-24.3767313
