1a - Average number of hours spent on domestic chores and care work  by sex  age and location

Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2005,Male,12 years old and over,All areas,-,2.2167,-,-,Percentage,Country adjusted data,-,"Care and help of family members" is considered under unpaid care work.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Female,15 years old and over,All areas,-,0.5842008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Female,65 years old and over,All areas,-,6.7515,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Female,15 to 24 years old,All areas,-,1.428,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Female,12 years old and over,All areas,-,3.8167008,-,-,Percentage,Country adjusted data,-,"Care and help of family members" is considered under unpaid care work.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Female,45 to 54 years old,All areas,-,2.6677008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Female,55 to 64 years old,All areas,-,3.6978,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Female,25 to 44 years old,All areas,-,2.7319008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Male,15 years old and over,All areas,-,0.4888008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Male,65 years old and over,All areas,-,3.8199,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Male,15 to 24 years old,All areas,-,1.0416,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Male,12 years old and over,All areas,-,2.4166992,-,-,Percentage,Country adjusted data,-,"Care and help of family members" is considered under unpaid care work.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Male,45 to 54 years old,All areas,-,1.5163008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Male,55 to 64 years old,All areas,-,2.3467992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,56,Belgium,2013,Male,25 to 44 years old,All areas,-,1.8022992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,100,Bulgaria,2010,Female,20 to 74 years old,All areas,-,4.4332992,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,100,Bulgaria,2010,Male,20 to 74 years old,All areas,-,2.2167,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,100,Bulgaria,2002,Female,20 to 74 years old,All areas,-,5.0167008,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,100,Bulgaria,2002,Male,20 to 74 years old,All areas,-,2.6167008,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,112,Belarus,2015,Female,10 years old and over,All areas,-,4.6000008,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,112,Belarus,2015,Male,10 years old and over,All areas,-,2.2833,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2005,Female,15 years old and over,All areas,-,3.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2005,Male,15 years old and over,All areas,-,2.4,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2010,Female,15 years old and over,All areas,-,3.9,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2010,Male,15 years old and over,All areas,-,2.5000008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,15 years old and over,Urban,-,3.4000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,15 years old and over,Rural,-,3.9,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,15 years old and over,All areas,-,3.4999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,65 years old and over,Urban,-,3.7999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,65 years old and over,Rural,-,4.0999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,65 years old and over,All areas,-,3.7999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,15 to 24 years old,Urban,-,1.6000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,15 to 24 years old,Rural,-,1.5,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,15 to 24 years old,All areas,-,1.5,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,45 to 54 years old,Urban,-,3.4000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,45 to 54 years old,Rural,-,4.0000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,45 to 54 years old,All areas,-,3.4999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,55 to 64 years old,Urban,-,3.6,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,55 to 64 years old,Rural,-,4.0000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,55 to 64 years old,All areas,-,3.7000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,25 to 44 years old,Urban,-,3.7999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,25 to 44 years old,Rural,-,4.6000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Female,25 to 44 years old,All areas,-,3.9,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Male,15 years old and over,Urban,-,2.2999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Male,15 years old and over,Rural,-,2.8000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Male,15 years old and over,All areas,-,2.2999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Male,65 years old and over,Urban,-,2.8999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Male,65 years old and over,Rural,-,3.6,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Male,65 years old and over,All areas,-,3,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Male,15 to 24 years old,Urban,-,1.0000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Male,15 to 24 years old,Rural,-,1.3999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Male,15 to 24 years old,All areas,-,1.0000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Male,45 to 54 years old,Urban,-,2.5999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Male,45 to 54 years old,Rural,-,2.8000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
Average number of hours spent on domestic chores and care work  by sex  age and location,Developed regions,124,Canada,2016,Male,45 to 54 years old,All areas,-,2.5999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic and care work is not included.,-,-,-,-,-,-
