25 - Share of female science  technology  engineering and mathematics graduates at tertiary level

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage25 - Share of female science  technology  engineering and mathematics graduates at tertiary level
Share of female science  technology  engineering and mathematics graduates at tertiary level,Southern Asia,462,Maldives,1998,Female,0,-,-,Not relevant,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Southern Asia,462,Maldives,2001,Female,0,-,-,Not relevant,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Southern Asia,462,Maldives,2002,Female,0,-,-,Not relevant,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,8,Albania,2003,Female,44.2,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,8,Albania,2000,Female,32.43,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,8,Albania,2011,Female,48.06,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,8,Albania,2015,Female,53.1,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,8,Albania,2016,Female,48.72,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,20,Andorra,2003,Female,23.53,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,20,Andorra,2008,Female,10,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,20,Andorra,2005,Female,13.64,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,20,Andorra,2004,Female,11.76,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,20,Andorra,2006,Female,0,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,20,Andorra,2002,Female,30,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,20,Andorra,2012,Female,33.33,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,20,Andorra,2015,Female,0,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,20,Andorra,2016,Female,0,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,1999,Female,33.86,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,2003,Female,31.85,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,2008,Female,31.08,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,2000,Female,33.8,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,2005,Female,32.17,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,2007,Female,31.69,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,2009,Female,30.89,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,2006,Female,30.92,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,2011,Female,30.19,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,2002,Female,31.66,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,2013,Female,30.67,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,2014,Female,30.96,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,36,Australia,2015,Female,31.73,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,40,Austria,2014,Female,26.11,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,40,Austria,2015,Female,25.3,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,40,Austria,2016,Female,25.9,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,56,Belgium,2008,Female,26.2,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,56,Belgium,2000,Female,25.38,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,56,Belgium,2009,Female,27.07,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,56,Belgium,2010,Female,24.12,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,56,Belgium,2001,Female,24.32,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,56,Belgium,2006,Female,26.79,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,56,Belgium,2011,Female,24.88,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,56,Belgium,2002,Female,25.22,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,56,Belgium,2012,Female,24.38,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,56,Belgium,2013,Female,24.77,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,56,Belgium,2014,Female,26.33,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,56,Belgium,2015,Female,26.56,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,60,Bermuda,2005,Female,38.89,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,60,Bermuda,2007,Female,18.92,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,60,Bermuda,2009,Female,24.24,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,60,Bermuda,2010,Female,38.1,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,60,Bermuda,2001,Female,26.67,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,60,Bermuda,2011,Female,39.13,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,60,Bermuda,2012,Female,25.71,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,60,Bermuda,2015,Female,18.52,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,60,Bermuda,2017,Female,21.43,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,70,Bosnia and Herzegovina,2015,Female,42.56,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,70,Bosnia and Herzegovina,2016,Female,43.87,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,1999,Female,47.53,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2003,Female,43.11,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2008,Female,38.87,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2000,Female,47.2,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2005,Female,42.31,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2007,Female,42.55,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2009,Female,39.03,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2010,Female,40.39,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2001,Female,41.95,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2004,Female,42.89,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2011,Female,40.63,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2002,Female,40.58,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2012,Female,39.43,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2013,Female,39.85,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2014,Female,38.79,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2015,Female,37.49,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,100,Bulgaria,2016,Female,38.26,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,112,Belarus,2015,Female,26.31,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,112,Belarus,2016,Female,26.97,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,124,Canada,1998,Female,30.62,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,1999,Female,34.06,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2003,Female,34.85,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2008,Female,33.31,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2005,Female,32.83,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2007,Female,31.87,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2009,Female,34.06,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2010,Female,37.63,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2001,Female,38.61,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2006,Female,35.11,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2002,Female,36.1,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2012,Female,34.65,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2014,Female,36.38,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2015,Female,35.22,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,191,Croatia,2016,Female,37.92,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,1999,Female,38.74,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2003,Female,27.64,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2008,Female,37.41,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2007,Female,31.51,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2009,Female,37,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2010,Female,39.29,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2006,Female,35.94,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2011,Female,32.91,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2002,Female,35.39,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2012,Female,49.19,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2013,Female,38.66,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2014,Female,38.23,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2015,Female,41.01,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,196,Cyprus,2016,Female,42.23,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,203,Czech Republic,1999,Female,25.69,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,203,Czech Republic,2003,Female,29.54,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,203,Czech Republic,2008,Female,30.92,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,203,Czech Republic,2000,Female,27.36,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,203,Czech Republic,2005,Female,27.77,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,203,Czech Republic,2007,Female,30.66,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,203,Czech Republic,2009,Female,32.1,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,203,Czech Republic,2010,Female,30.76,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,203,Czech Republic,2001,Female,27.54,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
Share of female science  technology  engineering and mathematics graduates at tertiary level,Developed regions,203,Czech Republic,2004,Female,29.82,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:37:37,0,0,0,0,-,0
