1b - Average number of hours spent on unpaid domestic chores  by sex  age and location

Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Average number of hours spent on unpaid domestic chores  by sex  age and location,Southern Asia,586,Pakistan,2007,Male,10 years old and over,Rural,-,0.2667,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Southern Asia,586,Pakistan,2007,Male,10 years old and over,All areas,-,0.2833008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,8,Albania,2011,Female,65 years old and over,Urban,-,3.7999992,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,8,Albania,2011,Female,65 years old and over,Rural,-,4.4500008,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,8,Albania,2011,Female,65 years old and over,All areas,-,4.0999992,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,8,Albania,2011,Female,10 years old and over,Urban,-,3.9333,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,8,Albania,2011,Female,10 years old and over,Rural,-,5.1166992,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,8,Albania,2011,Female,10 years old and over,All areas,-,4.5,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,8,Albania,2011,Male,65 years old and over,Urban,-,1.4332992,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,8,Albania,2011,Male,65 years old and over,Rural,-,1.5,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,8,Albania,2011,Male,65 years old and over,All areas,-,1.4833008,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,8,Albania,2011,Male,10 years old and over,Urban,-,0.6166992,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,8,Albania,2011,Male,10 years old and over,Rural,-,0.8500008,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,8,Albania,2011,Male,10 years old and over,All areas,-,0.75,-,-,Percentage,Country adjusted data,-,Unpaid domestic work includes "Other unpaid work" and "Travel related to unpaid work". Unpaid domestic work might include small amount of time spent on production of goods for own final use.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,36,Australia,2006,Female,15 years old and over,All areas,-,3.8332992,-,-,Percentage,Country data,-,"Unpaid domestic work" comprises 'Domestic activities' and 'Purchasing goods and services'.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,36,Australia,2006,Male,15 years old and over,All areas,-,2.25,-,-,Percentage,Country data,-,"Unpaid domestic work" comprises 'Domestic activities' and 'Purchasing goods and services'.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,15 years old and over,Urban,-,3.4684008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,15 years old and over,Rural,-,4.065,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,15 years old and over,All areas,-,3.8484,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,65 years old and over,Urban,-,4.7788992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,65 years old and over,Rural,-,4.9720008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,65 years old and over,All areas,-,4.9104,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,10 years old and over,Urban,-,3.3643008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,10 years old and over,Rural,-,3.8953008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,10 years old and over,All areas,-,3.7044,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,15 to 24 years old,Urban,-,1.4644992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,15 to 24 years old,Rural,-,1.6723992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,15 to 24 years old,All areas,-,1.5931992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,45 to 54 years old,Urban,-,3.7942992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,45 to 54 years old,Rural,-,4.3179,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,45 to 54 years old,All areas,-,4.1230008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,55 to 64 years old,Urban,-,4.3378992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,55 to 64 years old,Rural,-,5.1964992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,55 to 64 years old,All areas,-,4.8919008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,25 to 44 years old,Urban,-,3.0769008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,25 to 44 years old,Rural,-,3.7732992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Female,25 to 44 years old,All areas,-,3.5064,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,15 years old and over,Urban,-,1.8985008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,15 years old and over,Rural,-,2.1481992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,15 years old and over,All areas,-,2.0598,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,65 years old and over,Urban,-,3.1888992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,65 years old and over,Rural,-,3.5320992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,65 years old and over,All areas,-,3.4161,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,10 years old and over,Urban,-,1.8028992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,10 years old and over,Rural,-,2.0544,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,10 years old and over,All areas,-,1.9651992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,15 to 24 years old,Urban,-,0.7591992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,15 to 24 years old,Rural,-,0.9765,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,15 to 24 years old,All areas,-,0.8980992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,45 to 54 years old,Urban,-,1.9545,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,45 to 54 years old,Rural,-,2.2083,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,45 to 54 years old,All areas,-,2.1181008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,55 to 64 years old,Urban,-,2.4672,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,55 to 64 years old,Rural,-,2.8021992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,55 to 64 years old,All areas,-,2.6935008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,25 to 44 years old,Urban,-,1.5859992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,25 to 44 years old,Rural,-,1.6591008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,40,Austria,2009,Male,25 to 44 years old,All areas,-,1.6321008,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2000,Female,12 years old and over,All areas,-,3.3832992,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2000,Male,12 years old and over,All areas,-,1.9833,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2005,Female,12 years old and over,All areas,-,3.1666992,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2005,Male,12 years old and over,All areas,-,1.9833,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Female,15 years old and over,All areas,-,0.5079,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Female,65 years old and over,All areas,-,6.4701,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Female,15 to 24 years old,All areas,-,1.1833992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Female,12 years old and over,All areas,-,3.3166992,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Female,45 to 54 years old,All areas,-,2.4388008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Female,55 to 64 years old,All areas,-,3.2737992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Female,25 to 44 years old,All areas,-,1.9648992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Male,15 years old and over,All areas,-,0.4711992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Male,65 years old and over,All areas,-,3.6088008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Male,15 to 24 years old,All areas,-,0.9409008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Male,12 years old and over,All areas,-,2.1499992,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Male,45 to 54 years old,All areas,-,1.3612008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Male,55 to 64 years old,All areas,-,2.1994992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,56,Belgium,2013,Male,25 to 44 years old,All areas,-,1.2573,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,100,Bulgaria,2010,Female,20 to 74 years old,All areas,-,4.1833008,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,100,Bulgaria,2010,Male,20 to 74 years old,All areas,-,2.1333,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,100,Bulgaria,2002,Female,20 to 74 years old,All areas,-,4.6000008,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,100,Bulgaria,2002,Male,20 to 74 years old,All areas,-,2.4832992,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,112,Belarus,2015,Female,10 years old and over,All areas,-,4.0666992,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,112,Belarus,2015,Male,10 years old and over,All areas,-,2.1166992,-,-,Percentage,Country adjusted data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2005,Female,15 years old and over,All areas,-,3.1999992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2005,Male,15 years old and over,All areas,-,2.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2010,Female,15 years old and over,All areas,-,3.1999992,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2010,Male,15 years old and over,All areas,-,2.1,-,-,Percentage,Country data,-,-,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,15 years old and over,Urban,-,2.8000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,15 years old and over,Rural,-,3.3,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,15 years old and over,All areas,-,2.8999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,65 years old and over,Urban,-,3.7000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,65 years old and over,Rural,-,4.0000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,65 years old and over,All areas,-,3.7000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,15 to 24 years old,Urban,-,1.3999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,15 to 24 years old,Rural,-,1.3000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,15 to 24 years old,All areas,-,1.3999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,45 to 54 years old,Urban,-,3.1000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,45 to 54 years old,Rural,-,3.6,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,45 to 54 years old,All areas,-,3.1999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,55 to 64 years old,Urban,-,3.4000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,55 to 64 years old,Rural,-,3.7999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,55 to 64 years old,All areas,-,3.4999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,25 to 44 years old,Urban,-,2.5999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,25 to 44 years old,Rural,-,3,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Female,25 to 44 years old,All areas,-,2.5999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,15 years old and over,Urban,-,1.9999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,15 years old and over,Rural,-,2.5000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,15 years old and over,All areas,-,2.1,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,65 years old and over,Urban,-,2.8000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,65 years old and over,Rural,-,3.4999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,65 years old and over,All areas,-,2.8999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,15 to 24 years old,Urban,-,0.9,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,15 to 24 years old,Rural,-,1.3999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,15 to 24 years old,All areas,-,1.0000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,45 to 54 years old,Urban,-,2.2999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,45 to 54 years old,Rural,-,2.5999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,45 to 54 years old,All areas,-,2.4,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,55 to 64 years old,Urban,-,2.5999992,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
Average number of hours spent on unpaid domestic chores  by sex  age and location,Developed regions,124,Canada,2016,Male,55 to 64 years old,Rural,-,3.1000008,-,-,Percentage,Country data,-,Travel related to unpaid domestic work is not included.,-,-,-,-,-,-
