13 - Gender gap in wages  by occupation  age and persons with disabilities

Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Both sexes,-,-,All occupations (isco-08),75,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Both sexes,-,-,Managers (isco-08),234,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Both sexes,-,-,Professionals (isco-08),148,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Both sexes,-,-,Technicians and associate professionals (isco-08),110,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Both sexes,-,-,Clerical support workers (isco-08),109,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Both sexes,-,-,Service and sales workers (isco-08),54,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Both sexes,-,-,Skilled agricultural  forestry and fishery workers (isco-08),67,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Both sexes,-,-,Craft and related trades workers (isco-08),64,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Both sexes,-,-,Plant and machine operators  and assemblers (isco-08),55,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Southern Asia,586,Pakistan,2016,Both sexes,-,-,Elementary occupations (isco-08),47,-,-,Current local currency,Country data,-,Local currency: PAK - Pakistani rupee(PKR),Working time arrangement coverage: Full-time and part time workers,Population coverage: Excluding both institutional population and armed forces and/or conscripts,-,-,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Female,-,-,All occupations (isco-08),12.5,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Female,-,-,Managers (isco-08),25.1,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Female,-,-,Professionals (isco-08),19.4,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Female,-,-,Technicians and associate professionals (isco-08),15.7,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Female,-,-,Clerical support workers (isco-08),13.6,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Female,-,-,Service and sales workers (isco-08),9.8,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Female,-,-,Craft and related trades workers (isco-08),9.7,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Female,-,-,Plant and machine operators  and assemblers (isco-08),11,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Female,-,-,Elementary occupations (isco-08),8.9,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Male,-,-,All occupations (isco-08),16.4,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Male,-,-,Managers (isco-08),35.9,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Male,-,-,Professionals (isco-08),24.6,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Male,-,-,Technicians and associate professionals (isco-08),20,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Male,-,-,Clerical support workers (isco-08),16.1,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Male,-,-,Service and sales workers (isco-08),11.8,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Male,-,-,Craft and related trades workers (isco-08),13.2,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Male,-,-,Plant and machine operators  and assemblers (isco-08),13.6,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Male,-,-,Elementary occupations (isco-08),10.9,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Both sexes,-,-,All occupations (isco-08),14.8,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Both sexes,-,-,Managers (isco-08),33.4,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Both sexes,-,-,Professionals (isco-08),22.5,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Both sexes,-,-,Technicians and associate professionals (isco-08),18.5,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Both sexes,-,-,Clerical support workers (isco-08),14.4,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Both sexes,-,-,Service and sales workers (isco-08),10.5,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Both sexes,-,-,Craft and related trades workers (isco-08),13,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Both sexes,-,-,Plant and machine operators  and assemblers (isco-08),13.3,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2010,Both sexes,-,-,Elementary occupations (isco-08),9.9,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding agriculture  public administration  and activities of households as employers and of extraterritorial organisations and bodies,Establishment size coverage: All establishments with at least 10 employees,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Female,-,-,All occupations (isco-88),11,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Female,-,-,Legislators  senior officials and managers (isco-88),23.2,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Female,-,-,Professionals (isco-88),19,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Female,-,-,Technicians and associate professionals (isco-88),14.4,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Female,-,-,Clerks (isco-88),12.5,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Female,-,-,Service workers and shop and market sales workers (isco-88),8.7,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Female,-,-,Craft and related trades workers (isco-88),8.8,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Female,-,-,Plant and machine operators and assemblers (isco-88),9.8,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Female,-,-,Elementary occupations (isco-88),8.3,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Male,-,-,All occupations (isco-88),14.7,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Male,-,-,Legislators  senior officials and managers (isco-88),34,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Male,-,-,Professionals (isco-88),23.3,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Male,-,-,Technicians and associate professionals (isco-88),18.8,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Male,-,-,Clerks (isco-88),16.3,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Male,-,-,Service workers and shop and market sales workers (isco-88),11.5,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Male,-,-,Craft and related trades workers (isco-88),11.9,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Male,-,-,Plant and machine operators and assemblers (isco-88),12.4,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Male,-,-,Elementary occupations (isco-88),10.3,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Both sexes,-,-,All occupations (isco-88),13.3,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
Gender gap in wages  by occupation  age and persons with disabilities,Developed regions,40,Austria,2006,Both sexes,-,-,Legislators  senior officials and managers (isco-88),32.3,-,-,Current local currency,Country data,-,Local currency: AUT - Euro(EUR),Repository: Eurostat,Data reference period: October,Economic activity coverage: Excluding public administration  and activities of households as employers and of extraterritorial organisations and bodies,Economic activity coverage: Excluding agriculture  hunting  forestry and fishing,-,-
