5 - Proportion of employed who are contributing family workers  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2011,Male,2.79,-,-,Country data,National,0,0,0,0,0,-,Data reference period: October
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2011,Both sexes,3.91,-,-,Country data,National,0,0,0,0,0,-,Data reference period: October
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2013,Female,50.13,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2013,Male,5.11,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,18.17,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,Break in series: Methodology revised,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2016,Female,37.59,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2016,Male,4.63,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2016,Both sexes,14.47,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2017,Female,29.13,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2017,Male,4.16,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,50,Bangladesh,2017,Both sexes,11.81,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,0
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2005,Female,51.71,-,-,Country data,National,0,0,0,0,0,-,Data reference period: May
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2005,Male,21.34,-,-,Country data,National,0,0,0,0,0,-,Data reference period: May
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2005,Both sexes,32.37,-,-,Country data,National,0,0,0,0,0,-,Data reference period: May
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2009,Female,62.28,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2009,Male,42.06,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2009,Both sexes,51.77,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2010,Female,48.65,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2010,Male,34.84,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2010,Both sexes,41.51,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2006,Female,64.69,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Average of 2 monthly points
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2006,Male,45.98,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Average of 2 monthly points
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2006,Both sexes,53.95,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Average of 2 monthly points
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2011,Female,48.66,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2011,Male,35.51,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2011,Both sexes,41.77,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2012,Female,56.22,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2012,Male,25.41,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2012,Both sexes,41.13,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2014,Female,53.94,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2014,Male,26.53,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2014,Both sexes,38.91,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2015,Female,48.24,-,-,Country data,National,0,0,0,0,0,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2015,Male,24.63,-,-,Country data,National,0,0,0,0,0,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,64,Bhutan,2015,Both sexes,35.58,-,-,Country data,National,0,0,0,0,0,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1999,Female,24.8,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1999,Male,6.2,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1999,Both sexes,12.24,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2003,Female,21.3,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2003,Male,4.8,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2003,Both sexes,9.92,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2008,Female,22.4,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2008,Male,4.52,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2008,Both sexes,10.77,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2000,Female,26.5,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2000,Male,6.5,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2000,Both sexes,13.06,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2005,Female,18.2,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2005,Male,3.2,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2005,Both sexes,7.96,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2007,Female,21.68,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2007,Male,4.43,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2007,Both sexes,10.29,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2009,Female,22.25,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2009,Male,4.45,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2009,Both sexes,10.63,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2010,Female,22.39,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2010,Male,4.41,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2010,Both sexes,10.42,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1996,Female,18.9,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1996,Male,6.1,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1996,Both sexes,9.98,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1998,Female,27,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1998,Male,6.81,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1998,Both sexes,13.63,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2001,Female,21.34,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2001,Male,5.5,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2001,Both sexes,10.55,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2004,Female,19.8,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2004,Male,4.5,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2004,Both sexes,9.35,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2006,Female,21.67,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2006,Male,4.42,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2006,Both sexes,10.48,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1995,Female,19.1,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1995,Male,5.1,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1995,Both sexes,9.4,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2011,Female,23.31,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2011,Male,4.47,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2011,Both sexes,10.76,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1997,Female,18.28,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1997,Male,5.5,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,1997,Both sexes,9.48,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2002,Female,23,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2002,Male,4.8,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2002,Both sexes,10.73,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2012,Female,19.44,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2012,Male,3.73,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2012,Both sexes,8.86,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2013,Female,20.53,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2013,Male,2.99,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2013,Both sexes,9.07,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2014,Female,20.6,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2014,Male,2.86,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,144,Sri Lanka,2014,Both sexes,8.92,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Proportion of employed who are contributing family workers  by sex,Southern Asia,356,India,2000,Female,33.59,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,356,India,2000,Male,12.42,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,356,India,2000,Both sexes,18.02,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,356,India,2005,Female,38.19,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,356,India,2005,Male,13.14,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,356,India,2005,Both sexes,19.99,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,356,India,2010,Female,31.84,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,356,India,2010,Male,10.87,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,356,India,2010,Both sexes,15.85,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,356,India,2012,Female,31.54,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,356,India,2012,Male,10.33,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,356,India,2012,Both sexes,15.01,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Proportion of employed who are contributing family workers  by sex,Southern Asia,364,Iran (Islamic Republic of),2008,Female,29.7,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Data reference period: Annual or annual average
