37	Italie	2014°	Juges=_part_de_femmes	52%	0.040000000000000036
38	Japon	2014°	Juges=_part_de_femmes	20%	0.6
39	Lettonie	2014°	Juges=_part_de_femmes	77%	0.54
40	Luxembourg	2014°	Juges=_part_de_femmes	72%	0.44
41	Norvège	2014°	Juges=_part_de_femmes	40%	0.2
42	Pays-Bas	2014°	Juges=_part_de_femmes	56%	0.1200000000000001
43	Portugal	2014°	Juges=_part_de_femmes	58%	0.15999999999999992
44	République_tchèque	2014°	Juges=_part_de_femmes	61%	0.22
45	Slovaquie	2014°	Juges=_part_de_femmes	62%	0.24
46	Slovénie	2014°	Juges=_part_de_femmes	78%	0.56
47	Suisse	2014°	Juges=_part_de_femmes	40%	0.2
48	Suède	2014°	Juges=_part_de_femmes	49%	0.020000000000000014
49	Turquie	2014°	Juges=_part_de_femmes	34%	0.31999999999999995
