annee,pays,nom,value,,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes autres post-prod cinéma,"-36,1",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes cascadeur·se cinéma,"-1,5",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes chaffeur·se cinéma,"-0,7",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes coiffeur·se cinéma,"-4,3",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes comptabilité/juridique/communication cinéma,"1,8",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes constructeur·trice cinéma,"-5,1",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes costumier·ères/habilleurs·se cinéma,"-0,2",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes décorateur·trice/accessoiriste cinéma,"-10,8",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes électricien·ne/éclairagiste cinéma,"-9,1",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes machiniste cinéma,"-18,0",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes mixeur·se cinéma,"-27,0",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes monteur·se cinéma,"-15,9",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes photographe cinéma,"-10,1",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes prise de son cinéma,"-26,8",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes prise de vue cinéma,"-22,8",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes réalisateur·trice cinéma,"-4,9",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes régie cinéma,"-3,7",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes rippeur·se cinéma,"-37,4",,,,,
2010,France,Écarts des salaires horaires médians femmes-hommes scripte cinéma,"67,1",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes acteur·trice cinéma,"-0,4",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes figurant·te cinéma,"-3,0",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes admistrateur·trice cinéma,"-42,0",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes assitant·e réalisateur·trice cinéma,"-6,1",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes autres post-prod cinéma,"-8,7",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes cascadeur·se cinéma,1.10,,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes chaffeur·se cinéma,"-0,5",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes coiffeur·se cinéma,"-2,6",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes comptabilité/juridique/communication cinéma,2.10,,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes constructeur·trice cinéma,"-4,2",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes costumier·ères/habilleurs·se cinéma,0.40,,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes décorateur·trice/accessoiriste cinéma,"-16,8",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes électricien·ne/éclairagiste cinéma,"-18,1",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes machiniste cinéma,"-12,8",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes mixeur·se cinéma,"-18,1",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes monteur·se cinéma,"-17,2",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes photographe cinéma,"-10,7",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes prise de son cinéma,"-21,8",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes prise de vue cinéma,"-24,7",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes réalisateur·trice cinéma,"-19,1",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes régie cinéma,"-0,9",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes rippeur·se cinéma,"-31,9",,,,,
2011,France,Écarts des salaires horaires médians femmes-hommes scripte cinéma,"-15,8",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes acteur·trice cinéma,"-9,0",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes figurant·te cinéma,0.00,,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes admistrateur·trice cinéma,"-37,7",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes assitant·e réalisateur·trice cinéma,"-8,6",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes autres post-prod cinéma,"-14,3",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes cascadeur·se cinéma,"5,0",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes chaffeur·se cinéma,"-7,3",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes coiffeur·se cinéma,"-2,1",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes comptabilité/juridique/communication cinéma,"-0,7",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes constructeur·trice cinéma,"-3,2",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes costumier·ères/habilleurs·se cinéma,"-8,6",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes décorateur·trice/accessoiriste cinéma,"-11,3",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes électricien·ne/éclairagiste cinéma,"-7,8",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes machiniste cinéma,"-3,8",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes mixeur·se cinéma,"-54,9",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes monteur·se cinéma,"-13,0",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes photographe cinéma,"-10,4",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes prise de son cinéma,"-17,3",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes prise de vue cinéma,"-28,2",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes réalisateur·trice cinéma,"-1,5",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes régie cinéma,"-6,8",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes rippeur·se cinéma,"-17,5",,,,,
2012,France,Écarts des salaires horaires médians femmes-hommes scripte cinéma,"15,9",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes acteur·trice cinéma,"6,6",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes figurant·te cinéma,"-3,2",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes admistrateur·trice cinéma,"-38,2",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes assitant·e réalisateur·trice cinéma,"-5,9",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes autres post-prod cinéma,"-13,9",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes cascadeur·se cinéma,"-1,7",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes chaffeur·se cinéma,"1,0",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes coiffeur·se cinéma,"-13,2",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes comptabilité/juridique/communication cinéma,"-9,5",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes constructeur·trice cinéma,"-4,1",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes costumier·ères/habilleurs·se cinéma,"-4,9",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes décorateur·trice/accessoiriste cinéma,"-13,2",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes électricien·ne/éclairagiste cinéma,"-19,5",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes machiniste cinéma,"-14,7",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes mixeur·se cinéma,"-22,7",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes monteur·se cinéma,"-12,2",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes photographe cinéma,"-18,2",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes prise de son cinéma,"-20,0",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes prise de vue cinéma,"-24,8",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes réalisateur·trice cinéma,"-14,0",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes régie cinéma,"2,8",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes rippeur·se cinéma,"-15,6",,,,,
2013,France,Écarts des salaires horaires médians femmes-hommes scripte cinéma,"71,1",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes acteur·trice cinéma,"-6,2",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes figurant·te cinéma,"-4,2",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes admistrateur·trice cinéma,"-41,4",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes assitant·e réalisateur·trice cinéma,"-12,5",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes autres post-prod cinéma,"-2,0",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes cascadeur·se cinéma,"2,4",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes chaffeur·se cinéma,0.00,,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes coiffeur·se cinéma,"-23,1",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes comptabilité/juridique/communication cinéma,"-1,5",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes constructeur·trice cinéma,"-6,3",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes costumier·ères/habilleurs·se cinéma,"-4,8",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes décorateur·trice/accessoiriste cinéma,"-20,3",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes électricien·ne/éclairagiste cinéma,"-4,6",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes machiniste cinéma,"-10,8",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes mixeur·se cinéma,"-24,5",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes monteur·se cinéma,"-9,1",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes photographe cinéma,"-12,1",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes prise de son cinéma,"-13,7",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes prise de vue cinéma,"-20,3",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes réalisateur·trice cinéma,"-21,5",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes régie cinéma,"-3,9",,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes rippeur·se cinéma,0.00,,,,,
2014,France,Écarts des salaires horaires médians femmes-hommes scripte cinéma,"10,8",,,,,
